Year,Wage replacement rate by pensions,Value
2015,relative_to_0_5_average_wage,81.0
2016,relative_to_0_5_average_wage,70.6
2017,relative_to_0_5_average_wage,69.8
2018,relative_to_0_5_average_wage,59.7
2019,relative_to_0_5_average_wage,58.7
2020,relative_to_0_5_average_wage,60.5
2021,relative_to_0_5_average_wage,57.0
2022,relative_to_0_5_average_wage,62.3
2023,relative_to_0_5_average_wage,61.8
2024,relative_to_0_5_average_wage,53.9
2015,relative_to_full_average_wage,40.5
2016,relative_to_full_average_wage,35.3
2017,relative_to_full_average_wage,34.9
2018,relative_to_full_average_wage,29.8
2019,relative_to_full_average_wage,29.4
2020,relative_to_full_average_wage,30.3
2021,relative_to_full_average_wage,28.5
2022,relative_to_full_average_wage,31.1
2023,relative_to_full_average_wage,30.9
2024,relative_to_full_average_wage,27.0
2015,relative_to_1_5_average_wage,27.0
2016,relative_to_1_5_average_wage,23.5
2017,relative_to_1_5_average_wage,23.3
2018,relative_to_1_5_average_wage,19.9
2019,relative_to_1_5_average_wage,19.6
2020,relative_to_1_5_average_wage,20.2
2021,relative_to_1_5_average_wage,19.0
2022,relative_to_1_5_average_wage,20.8
2023,relative_to_1_5_average_wage,20.6
2024,relative_to_1_5_average_wage,18.0
