Year,group_1,Value
2015,group_label_1,0.013
2016,group_label_1,0.093
2017,group_label_1,0.149
2018,group_label_1,0.402
2019,group_label_1,0.256
2020,group_label_1,0.421
2021,group_label_1,0.576
2022,group_label_1,0.044
2023,group_label_1,0.343
2024,group_label_1,0.067
2015,group_label_2,0.268
2016,group_label_2,0.057
2017,group_label_2,2.097
2018,group_label_2,0.658
2019,group_label_2,1.289
2020,group_label_2,0.964
2021,group_label_2,1.156
2022,group_label_2,0.73
2023,group_label_2,0.563
2024,group_label_2,0.683
2015,group_label_3,0.0
2016,group_label_3,0.0
2017,group_label_3,0.007
2018,group_label_3,0.083
2019,group_label_3,0.0
2020,group_label_3,0.032
2021,group_label_3,0.021
2022,group_label_3,0.012
2023,group_label_3,0.0
2024,group_label_3,0.013
2015,group_label_4,0.598
2016,group_label_4,9.563
2017,group_label_4,9.179
2018,group_label_4,0.553
2019,group_label_4,0.0
2020,group_label_4,0.0
2021,group_label_4,0.184
2022,group_label_4,0.4
2023,group_label_4,1.732
2024,group_label_4,0.237
2015,group_label_5,1.117
2016,group_label_5,0.653
2017,group_label_5,3.956
2018,group_label_5,0.0
2019,group_label_5,0.0
2020,group_label_5,0.0
2021,group_label_5,0.0
2022,group_label_5,0.216
2023,group_label_5,0.203
2024,group_label_5,0.07
2015,group_label_6,6.375
2016,group_label_6,0.637
2017,group_label_6,21.97
2018,group_label_6,1.753
2019,group_label_6,3.164
2020,group_label_6,0.0
2021,group_label_6,5.797
2022,group_label_6,0.601
2023,group_label_6,0.292
2024,group_label_6,0.245
2015,group_label_7,0.749
2016,group_label_7,5.124
2017,group_label_7,0.0
2018,group_label_7,14.959
2019,group_label_7,2.941
2020,group_label_7,0.266
2021,group_label_7,1.369
2022,group_label_7,1.119
2023,group_label_7,3.387
2024,group_label_7,1.794
2015,group_label_8,1.471
2016,group_label_8,34.164
2017,group_label_8,17.231
2018,group_label_8,7.14
2019,group_label_8,0.0
2020,group_label_8,47.011
2021,group_label_8,0.278
2022,group_label_8,2.924
2023,group_label_8,31.006
2024,group_label_8,3.943
2015,group_label_9,0.525
2016,group_label_9,2.253
2017,group_label_9,0.068
2018,group_label_9,0.0
2019,group_label_9,0.0
2020,group_label_9,0.0
2021,group_label_9,0.064
2022,group_label_9,0.0
2023,group_label_9,0.155
2024,group_label_9,0.121
2015,group_label_10,
2016,group_label_10,
2017,group_label_10,
2018,group_label_10,
2019,group_label_10,
2020,group_label_10,
2021,group_label_10,
2022,group_label_10,
2023,group_label_10,
2024,group_label_10,
2015,group_label_11,
2016,group_label_11,
2017,group_label_11,
2018,group_label_11,
2019,group_label_11,
2020,group_label_11,
2021,group_label_11,
2022,group_label_11,
2023,group_label_11,
2024,group_label_11,
2015,group_label_12,30.375
2016,group_label_12,47.875
2017,group_label_12,24.778
2018,group_label_12,0.875
2019,group_label_12,16.625
