Year,Average monthly electricity consumption,Value
2015,without_electric_heating,
2016,without_electric_heating,161.0
2017,without_electric_heating,160.0
2018,without_electric_heating,164.0
2019,without_electric_heating,165.0
2020,without_electric_heating,168.0
2021,,
2022,,
2023,,
2024,,
2015,with_electric_heating,
2016,with_electric_heating,1.129
2017,with_electric_heating,1.039
2018,with_electric_heating,975.0
2019,with_electric_heating,871.0
2020,with_electric_heating,954.0
2021,,
2022,,
2023,,
2024,,
