Year,group_29,group_13,group_30,Value
2015,,,,
2016,,,,
2017,,,,
2018,,,,
2019,,,,
2020,,,,
2021,,,,
2022,,,,
2023,,,,
2024,,,,
2015,group_label_281,,,
2016,group_label_281,,,
2017,group_label_281,,,
2018,group_label_281,,,
2019,group_label_281,,,
2020,group_label_281,,,
2021,group_label_281,,,
2022,group_label_281,,,
2023,group_label_281,,,
2024,group_label_281,,,22.0
2015,group_label_282,,,
2016,group_label_282,,,
2017,group_label_282,,,
2018,group_label_282,,,
2019,group_label_282,,,
2020,group_label_282,,,
2021,group_label_282,,,
2022,group_label_282,,,
2023,group_label_282,,,
2024,group_label_282,,,3.0
2015,,group_label_174,,
2016,,group_label_174,,
2017,,group_label_174,,
2018,,group_label_174,,
2019,,group_label_174,,
2020,,group_label_174,,
2021,,group_label_174,,
2022,,group_label_174,,
2023,,group_label_174,,
2024,,group_label_174,,6.0
2015,,group_label_175,,
2016,,group_label_175,,
2017,,group_label_175,,
2018,,group_label_175,,
2019,,group_label_175,,
2020,,group_label_175,,
2021,,group_label_175,,
2022,,group_label_175,,
2023,,group_label_175,,
2024,,group_label_175,,16.0
2015,,,group_label_283,
2016,,,group_label_283,
2017,,,group_label_283,
2018,,,group_label_283,
2019,,,group_label_283,
2020,,,group_label_283,
2021,,,group_label_283,
2022,,,group_label_283,
2023,,,group_label_283,
2024,,,group_label_283,636.0
2015,,,group_label_284,
2016,,,group_label_284,
2017,,,group_label_284,
2018,,,group_label_284,
2019,,,group_label_284,
2020,,,group_label_284,
2021,,,group_label_284,
2022,,,group_label_284,
2023,,,group_label_284,
2024,,,group_label_284,39.0
2015,,,group_label_285,
2016,,,group_label_285,
2017,,,group_label_285,
2018,,,group_label_285,
2019,,,group_label_285,
2020,,,group_label_285,
2021,,,group_label_285,
2022,,,group_label_285,
2023,,,group_label_285,
2024,,,group_label_285,23.0
2015,,,group_label_286,
2016,,,group_label_286,
2017,,,group_label_286,
2018,,,group_label_286,
2019,,,group_label_286,
2020,,,group_label_286,
2021,,,group_label_286,
2022,,,group_label_286,
2023,,,group_label_286,
2024,,,group_label_286,35.0
2015,,,group_label_300,
2016,,,group_label_300,
2017,,,group_label_300,
2018,,,group_label_300,
2019,,,group_label_300,
2020,,,group_label_300,
2021,,,group_label_300,
2022,,,group_label_300,
2023,,,group_label_300,
2024,,,group_label_300,37.0
2015,,,group_label_287,
2016,,,group_label_287,
2017,,,group_label_287,
2018,,,group_label_287,
2019,,,group_label_287,
2020,,,group_label_287,
2021,,,group_label_287,
2022,,,group_label_287,
2023,,,group_label_287,
2024,,,group_label_287,29.0
2015,,,group_label_288,
2016,,,group_label_288,
2017,,,group_label_288,
2018,,,group_label_288,
2019,,,group_label_288,
2020,,,group_label_288,
2021,,,group_label_288,
2022,,,group_label_288,
2023,,,group_label_288,
2024,,,group_label_288,32.0
2015,,,group_label_289,
2016,,,group_label_289,
2017,,,group_label_289,
2018,,,group_label_289,
2019,,,group_label_289,
2020,,,group_label_289,
2021,,,group_label_289,
2022,,,group_label_289,
2023,,,group_label_289,
2024,,,group_label_289,57.0
2015,,,group_label_290,
2016,,,group_label_290,
2017,,,group_label_290,
2018,,,group_label_290,
2019,,,group_label_290,
2020,,,group_label_290,
2021,,,group_label_290,
2022,,,group_label_290,
2023,,,group_label_290,
2024,,,group_label_290,38.0
2015,,,group_label_316,
2016,,,group_label_316,
2017,,,group_label_316,
2018,,,group_label_316,
2019,,,group_label_316,
2020,,,group_label_316,
2021,,,group_label_316,
2022,,,group_label_316,
2023,,,group_label_316,
2024,,,group_label_316,35.0
2015,,,group_label_291,
2016,,,group_label_291,
2017,,,group_label_291,
2018,,,group_label_291,
2019,,,group_label_291,
2020,,,group_label_291,
2021,,,group_label_291,
2022,,,group_label_291,
2023,,,group_label_291,
2024,,,group_label_291,39.0
2015,,,group_label_292,
2016,,,group_label_292,
2017,,,group_label_292,
2018,,,group_label_292,
2019,,,group_label_292,
2020,,,group_label_292,
2021,,,group_label_292,
2022,,,group_label_292,
2023,,,group_label_292,
2024,,,group_label_292,19.0
2015,,,group_label_293,
2016,,,group_label_293,
2017,,,group_label_293,
2018,,,group_label_293,
2019,,,group_label_293,
2020,,,group_label_293,
2021,,,group_label_293,
2022,,,group_label_293,
2023,,,group_label_293,
2024,,,group_label_293,22.0
2015,,,group_label_294,
2016,,,group_label_294,
2017,,,group_label_294,
2018,,,group_label_294,
2019,,,group_label_294,
2020,,,group_label_294,
2021,,,group_label_294,
2022,,,group_label_294,
2023,,,group_label_294,
2024,,,group_label_294,19.0
2015,,,group_label_295,
2016,,,group_label_295,
2017,,,group_label_295,
2018,,,group_label_295,
2019,,,group_label_295,
2020,,,group_label_295,
2021,,,group_label_295,
2022,,,group_label_295,
2023,,,group_label_295,
2024,,,group_label_295,30.0
2015,,,group_label_296,
2016,,,group_label_296,
2017,,,group_label_296,
2018,,,group_label_296,
2019,,,group_label_296,
2020,,,group_label_296,
2021,,,group_label_296,
2022,,,group_label_296,
2023,,,group_label_296,
2024,,,group_label_296,10.0
2015,,,group_label_297,
2016,,,group_label_297,
2017,,,group_label_297,
2018,,,group_label_297,
2019,,,group_label_297,
2020,,,group_label_297,
2021,,,group_label_297,
2022,,,group_label_297,
2023,,,group_label_297,
2024,,,group_label_297,12.0
