Value,Disaggregation combinations using this value,Number of indicators
group_label_1,1,1
group_label_10,1,1
group_label_11,1,1
group_label_12,1,1
group_label_13,1,1
group_label_14,1,1
group_label_15,1,1
group_label_16,1,1
group_label_17,1,1
group_label_18,1,1
group_label_19,1,1
group_label_2,1,1
group_label_20,1,1
group_label_21,1,1
group_label_22,1,1
group_label_23,1,1
group_label_24,1,1
group_label_25,1,1
group_label_26,1,1
group_label_27,1,1
group_label_28,1,1
group_label_29,1,1
group_label_3,1,1
group_label_30,1,1
group_label_31,1,1
group_label_32,1,1
group_label_33,1,1
group_label_34,1,1
group_label_35,1,1
group_label_36,1,1
group_label_37,1,1
group_label_38,1,1
group_label_39,1,1
group_label_4,1,1
group_label_40,1,1
group_label_41,1,1
group_label_42,1,1
group_label_43,1,1
group_label_44,1,1
group_label_45,1,1
group_label_46,1,1
group_label_47,1,1
group_label_48,1,1
group_label_49,1,1
group_label_5,1,1
group_label_50,1,1
group_label_51,1,1
group_label_52,1,1
group_label_53,1,1
group_label_54,1,1
group_label_55,1,1
group_label_56,1,1
group_label_57,1,1
group_label_58,1,1
group_label_59,1,1
group_label_6,1,1
group_label_60,1,1
group_label_61,1,1
group_label_62,1,1
group_label_63,1,1
group_label_64,1,1
group_label_65,1,1
group_label_66,1,1
group_label_67,1,1
group_label_68,1,1
group_label_69,1,1
group_label_7,1,1
group_label_70,1,1
group_label_71,1,1
group_label_72,1,1
group_label_73,1,1
group_label_74,1,1
group_label_75,1,1
group_label_76,1,1
group_label_77,1,1
group_label_78,1,1
group_label_79,1,1
group_label_8,1,1
group_label_80,1,1
group_label_81,1,1
group_label_82,1,1
group_label_83,1,1
group_label_84,1,1
group_label_85,1,1
group_label_86,1,1
group_label_87,1,1
group_label_88,1,1
group_label_89,1,1
group_label_9,1,1
