Value,Disaggregation combinations using this value,Number of indicators
11_reg_Vinnytsya,110,73
12_reg_Volyn,110,73
13_reg_Dnipropetrovsk,246,74
14_reg_Donetsk,246,76
15_reg_Zhytomyr,110,73
16_reg_Zakarpattya,110,73
17_reg_Zaporizhzhya,247,75
18_reg_Ivano-Frankivsk,110,73
19_reg_Kyiv,110,73
20_reg_Kirovohrad,110,73
21_reg_Luhansk,246,75
22_reg_Lviv,110,73
23_reg_Mykolayiv,111,74
24_reg_Odesa,111,74
25_reg_Poltava,110,73
26_reg_Rivne,110,73
27_reg_Sumy,110,73
28_reg_Ternopil,110,73
29_reg_Kharkiv,246,74
30_reg_Kherson,111,74
31_reg_Khmelnytskiy,110,73
32_reg_Cherkasy,110,73
33_reg_Chernivtsi,110,73
34_reg_Chernihiv,110,73
35_reg_Kyiv_city,29,21
autonomous_Republic_of_Crimea,85,55
Center,1,1
city_Sevastopol,86,55
East,1,1
group_18_1,1,1
Kyiv_city,76,47
South,1,1
Ukraine,39,16
West,1,1
