Year,Стать,Місцевість проживання,Домогосподарства,"Довідково: законодавчо встановлений прожитковий мінімум в розрахунку на місяць в середньому на одну особу, грн",Value
2015,,,,,8.9
2016,,,,,8.5
2017,,,,,8.0
2018,,,,,6.5
2019,,,,,1.0
2020,,,,,1.6
2021,,,,,1.7
2022,,,,,
2023,,,,,
2024,,,,,
2015,жінки,,,,8.9
2016,жінки,,,,8.1
2017,жінки,,,,7.9
2018,жінки,,,,6.4
2019,жінки,,,,0.9
2020,жінки,,,,1.7
2021,жінки,,,,1.7
2022,жінки,,,,
2023,жінки,,,,
2024,жінки,,,,
2015,чоловіки,,,,8.9
2016,чоловіки,,,,8.9
2017,чоловіки,,,,8.2
2018,чоловіки,,,,6.7
2019,чоловіки,,,,1.2
2020,чоловіки,,,,1.6
2021,чоловіки,,,,1.7
2022,чоловіки,,,,
2023,чоловіки,,,,
2024,чоловіки,,,,
2015,,міська,,,6.8
2016,,міська,,,6.7
2017,,міська,,,5.8
2018,,міська,,,4.2
2019,,міська,,,0.7
2020,,міська,,,1.4
2021,,міська,,,1.4
2022,,міська,,,
2023,,міська,,,
2024,,міська,,,
2015,,сільська,,,12.8
2016,,сільська,,,11.9
2017,,сільська,,,12.4
2018,,сільська,,,11.0
2019,,сільська,,,1.6
2020,,сільська,,,2.1
2021,,сільська,,,2.2
2022,,сільська,,,
2023,,сільська,,,
2024,,сільська,,,
2015,,,домогосподарства з дітьми,,12.2
2016,,,домогосподарства з дітьми,,10.8
2017,,,домогосподарства з дітьми,,10.1
2018,,,домогосподарства з дітьми,,8.2
2019,,,домогосподарства з дітьми,,1.1
2020,,,домогосподарства з дітьми,,2.0
2021,,,домогосподарства з дітьми,,2.0
2022,,,домогосподарства з дітьми,,
2023,,,домогосподарства з дітьми,,
2024,,,домогосподарства з дітьми,,
2015,,,домогосподарства без дітей,,5.0
2016,,,домогосподарства без дітей,,5.8
2017,,,домогосподарства без дітей,,5.6
2018,,,домогосподарства без дітей,,4.6
2019,,,домогосподарства без дітей,,0.9
2020,,,домогосподарства без дітей,,1.3
2021,,,домогосподарства без дітей,,1.3
2022,,,домогосподарства без дітей,,
2023,,,домогосподарства без дітей,,
2024,,,домогосподарства без дітей,,
2015,,,,1227.0,
2016,,,,1388.0,
2017,,,,1604.0,
2018,,,,1745.0,
2019,,,,1902.0,
2020,,,,2078.0,
2021,,,,2250.0,
