Year,Вік,Стать,Місцевість проживання,Домогосподарства,Причина отримання інвалідності,Value
2015,,,,,,43.4
2016,,,,,,44.2
2017,,,,,,45.2
2018,,,,,,46.4
2019,,,,,,47.9
2020,,,,,,49.8
2021,,,,,,52.5
2022,,,,,,53.9
2023,,,,,,53.6
2024,,,,,,52.3
2015,до 18 років,,,,,82.1
2016,до 18 років,,,,,82.0
2017,до 18 років,,,,,80.0
2018,до 18 років,,,,,80.0
2019,до 18 років,,,,,81.3
2020,до 18 років,,,,,82.0
2021,до 18 років,,,,,82.3
2022,до 18 років,,,,,82.8
2023,до 18 років,,,,,83.1
2024,до 18 років,,,,,83.8
2015,18 – 34 роки,,,,,86.7
2016,18 – 34 роки,,,,,87.1
2017,18 – 34 роки,,,,,86.6
2018,18 – 34 роки,,,,,86.4
2019,18 – 34 роки,,,,,86.7
2020,18 – 34 роки,,,,,87.4
2021,18 – 34 роки,,,,,88.4
2022,18 – 34 роки,,,,,88.2
2023,18 – 34 роки,,,,,86.0
2024,18 – 34 роки,,,,,83.7
2015,35 – 59 років,,,,,73.1
2016,35 – 59 років,,,,,72.8
2017,35 – 59 років,,,,,72.4
2018,35 – 59 років,,,,,72.2
2019,35 – 59 років,,,,,71.9
2020,35 – 59 років,,,,,74.2
2021,35 – 59 років,,,,,73.6
2022,35 – 59 років,,,,,72.3
2023,35 – 59 років,,,,,67.7
2024,35 – 59 років,,,,,64.5
2015,60 років і старші,,,,,37.9
2016,60 років і старші,,,,,38.2
2017,60 років і старші,,,,,38.7
2018,60 років і старші,,,,,39.3
2019,60 років і старші,,,,,40.0
2020,60 років і старші,,,,,40.7
2021,60 років і старші,,,,,41.5
2022,60 років і старші,,,,,42.4
2023,60 років і старші,,,,,44.0
2024,60 років і старші,,,,,46.0
2015,,Жіноча,,,,68.5
2016,,Жіноча,,,,68.7
2017,,Жіноча,,,,68.7
2018,,Жіноча,,,,68.9
2019,,Жіноча,,,,69.4
2020,,Жіноча,,,,70.2
2021,,Жіноча,,,,71.4
2022,,Жіноча,,,,71.9
2023,,Жіноча,,,,70.9
2024,,Жіноча,,,,70.4
2015,,Чоловіча,,,,59.9
2016,,Чоловіча,,,,60.1
2017,,Чоловіча,,,,60.2
2018,,Чоловіча,,,,60.7
2019,,Чоловіча,,,,61.4
2020,,Чоловіча,,,,62.7
2021,,Чоловіча,,,,64.4
2022,,Чоловіча,,,,65.0
2023,,Чоловіча,,,,62.5
2024,,Чоловіча,,,,60.1
2015,,,міська,,,63.1
2016,,,міська,,,63.4
2017,,,міська,,,63.8
2018,,,міська,,,64.4
2019,,,міська,,,65.2
2020,,,міська,,,66.5
2021,,,міська,,,68.5
2022,,,міська,,,69.3
2023,,,міська,,,68.3
2024,,,міська,,,68.0
2015,,,сільська,,,76.2
2016,,,сільська,,,76.3
2017,,,сільська,,,76.5
2018,,,сільська,,,76.8
2019,,,сільська,,,77.3
2020,,,сільська,,,78.0
2021,,,сільська,,,79.2
2022,,,сільська,,,79.5
2023,,,сільська,,,77.7
2024,,,сільська,,,76.7
2015,,,,Домогосподарства з дітьми,,99.9
2016,,,,Домогосподарства з дітьми,,99.9
2017,,,,Домогосподарства з дітьми,,99.9
2018,,,,Домогосподарства з дітьми,,99.9
2019,,,,Домогосподарства з дітьми,,99.9
2020,,,,Домогосподарства з дітьми,,99.9
2021,,,,Домогосподарства з дітьми,,99.9
2022,,,,Домогосподарства з дітьми,,99.9
2023,,,,Домогосподарства з дітьми,,99.9
2024,,,,Домогосподарства з дітьми,,100.0
2015,,,,Домогосподарства без дітей,,42.5
2016,,,,Домогосподарства без дітей,,43.3
2017,,,,Домогосподарства без дітей,,44.0
2018,,,,Домогосподарства без дітей,,44.9
2019,,,,Домогосподарства без дітей,,46.0
2020,,,,Домогосподарства без дітей,,47.5
2021,,,,Домогосподарства без дітей,,49.6
2022,,,,Домогосподарства без дітей,,50.8
2023,,,,Домогосподарства без дітей,,50.7
2024,,,,Домогосподарства без дітей,,50.9
2015,,,,,внаслідок воєнних дій,60.5
2016,,,,,внаслідок воєнних дій,61.0
2017,,,,,внаслідок воєнних дій,61.8
2018,,,,,внаслідок воєнних дій,62.0
2019,,,,,внаслідок воєнних дій,62.7
2020,,,,,внаслідок воєнних дій,63.4
2021,,,,,внаслідок воєнних дій,63.4
2022,,,,,внаслідок воєнних дій,63.1
2023,,,,,внаслідок воєнних дій,39.3
2024,,,,,внаслідок воєнних дій,38.3
2015,,,,,з дитинства,90.0
2016,,,,,з дитинства,90.1
2017,,,,,з дитинства,89.6
2018,,,,,з дитинства,89.3
2019,,,,,з дитинства,89.4
2020,,,,,з дитинства,89.5
2021,,,,,з дитинства,89.6
2022,,,,,з дитинства,89.7
2023,,,,,з дитинства,89.8
2024,,,,,з дитинства,90.3
