Year,Область,Категорія,Value
2015,,,0.227
2016,,,0.22
2017,,,0.232
2018,,,0.238
2019,,,0.249
2020,,,0.247
2021,,,0.244
2022,,,
2023,,,
2024,,,
2015,,міська,0.232
2016,,міська,0.226
2017,,міська,0.235
2018,,міська,0.244
2019,,міська,0.253
2020,,міська,0.254
2021,,міська,0.244
2022,,міська,
2023,,міська,
2024,,міська,
2015,,сільська,0.215
2016,,сільська,0.205
2017,,сільська,0.22
2018,,сільська,0.218
2019,,сільська,0.223
2020,,сільська,0.219
2021,,сільська,0.228
2022,,сільська,
2023,,сільська,
2024,,сільська,
2015,Автономна Республіка Крим,,
2016,Автономна Республіка Крим,,
2017,Автономна Республіка Крим,,
2018,Автономна Республіка Крим,,
2019,Автономна Республіка Крим,,
2020,Автономна Республіка Крим,,
2021,Автономна Республіка Крим,,
2022,Автономна Республіка Крим,,
2023,Автономна Республіка Крим,,
2024,Автономна Республіка Крим,,
2015,Вінницька,,0.252
2016,Вінницька,,0.177
2017,Вінницька,,0.23
2018,Вінницька,,0.229
2019,Вінницька,,0.198
2020,Вінницька,,0.175
2021,Вінницька,,0.188
2022,Вінницька,,
2023,Вінницька,,
2024,Вінницька,,
2015,Волинська,,0.189
2016,Волинська,,0.195
2017,Волинська,,0.136
2018,Волинська,,0.218
2019,Волинська,,0.228
2020,Волинська,,0.216
2021,Волинська,,0.182
2022,Волинська,,
2023,Волинська,,
2024,Волинська,,
2015,Дніпропетровська,,0.226
2016,Дніпропетровська,,0.238
2017,Дніпропетровська,,0.226
2018,Дніпропетровська,,0.214
2019,Дніпропетровська,,0.239
2020,Дніпропетровська,,0.233
2021,Дніпропетровська,,0.22
2022,Дніпропетровська,,
2023,Дніпропетровська,,
2024,Дніпропетровська,,
2015,Донецька,,0.233
2016,Донецька,,0.205
2017,Донецька,,0.249
2018,Донецька,,0.243
2019,Донецька,,0.221
2020,Донецька,,0.25
2021,Донецька,,0.253
2022,Донецька,,
2023,Донецька,,
2024,Донецька,,
2015,Житомирська,,0.236
2016,Житомирська,,0.207
2017,Житомирська,,0.228
2018,Житомирська,,0.23
2019,Житомирська,,0.243
2020,Житомирська,,0.21
2021,Житомирська,,0.202
2022,Житомирська,,
2023,Житомирська,,
2024,Житомирська,,
2015,Закарпатська,,0.257
2016,Закарпатська,,0.194
2017,Закарпатська,,0.179
2018,Закарпатська,,0.258
2019,Закарпатська,,0.236
2020,Закарпатська,,0.191
2021,Закарпатська,,0.218
2022,Закарпатська,,
2023,Закарпатська,,
2024,Закарпатська,,
2015,Запорізька,,0.206
2016,Запорізька,,0.199
2017,Запорізька,,0.231
2018,Запорізька,,0.207
2019,Запорізька,,0.217
2020,Запорізька,,0.208
2021,Запорізька,,0.214
2022,Запорізька,,
2023,Запорізька,,
2024,Запорізька,,
2015,Івано-Франківська,,0.153
2016,Івано-Франківська,,0.148
2017,Івано-Франківська,,0.197
2018,Івано-Франківська,,0.171
2019,Івано-Франківська,,0.231
2020,Івано-Франківська,,0.179
2021,Івано-Франківська,,0.276
2022,Івано-Франківська,,
2023,Івано-Франківська,,
2024,Івано-Франківська,,
2015,Київська,,0.173
2016,Київська,,0.201
2017,Київська,,0.205
2018,Київська,,0.238
2019,Київська,,0.223
2020,Київська,,0.228
2021,Київська,,0.224
2022,Київська,,
2023,Київська,,
2024,Київська,,
2015,Кіровоградська,,0.226
2016,Кіровоградська,,0.251
2017,Кіровоградська,,0.229
2018,Кіровоградська,,0.218
2019,Кіровоградська,,0.246
2020,Кіровоградська,,0.228
2021,Кіровоградська,,0.179
2022,Кіровоградська,,
2023,Кіровоградська,,
2024,Кіровоградська,,
2015,Луганська,,0.237
2016,Луганська,,0.21
2017,Луганська,,0.205
2018,Луганська,,0.232
2019,Луганська,,0.217
2020,Луганська,,0.209
2021,Луганська,,0.224
2022,Луганська,,
2023,Луганська,,
2024,Луганська,,
2015,Львівська,,0.208
2016,Львівська,,0.199
2017,Львівська,,0.208
2018,Львівська,,0.207
2019,Львівська,,0.216
2020,Львівська,,0.218
2021,Львівська,,0.203
2022,Львівська,,
2023,Львівська,,
2024,Львівська,,
2015,Миколаївська,,0.222
2016,Миколаївська,,0.168
2017,Миколаївська,,0.21
2018,Миколаївська,,0.221
2019,Миколаївська,,0.226
2020,Миколаївська,,0.194
2021,Миколаївська,,0.24
2022,Миколаївська,,
2023,Миколаївська,,
2024,Миколаївська,,
2015,Одеська,,0.249
2016,Одеська,,0.218
2017,Одеська,,0.242
2018,Одеська,,0.224
2019,Одеська,,0.251
2020,Одеська,,0.256
2021,Одеська,,0.236
2022,Одеська,,
2023,Одеська,,
2024,Одеська,,
2015,Полтавська,,0.221
2016,Полтавська,,0.21
2017,Полтавська,,0.184
2018,Полтавська,,0.232
2019,Полтавська,,0.213
2020,Полтавська,,0.212
2021,Полтавська,,0.205
2022,Полтавська,,
2023,Полтавська,,
2024,Полтавська,,
2015,Рівненська,,0.195
2016,Рівненська,,0.189
2017,Рівненська,,0.215
2018,Рівненська,,0.201
2019,Рівненська,,0.219
2020,Рівненська,,0.216
2021,Рівненська,,0.208
2022,Рівненська,,
2023,Рівненська,,
2024,Рівненська,,
2015,Сумська,,0.197
2016,Сумська,,0.195
2017,Сумська,,0.187
2018,Сумська,,0.213
2019,Сумська,,0.203
2020,Сумська,,0.199
2021,Сумська,,0.201
2022,Сумська,,
2023,Сумська,,
2024,Сумська,,
2015,Тернопільська,,0.187
2016,Тернопільська,,0.208
2017,Тернопільська,,0.257
2018,Тернопільська,,0.182
2019,Тернопільська,,0.21
2020,Тернопільська,,0.176
2021,Тернопільська,,0.237
2022,Тернопільська,,
2023,Тернопільська,,
2024,Тернопільська,,
2015,Харківська,,0.211
2016,Харківська,,0.182
2017,Харківська,,0.188
2018,Харківська,,0.217
2019,Харківська,,0.203
2020,Харківська,,0.208
2021,Харківська,,0.207
2022,Харківська,,
2023,Харківська,,
2024,Харківська,,
2015,Херсонська,,0.19
2016,Херсонська,,0.233
2017,Херсонська,,0.215
2018,Херсонська,,0.221
2019,Херсонська,,0.248
2020,Херсонська,,0.206
2021,Херсонська,,0.209
2022,Херсонська,,
2023,Херсонська,,
2024,Херсонська,,
2015,Хмельницька,,0.206
2016,Хмельницька,,0.212
2017,Хмельницька,,0.188
2018,Хмельницька,,0.19
2019,Хмельницька,,0.255
2020,Хмельницька,,0.229
2021,Хмельницька,,0.237
2022,Хмельницька,,
2023,Хмельницька,,
2024,Хмельницька,,
2015,Черкаська,,0.204
2016,Черкаська,,0.189
2017,Черкаська,,0.229
2018,Черкаська,,0.213
2019,Черкаська,,0.231
2020,Черкаська,,0.206
2021,Черкаська,,0.222
2022,Черкаська,,
2023,Черкаська,,
2024,Черкаська,,
2015,Чернівецька,,0.209
2016,Чернівецька,,0.19
2017,Чернівецька,,0.207
2018,Чернівецька,,0.183
2019,Чернівецька,,0.228
2020,Чернівецька,,0.223
2021,Чернівецька,,0.201
2022,Чернівецька,,
2023,Чернівецька,,
2024,Чернівецька,,
2015,Чернігівська,,0.183
2016,Чернігівська,,0.193
2017,Чернігівська,,0.213
2018,Чернігівська,,0.251
2019,Чернігівська,,0.23
2020,Чернігівська,,0.196
2021,Чернігівська,,0.215
2022,Чернігівська,,
2023,Чернігівська,,
2024,Чернігівська,,
2015,м. Київ,,0.26
2016,м. Київ,,0.291
2017,м. Київ,,0.275
2018,м. Київ,,0.266
2019,м. Київ,,0.268
2020,м. Київ,,0.317
2021,м. Київ,,0.302
2022,м. Київ,,
2023,м. Київ,,
2024,м. Київ,,
2015,м. Севастополь,,
2016,м. Севастополь,,
2017,м. Севастополь,,
2018,м. Севастополь,,
2019,м. Севастополь,,
2020,м. Севастополь,,
2021,м. Севастополь,,
2022,м. Севастополь,,
2023,м. Севастополь,,
2024,м. Севастополь,,
