Year,Область,Стать,Вік,Value
2015,,,31.2,
2016,,,30.4,
2017,,,24.7,
2018,,,29.6,
2019,,,45.8,
2020,,,70.2,
2021,,,158.2,
2022,,,416.2,
2023,,,577.7,
2024,,,1397.0,
2015,,жінок,,
2016,,жінок,,
2017,,жінок,,
2018,,жінок,,
2019,,жінок,,
2020,,жінок,,
2021,,жінок,,
2022,,жінок,,
2023,,жінок,,
2024,,жінок,,
2015,,чоловіків,,
2016,,чоловіків,,
2017,,чоловіків,,
2018,,чоловіків,,
2019,,чоловіків,,
2020,,чоловіків,,
2021,,чоловіків,,
2022,,чоловіків,,
2023,,чоловіків,,
2024,,чоловіків,,
2015,Україна,,,31.2
2016,Україна,,,30.4
2017,Україна,,,24.7
2018,Україна,,,29.6
2019,Україна,,,45.8
2020,Україна,,,70.2
2021,Україна,,,158.2
2022,Україна,,,416.2
2023,Україна,,,577.7
2024,Україна,,,1397.0
2015,Автономна Республіка Крим,,,
2016,Автономна Республіка Крим,,,
2017,Автономна Республіка Крим,,,
2018,Автономна Республіка Крим,,,
2019,Автономна Республіка Крим,,,
2020,Автономна Республіка Крим,,,
2021,Автономна Республіка Крим,,,
2022,Автономна Республіка Крим,,,
2023,Автономна Республіка Крим,,,
2024,Автономна Республіка Крим,,,
2015,Вінницька,,,
2016,Вінницька,,,38.9
2017,Вінницька,,,35.3
2018,Вінницька,,,48.4
2019,Вінницька,,,64.4
2020,Вінницька,,,76.4
2021,Вінницька,,,108.7
2022,Вінницька,,,260.0
2023,Вінницька,,,376.7
2024,Вінницька,,,963.3
2015,Волинська,,,
2016,Волинська,,,23.6
2017,Волинська,,,20.2
2018,Волинська,,,25.2
2019,Волинська,,,41.2
2020,Волинська,,,40.5
2021,Волинська,,,80.3
2022,Волинська,,,499.9
2023,Волинська,,,504.0
2024,Волинська,,,1420.0
2015,Дніпропетровська,,,
2016,Дніпропетровська,,,25.7
2017,Дніпропетровська,,,21.7
2018,Дніпропетровська,,,28.8
2019,Дніпропетровська,,,56.4
2020,Дніпропетровська,,,79.3
2021,Дніпропетровська,,,202.3
2022,Дніпропетровська,,,526.7
2023,Дніпропетровська,,,680.0
2024,Дніпропетровська,,,1423.9
2015,Донецька,,,
2016,Донецька,,,48.0
2017,Донецька,,,32.8
2018,Донецька,,,34.0
2019,Донецька,,,43.2
2020,Донецька,,,63.3
2021,Донецька,,,219.6
2022,Донецька,,,492.1
2023,Донецька,,,1025.1
2024,Донецька,,,1953.3
2015,Житомирська,,,
2016,Житомирська,,,26.6
2017,Житомирська,,,21.1
2018,Житомирська,,,24.2
2019,Житомирська,,,42.9
2020,Житомирська,,,50.7
2021,Житомирська,,,66.1
2022,Житомирська,,,193.4
2023,Житомирська,,,328.6
2024,Житомирська,,,1066.7
2015,Закарпатська,,,
2016,Закарпатська,,,22.5
2017,Закарпатська,,,48.1
2018,Закарпатська,,,23.2
2019,Закарпатська,,,35.2
2020,Закарпатська,,,35.9
2021,Закарпатська,,,50.3
2022,Закарпатська,,,157.2
2023,Закарпатська,,,145.0
2024,Закарпатська,,,1123.4
2015,Запорізька,,,
2016,Запорізька,,,27.0
2017,Запорізька,,,22.1
2018,Запорізька,,,26.3
2019,Запорізька,,,47.8
2020,Запорізька,,,91.7
2021,Запорізька,,,217.8
2022,Запорізька,,,511.3
2023,Запорізька,,,831.9
2024,Запорізька,,,1587.1
2015,Івано-Франківська,,,
2016,Івано-Франківська,,,25.7
2017,Івано-Франківська,,,21.5
2018,Івано-Франківська,,,26.0
2019,Івано-Франківська,,,34.5
2020,Івано-Франківська,,,50.7
2021,Івано-Франківська,,,81.0
2022,Івано-Франківська,,,236.5
2023,Івано-Франківська,,,280.5
2024,Івано-Франківська,,,1237.0
2015,Київська,,,
2016,Київська,,,24.7
2017,Київська,,,20.5
2018,Київська,,,23.6
2019,Київська,,,33.6
2020,Київська,,,45.0
2021,Київська,,,98.1
2022,Київська,,,268.2
2023,Київська,,,484.9
2024,Київська,,,1202.5
2015,Кіровоградська,,,
2016,Кіровоградська,,,24.7
2017,Кіровоградська,,,21.1
2018,Кіровоградська,,,25.3
2019,Кіровоградська,,,33.0
2020,Кіровоградська,,,59.3
2021,Кіровоградська,,,121.3
2022,Кіровоградська,,,249.6
2023,Кіровоградська,,,315.2
2024,Кіровоградська,,,1061.7
2015,Луганська,,,
2016,Луганська,,,41.2
2017,Луганська,,,28.8
2018,Луганська,,,30.2
2019,Луганська,,,49.2
2020,Луганська,,,69.2
2021,Луганська,,,189.4
2022,Луганська,,,568.2
2023,Луганська,,,
2024,Луганська,,,2312.5
2015,Львівська,,,
2016,Львівська,,,23.5
2017,Львівська,,,18.8
2018,Львівська,,,23.8
2019,Львівська,,,35.5
2020,Львівська,,,50.5
2021,Львівська,,,101.9
2022,Львівська,,,302.7
2023,Львівська,,,434.7
2024,Львівська,,,1206.1
2015,Миколаївська,,,
2016,Миколаївська,,,31.1
2017,Миколаївська,,,23.8
2018,Миколаївська,,,28.6
2019,Миколаївська,,,46.2
2020,Миколаївська,,,84.4
2021,Миколаївська,,,203.3
2022,Миколаївська,,,504.8
2023,Миколаївська,,,696.8
2024,Миколаївська,,,1829.5
2015,Одеська,,,
2016,Одеська,,,30.9
2017,Одеська,,,24.6
2018,Одеська,,,29.9
2019,Одеська,,,50.1
2020,Одеська,,,132.5
2021,Одеська,,,324.1
2022,Одеська,,,646.3
2023,Одеська,,,799.2
2024,Одеська,,,1729.7
2015,Полтавська,,,
2016,Полтавська,,,25.8
2017,Полтавська,,,20.9
2018,Полтавська,,,26.3
2019,Полтавська,,,35.8
2020,Полтавська,,,47.7
2021,Полтавська,,,84.4
2022,Полтавська,,,218.9
2023,Полтавська,,,298.9
2024,Полтавська,,,927.2
2015,Рівненська,,,
2016,Рівненська,,,27.5
2017,Рівненська,,,22.5
2018,Рівненська,,,25.2
2019,Рівненська,,,34.7
2020,Рівненська,,,42.3
2021,Рівненська,,,79.7
2022,Рівненська,,,384.9
2023,Рівненська,,,497.4
2024,Рівненська,,,1480.0
2015,Сумська,,,
2016,Сумська,,,24.2
2017,Сумська,,,18.9
2018,Сумська,,,22.9
2019,Сумська,,,42.6
2020,Сумська,,,55.3
2021,Сумська,,,125.2
2022,Сумська,,,286.2
2023,Сумська,,,408.3
2024,Сумська,,,1164.5
2015,Тернопільська,,,
2016,Тернопільська,,,23.0
2017,Тернопільська,,,18.9
2018,Тернопільська,,,22.4
2019,Тернопільська,,,52.1
2020,Тернопільська,,,52.2
2021,Тернопільська,,,57.9
2022,Тернопільська,,,164.7
2023,Тернопільська,,,252.4
2024,Тернопільська,,,1101.3
2015,Харківська,,,
2016,Харківська,,,24.4
2017,Харківська,,,19.2
2018,Харківська,,,26.3
2019,Харківська,,,39.0
2020,Харківська,,,66.2
2021,Харківська,,,152.6
2022,Харківська,,,402.1
2023,Харківська,,,666.4
2024,Харківська,,,1508.5
2015,Херсонська,,,
2016,Херсонська,,,29.1
2017,Херсонська,,,24.4
2018,Херсонська,,,28.2
2019,Херсонська,,,41.8
2020,Херсонська,,,110.5
2021,Херсонська,,,265.2
2022,Херсонська,,,635.2
2023,Херсонська,,,1202.2
2024,Херсонська,,,2252.3
2015,Хмельницька,,,
2016,Хмельницька,,,25.8
2017,Хмельницька,,,19.6
2018,Хмельницька,,,27.2
2019,Хмельницька,,,69.2
2020,Хмельницька,,,68.6
2021,Хмельницька,,,91.2
2022,Хмельницька,,,263.7
2023,Хмельницька,,,345.8
2024,Хмельницька,,,1240.6
2015,Черкаська,,,
2016,Черкаська,,,23.9
2017,Черкаська,,,25.9
2018,Черкаська,,,27.0
2019,Черкаська,,,37.0
2020,Черкаська,,,49.7
2021,Черкаська,,,105.7
2022,Черкаська,,,244.2
2023,Черкаська,,,314.1
2024,Черкаська,,,927.4
2015,Чернівецька,,,
2016,Чернівецька,,,20.3
2017,Чернівецька,,,17.3
2018,Чернівецька,,,21.2
2019,Чернівецька,,,30.7
2020,Чернівецька,,,41.3
2021,Чернівецька,,,100.6
2022,Чернівецька,,,287.0
2023,Чернівецька,,,389.8
2024,Чернівецька,,,1506.8
2015,Чернігівська,,,
2016,Чернігівська,,,23.7
2017,Чернігівська,,,19.7
2018,Чернігівська,,,21.2
2019,Чернігівська,,,45.1
2020,Чернігівська,,,51.2
2021,Чернігівська,,,89.3
2022,Чернігівська,,,188.5
2023,Чернігівська,,,293.7
2024,Чернігівська,,,871.9
2015,м. Київ,,,
2016,м. Київ,,,40.0
2017,м. Київ,,,32.5
2018,м. Київ,,,45.1
2019,м. Київ,,,85.6
2020,м. Київ,,,209.7
2021,м. Київ,,,397.0
2022,м. Київ,,,808.9
2023,м. Київ,,,1071.2
2024,м. Київ,,,1758.4
2015,м. Севастополь,,,
2016,м. Севастополь,,,
2017,м. Севастополь,,,
2018,м. Севастополь,,,
2019,м. Севастополь,,,
2020,м. Севастополь,,,
2021,м. Севастополь,,,
2022,м. Севастополь,,,
2023,м. Севастополь,,,
2024,м. Севастополь,,,
