Year,за типами укриттів,Value
2015,,10.0
2016,,10.0
2017,,10.0
2018,,10.0
2019,,10.0
2020,,10.0
2021,,15.0
2022,,35.0
2023,,45.0
2024,,50.6
2015,сховища,2.0
2016,сховища,2.0
2017,сховища,2.0
2018,сховища,2.0
2019,сховища,2.0
2020,сховища,2.0
2021,сховища,2.0
2022,сховища,2.0
2023,сховища,2.0
2024,сховища,2.0
2015,протирадіаційні укриття,8.0
2016,протирадіаційні укриття,8.0
2017,протирадіаційні укриття,8.0
2018,протирадіаційні укриття,8.0
2019,протирадіаційні укриття,8.0
2020,протирадіаційні укриття,8.0
2021,протирадіаційні укриття,8.0
2022,протирадіаційні укриття,8.0
2023,протирадіаційні укриття,8.0
2024,протирадіаційні укриття,8.0
2015,споруди подвійного призначення,
2016,споруди подвійного призначення,
2017,споруди подвійного призначення,
2018,споруди подвійного призначення,
2019,споруди подвійного призначення,
2020,споруди подвійного призначення,
2021,споруди подвійного призначення,
2022,споруди подвійного призначення,1.0
2023,споруди подвійного призначення,1.0
2024,споруди подвійного призначення,1.0
2015,найпростіші укриття,
2016,найпростіші укриття,
2017,найпростіші укриття,
2018,найпростіші укриття,
2019,найпростіші укриття,
2020,найпростіші укриття,
2021,найпростіші укриття,5.0
2022,найпростіші укриття,24.0
2023,найпростіші укриття,34.0
2024,найпростіші укриття,39.6
