Year,Група,Value
2015,енергоємність валового внутрішнього продукту,100.0
2016,енергоємність валового внутрішнього продукту,102.3
2017,енергоємність валового внутрішнього продукту,94.7
2018,енергоємність валового внутрішнього продукту,95.2
2019,енергоємність валового внутрішнього продукту,88.5
2020,енергоємність валового внутрішнього продукту,88.9
2021,енергоємність валового внутрішнього продукту,
2022,енергоємність валового внутрішнього продукту,
2023,енергоємність валового внутрішнього продукту,
2024,енергоємність валового внутрішнього продукту,
2015,матеріалоємність валового внутрішнього продукту,100.0
2016,матеріалоємність валового внутрішнього продукту,100.0
2017,матеріалоємність валового внутрішнього продукту,98.2
2018,матеріалоємність валового внутрішнього продукту,97.2
2019,матеріалоємність валового внутрішнього продукту,100.4
2020,матеріалоємність валового внутрішнього продукту,99.9
2021,матеріалоємність валового внутрішнього продукту,108.2
2022,матеріалоємність валового внутрішнього продукту,57.6
2023,матеріалоємність валового внутрішнього продукту,40.4
2024,матеріалоємність валового внутрішнього продукту,
2015,вуглецевоємність валового внутрішнього продукту,100.0
2016,вуглецевоємність валового внутрішнього продукту,105.8
2017,вуглецевоємність валового внутрішнього продукту,85.1
2018,вуглецевоємність валового внутрішнього продукту,83.8
2019,вуглецевоємність валового внутрішнього продукту,77.9
2020,вуглецевоємність валового внутрішнього продукту,72.8
2021,вуглецевоємність валового внутрішнього продукту,72.2
2022,вуглецевоємність валового внутрішнього продукту,57.4
2023,вуглецевоємність валового внутрішнього продукту,58.1
2024,вуглецевоємність валового внутрішнього продукту,
2015,водоємність валового внутрішнього продукту,100.0
2016,водоємність валового внутрішнього продукту,98.2
2017,водоємність валового внутрішнього продукту,91.7
2018,водоємність валового внутрішнього продукту,95.1
2019,водоємність валового внутрішнього продукту,91.6
2020,водоємність валового внутрішнього продукту,94.2
2021,водоємність валового внутрішнього продукту,77.3
2022,водоємність валового внутрішнього продукту,60.1
2023,водоємність валового внутрішнього продукту,
2024,водоємність валового внутрішнього продукту,
2015,відходоємність валового внутрішнього продукту,100.0
2016,відходоємність валового внутрішнього продукту,92.5
2017,відходоємність валового внутрішнього продукту,111.6
2018,відходоємність валового внутрішнього продукту,103.9
2019,відходоємність валового внутрішнього продукту,126.1
2020,відходоємність валового внутрішнього продукту,137.3
2021,відходоємність валового внутрішнього продукту,141.6
2022,відходоємність валового внутрішнього продукту,82.1
2023,відходоємність валового внутрішнього продукту,67.4
2024,відходоємність валового внутрішнього продукту,
