Year,Моря,Область,Value
2015,,,147.692
2015,Азовське море,,147.425
2015,Чорне море,,0.267
2015,,Автономна Республіка Крим,
2015,,Донецька,141.621
2015,,Запорізька,5.772
2015,,Миколаївська,0.196
2015,,Одеська,
2015,,Херсонська,0.103
2015,,м. Севастополь,
2016,,,147.4
2016,Азовське море,,146.5
2016,Чорне море,,0.9
2016,,Автономна Республіка Крим,
2016,,Донецька,140.76
2016,,Запорізька,5.739
2016,,Миколаївська,0.185
2016,,Одеська,
2016,,Херсонська,0.716
2016,,м. Севастополь,
2017,,,160.5
2017,Азовське море,,159.702
2017,Чорне море,,0.798
2017,,Автономна Республіка Крим,
2017,,Донецька,154.0
2017,,Запорізька,5.702
2017,,Миколаївська,0.239
2017,,Одеська,
2017,,Херсонська,0.559
2017,,м. Севастополь,
2018,,,146.573
2018,Азовське море,,145.252
2018,Чорне море,,1.321
2018,,Автономна Республіка Крим,
2018,,Донецька,139.9
2018,,Запорізька,5.352
2018,,Миколаївська,0.242
2018,,Одеська,
2018,,Херсонська,1.079
2018,,м. Севастополь,
2019,,,6.24
2019,Азовське море,,4.856
2019,Чорне море,,1.384
2019,,Автономна Республіка Крим,
2019,,Донецька,0.04
2019,,Запорізька,4.816
2019,,Миколаївська,0.236
2019,,Одеська,0.534
2019,,Херсонська,0.614
2019,,м. Севастополь,
2020,,,6.309
2020,Азовське море,,5.313
2020,Чорне море,,0.996
2020,,Автономна Республіка Крим,
2020,,Донецька,0.107
2020,,Запорізька,5.195
2020,,Миколаївська,0.267
2020,,Одеська,0.132
2020,,Херсонська,0.608
2020,,м. Севастополь,
2021,,,6.783
2021,Азовське море,,5.307
2021,Чорне море,,1.476
2021,,Автономна Республіка Крим,
2021,,Донецька,0.312
2021,,Запорізька,4.994
2021,,Миколаївська,0.263
2021,,Одеська,0.632
2021,,Херсонська,0.582
2021,,м. Севастополь,
2022,,,0.405
2022,Азовське море,,
2022,Чорне море,,0.405
2022,,Автономна Республіка Крим,
2022,,Донецька,
2022,,Запорізька,
2022,,Миколаївська,0.155
2022,,Одеська,0.25
2022,,Херсонська,
2022,,м. Севастополь,
2023,,,0.488
2023,Азовське море,,
2023,Чорне море,,0.488
2023,,Автономна Республіка Крим,
2023,,Донецька,
2023,,Запорізька,
2023,,Миколаївська,0.146
2023,,Одеська,0.342
2023,,Херсонська,
2023,,м. Севастополь,
2024,,,0.414
2024,Азовське море,,
2024,Чорне море,,0.414
2024,,Автономна Республіка Крим,
2024,,Донецька,
2024,,Запорізька,
2024,,Миколаївська,0.148
2024,,Одеська,0.266
2024,,Херсонська,
2024,,м. Севастополь,
