Year,Область,Value
2015,Україна,97.7
2016,Україна,100.0
2017,Україна,98.3
2018,Україна,96.1
2019,Україна,99.3
2020,Україна,97.2
2021,Україна,98.2
2022,Україна,98.6
2023,Україна,97.2
2024,Україна,97.2
2015,Автономна Республіка Крим,
2016,Автономна Республіка Крим,
2017,Автономна Республіка Крим,
2018,Автономна Республіка Крим,
2019,Автономна Республіка Крим,
2020,Автономна Республіка Крим,
2021,Автономна Республіка Крим,
2022,Автономна Республіка Крим,
2023,Автономна Республіка Крим,
2024,Автономна Республіка Крим,
2015,Вінницька,98.9
2016,Вінницька,100.0
2017,Вінницька,98.6
2018,Вінницька,99.4
2019,Вінницька,99.8
2020,Вінницька,97.8
2021,Вінницька,97.6
2022,Вінницька,100.0
2023,Вінницька,100.0
2024,Вінницька,100.0
2015,Волинська,99.3
2016,Волинська,100.0
2017,Волинська,97.1
2018,Волинська,100.0
2019,Волинська,100.0
2020,Волинська,100.0
2021,Волинська,100.0
2022,Волинська,100.0
2023,Волинська,100.0
2024,Волинська,100.0
2015,Дніпропетровська,100.0
2016,Дніпропетровська,100.0
2017,Дніпропетровська,100.0
2018,Дніпропетровська,100.0
2019,Дніпропетровська,100.0
2020,Дніпропетровська,100.0
2021,Дніпропетровська,100.0
2022,Дніпропетровська,100.0
2023,Дніпропетровська,
2024,Дніпропетровська,50.0
2015,Донецька,100.0
2016,Донецька,100.0
2017,Донецька,100.0
2018,Донецька,100.0
2019,Донецька,100.0
2020,Донецька,100.0
2021,Донецька,100.0
2022,Донецька,100.0
2023,Донецька,100.0
2024,Донецька,100.0
2015,Житомирська,100.0
2016,Житомирська,100.0
2017,Житомирська,99.0
2018,Житомирська,96.8
2019,Житомирська,100.0
2020,Житомирська,100.0
2021,Житомирська,100.0
2022,Житомирська,100.0
2023,Житомирська,100.0
2024,Житомирська,100.0
2015,Закарпатська,100.0
2016,Закарпатська,100.0
2017,Закарпатська,100.0
2018,Закарпатська,100.0
2019,Закарпатська,100.0
2020,Закарпатська,100.0
2021,Закарпатська,68.8
2022,Закарпатська,100.0
2023,Закарпатська,93.1
2024,Закарпатська,100.0
2015,Запорізька,100.0
2016,Запорізька,100.0
2017,Запорізька,99.0
2018,Запорізька,98.7
2019,Запорізька,100.0
2020,Запорізька,100.0
2021,Запорізька,100.0
2022,Запорізька,100.0
2023,Запорізька,100.0
2024,Запорізька,100.0
2015,Івано-Франківська,100.0
2016,Івано-Франківська,100.0
2017,Івано-Франківська,100.0
2018,Івано-Франківська,78.0
2019,Івано-Франківська,100.0
2020,Івано-Франківська,100.0
2021,Івано-Франківська,100.0
2022,Івано-Франківська,100.0
2023,Івано-Франківська,100.0
2024,Івано-Франківська,97.4
2015,Київська,100.0
2016,Київська,100.0
2017,Київська,100.0
2018,Київська,100.0
2019,Київська,100.0
2020,Київська,100.0
2021,Київська,100.0
2022,Київська,100.0
2023,Київська,100.0
2024,Київська,100.0
2015,Кіровоградська,100.0
2016,Кіровоградська,100.0
2017,Кіровоградська,99.0
2018,Кіровоградська,100.0
2019,Кіровоградська,100.0
2020,Кіровоградська,100.0
2021,Кіровоградська,100.0
2022,Кіровоградська,100.0
2023,Кіровоградська,100.0
2024,Кіровоградська,100.0
2015,Луганська,100.0
2016,Луганська,100.0
2017,Луганська,100.0
2018,Луганська,100.0
2019,Луганська,100.0
2020,Луганська,98.9
2021,Луганська,100.0
2022,Луганська,
2023,Луганська,
2024,Луганська,
2015,Львівська,98.5
2016,Львівська,100.0
2017,Львівська,100.0
2018,Львівська,75.8
2019,Львівська,100.0
2020,Львівська,80.0
2021,Львівська,100.0
2022,Львівська,100.0
2023,Львівська,100.0
2024,Львівська,100.0
2015,Миколаївська,100.0
2016,Миколаївська,100.0
2017,Миколаївська,100.0
2018,Миколаївська,100.0
2019,Миколаївська,84.6
2020,Миколаївська,100.0
2021,Миколаївська,100.0
2022,Миколаївська,100.0
2023,Миколаївська,100.0
2024,Миколаївська,100.0
2015,Одеська,89.4
2016,Одеська,100.0
2017,Одеська,100.0
2018,Одеська,100.0
2019,Одеська,100.0
2020,Одеська,85.5
2021,Одеська,70.9
2022,Одеська,72.5
2023,Одеська,100.0
2024,Одеська,87.5
2015,Полтавська,89.3
2016,Полтавська,100.0
2017,Полтавська,92.8
2018,Полтавська,94.7
2019,Полтавська,100.0
2020,Полтавська,63.6
2021,Полтавська,100.0
2022,Полтавська,100.0
2023,Полтавська,100.0
2024,Полтавська,87.9
2015,Рівненська,99.3
2016,Рівненська,100.0
2017,Рівненська,100.0
2018,Рівненська,100.0
2019,Рівненська,100.0
2020,Рівненська,100.0
2021,Рівненська,100.0
2022,Рівненська,100.0
2023,Рівненська,100.0
2024,Рівненська,100.0
2015,Сумська,93.0
2016,Сумська,100.0
2017,Сумська,98.1
2018,Сумська,99.1
2019,Сумська,99.7
2020,Сумська,99.0
2021,Сумська,98.2
2022,Сумська,100.0
2023,Сумська,96.4
2024,Сумська,96.5
2015,Тернопільська,100.0
2016,Тернопільська,100.0
2017,Тернопільська,99.0
2018,Тернопільська,98.6
2019,Тернопільська,100.0
2020,Тернопільська,98.9
2021,Тернопільська,99.0
2022,Тернопільська,100.0
2023,Тернопільська,100.0
2024,Тернопільська,93.3
2015,Харківська,95.7
2016,Харківська,100.0
2017,Харківська,98.8
2018,Харківська,100.0
2019,Харківська,100.0
2020,Харківська,100.0
2021,Харківська,99.6
2022,Харківська,100.0
2023,Харківська,100.0
2024,Харківська,100.0
2015,Херсонська,98.1
2016,Херсонська,100.0
2017,Херсонська,100.0
2018,Херсонська,94.4
2019,Херсонська,100.0
2020,Херсонська,100.0
2021,Херсонська,100.0
2022,Херсонська,
2023,Херсонська,
2024,Херсонська,
2015,Хмельницька,90.1
2016,Хмельницька,100.0
2017,Хмельницька,96.1
2018,Хмельницька,98.8
2019,Хмельницька,96.3
2020,Хмельницька,100.0
2021,Хмельницька,98.8
2022,Хмельницька,89.2
2023,Хмельницька,100.0
2024,Хмельницька,87.5
2015,Черкаська,100.0
2016,Черкаська,100.0
2017,Черкаська,96.6
2018,Черкаська,99.2
2019,Черкаська,100.0
2020,Черкаська,99.1
2021,Черкаська,99.4
2022,Черкаська,100.0
2023,Черкаська,97.2
2024,Черкаська,96.4
2015,Чернівецька,98.8
2016,Чернівецька,100.0
2017,Чернівецька,97.8
2018,Чернівецька,65.2
2019,Чернівецька,90.4
2020,Чернівецька,100.0
2021,Чернівецька,99.3
2022,Чернівецька,100.0
2023,Чернівецька,71.4
2024,Чернівецька,100.0
2015,Чернігівська,96.6
2016,Чернігівська,100.0
2017,Чернігівська,95.5
2018,Чернігівська,89.5
2019,Чернігівська,93.6
2020,Чернігівська,93.8
2021,Чернігівська,94.3
2022,Чернігівська,81.5
2023,Чернігівська,68.8
2024,Чернігівська,86.5
2015,м. Київ,
2016,м. Київ,
2017,м. Київ,
2018,м. Київ,
2019,м. Київ,
2020,м. Київ,
2021,м. Київ,
2022,м. Київ,
2023,м. Київ,
2024,м. Київ,
2015,м. Севастополь,
2016,м. Севастополь,
2017,м. Севастополь,
2018,м. Севастополь,
2019,м. Севастополь,
2020,м. Севастополь,
2021,м. Севастополь,
2022,м. Севастополь,
2023,м. Севастополь,
2024,м. Севастополь,
