Year,Область,Вік,Стать,Місцевість проживання,Децільні групи за рівнем середньодушових еквівалентних загальних доходів,Value
2015,,до 15 років,,,,
2015,,15–17 років,,,,0.6
2015,,18–24 роки,,,,1.1
2015,,25–35 років,,,,2.5
2015,,36–59 років,,,,2.9
2015,,60–74 роки,,,,2.6
2015,,75 років і старше,,,,4.5
2015,,,жінки,,,2.4
2015,,,чоловіки,,,1.8
2015,,,,міська,,2.2
2015,,,,сільська,,1.6
2015,,,,,перша (нижча),0.6
2015,,,,,друга,2.0
2015,,,,,третя,0.5
2015,,,,,четверта,1.1
2015,,,,,п'ята,1.7
2015,,,,,шоста,2.1
2015,,,,,сьома,2.6
2015,,,,,восьма,2.6
2015,,,,,дев'ята,2.4
2015,,,,,десята (вища),4.4
2015,,,,,,2.1
2015,Автономна Республіка Крим,,,,,
2015,Вінницька,,,,,1.9
2015,Волинська,,,,,0.0
2015,Дніпропетровська,,,,,1.7
2015,Донецька,,,,,0.9
2015,Житомирська,,,,,5.2
2015,Закарпатська,,,,,0.1
2015,Запорізька,,,,,1.6
2015,Івано-Франківська,,,,,2.2
2015,Київська,,,,,0.5
2015,Кіровоградська,,,,,0.5
2015,Луганська,,,,,2.5
2015,Львівська,,,,,2.0
2015,Миколаївська,,,,,3.9
2015,Одеська,,,,,3.9
2015,Полтавська,,,,,0.5
2015,Рівненська,,,,,0.3
2015,Сумська,,,,,0.4
2015,Тернопільська,,,,,0.7
2015,Харківська,,,,,2.2
2015,Херсонська,,,,,1.8
2015,Хмельницька,,,,,1.3
2015,Черкаська,,,,,1.6
2015,Чернівецька,,,,,5.1
2015,Чернігівська,,,,,1.8
2015,м. Київ,,,,,4.7
2015,м. Севастополь,,,,,
2016,,до 15 років,,,,
2016,,15–17 років,,,,0.2
2016,,18–24 роки,,,,0.4
2016,,25–35 років,,,,2.3
2016,,36–59 років,,,,2.3
2016,,60–74 роки,,,,1.6
2016,,75 років і старше,,,,2.5
2016,,,жінки,,,2.0
2016,,,чоловіки,,,1.3
2016,,,,міська,,1.8
2016,,,,сільська,,1.3
2016,,,,,перша (нижча),1.1
2016,,,,,друга,0.9
2016,,,,,третя,1.4
2016,,,,,четверта,0.4
2016,,,,,п'ята,1.7
2016,,,,,шоста,1.4
2016,,,,,сьома,1.9
2016,,,,,восьма,2.1
2016,,,,,дев'ята,1.6
2016,,,,,десята (вища),3.8
2016,,,,,,1.7
2016,Автономна Республіка Крим,,,,,
2016,Вінницька,,,,,1.5
2016,Волинська,,,,,1.3
2016,Дніпропетровська,,,,,1.7
2016,Донецька,,,,,1.9
2016,Житомирська,,,,,3.5
2016,Закарпатська,,,,,0.0
2016,Запорізька,,,,,0.7
2016,Івано-Франківська,,,,,1.0
2016,Київська,,,,,0.5
2016,Кіровоградська,,,,,0.8
2016,Луганська,,,,,2.8
2016,Львівська,,,,,1.3
2016,Миколаївська,,,,,3.0
2016,Одеська,,,,,1.9
2016,Полтавська,,,,,2.0
2016,Рівненська,,,,,0.9
2016,Сумська,,,,,0.1
2016,Тернопільська,,,,,1.4
2016,Харківська,,,,,2.2
2016,Херсонська,,,,,1.8
2016,Хмельницька,,,,,0.5
2016,Черкаська,,,,,2.1
2016,Чернівецька,,,,,4.4
2016,Чернігівська,,,,,1.2
2016,м. Київ,,,,,2.4
2016,м. Севастополь,,,,,
2017,,до 15 років,,,,0.1
2017,,15–17 років,,,,0.1
2017,,18–24 роки,,,,0.4
2017,,25–35 років,,,,2.1
2017,,36–59 років,,,,3.1
2017,,60–74 роки,,,,1.1
2017,,75 років і старше,,,,4.2
2017,,,жінки,,,2.3
2017,,,чоловіки,,,1.5
2017,,,,міська,,2.0
2017,,,,сільська,,1.5
