Year,Обсяги зареєстрованого випуску,Value
2015,"обсяг зареєстрованого випуску акцій, корпоративних облігацій",147.37
2016,"обсяг зареєстрованого випуску акцій, корпоративних облігацій",221.88
2017,"обсяг зареєстрованого випуску акцій, корпоративних облігацій",369.26
2018,"обсяг зареєстрованого випуску акцій, корпоративних облігацій",39.74
2019,"обсяг зареєстрованого випуску акцій, корпоративних облігацій",74.75
2020,"обсяг зареєстрованого випуску акцій, корпоративних облігацій",65.93
2021,"обсяг зареєстрованого випуску акцій, корпоративних облігацій",52.86
2022,"обсяг зареєстрованого випуску акцій, корпоративних облігацій",37.64
2023,"обсяг зареєстрованого випуску акцій, корпоративних облігацій",22.2
2024,"обсяг зареєстрованого випуску акцій, корпоративних облігацій",369.64
2025,"обсяг зареєстрованого випуску акцій, корпоративних облігацій",44.05
2015,обсяг зареєстрованого випуску корпоративних облігацій,
2016,обсяг зареєстрованого випуску корпоративних облігацій,
2017,обсяг зареєстрованого випуску корпоративних облігацій,
2018,обсяг зареєстрованого випуску корпоративних облігацій,
2019,обсяг зареєстрованого випуску корпоративних облігацій,
2020,обсяг зареєстрованого випуску корпоративних облігацій,0.09
2021,обсяг зареєстрованого випуску корпоративних облігацій,0.25
2022,обсяг зареєстрованого випуску корпоративних облігацій,0.06
2023,обсяг зареєстрованого випуску корпоративних облігацій,0.08
2024,обсяг зареєстрованого випуску корпоративних облігацій,0.17
2025,обсяг зареєстрованого випуску корпоративних облігацій,0.07
