Year,за призначенням земель,Область,Value
2015,,Україна,5.5
2016,,Україна,5.7
2017,,Україна,5.1
2018,,Україна,5.0
2019,,Україна,4.2
2020,,Україна,3.6
2021,,Україна,2.9
2022,,Україна,2.2
2023,,Україна,1.9
2024,,Україна,1.8
2015,,Вінницька,6.6
2016,,Вінницька,6.6
2017,,Вінницька,6.3
2018,,Вінницька,6.2
2019,,Вінницька,5.2
2020,,Вінницька,4.1
2021,,Вінницька,3.6
2022,,Вінницька,3.9
2023,,Вінницька,3.5
2024,,Вінницька,4.2
2015,,Волинська,6.8
2016,,Волинська,7.9
2017,,Волинська,5.8
2018,,Волинська,6.0
2019,,Волинська,4.9
2020,,Волинська,3.6
2021,,Волинська,3.0
2022,,Волинська,1.9
2023,,Волинська,1.9
2024,,Волинська,1.7
2015,,Дніпропетровська,7.7
2016,,Дніпропетровська,5.7
2017,,Дніпропетровська,5.4
2018,,Дніпропетровська,5.3
2019,,Дніпропетровська,5.0
2020,,Дніпропетровська,4.1
2021,,Дніпропетровська,3.5
2022,,Дніпропетровська,3.2
2023,,Дніпропетровська,3.2
2024,,Дніпропетровська,3.2
2015,,Донецька,2.4
2016,,Донецька,2.6
2017,,Донецька,2.6
2018,,Донецька,2.9
2019,,Донецька,0.8
2020,,Донецька,1.6
2021,,Донецька,1.0
2022,,Донецька,0.0
2023,,Донецька,0.0
2024,,Донецька,0.0
2015,,Житомирська,7.4
2016,,Житомирська,6.5
2017,,Житомирська,6.0
2018,,Житомирська,6.0
2019,,Житомирська,5.2
2020,,Житомирська,4.1
2021,,Житомирська,3.6
2022,,Житомирська,3.7
2023,,Житомирська,3.3
2024,,Житомирська,3.1
2015,,Закарпатська,6.3
2016,,Закарпатська,10.4
2017,,Закарпатська,9.6
2018,,Закарпатська,9.5
2019,,Закарпатська,9.3
2020,,Закарпатська,6.7
2021,,Закарпатська,3.8
2022,,Закарпатська,1.8
2023,,Закарпатська,1.4
2024,,Закарпатська,0.0
2015,,Запорізька,4.7
2016,,Запорізька,5.1
2017,,Запорізька,4.5
2018,,Запорізька,4.7
2019,,Запорізька,4.0
2020,,Запорізька,3.3
2021,,Запорізька,2.9
2022,,Запорізька,2.0
2023,,Запорізька,1.1
2024,,Запорізька,0.4
2015,,Івано-Франківська,9.1
2016,,Івано-Франківська,8.6
2017,,Івано-Франківська,7.2
2018,,Івано-Франківська,7.7
2019,,Івано-Франківська,6.2
2020,,Івано-Франківська,4.9
2021,,Івано-Франківська,3.1
2022,,Івано-Франківська,2.6
2023,,Івано-Франківська,2.6
2024,,Івано-Франківська,2.5
2015,,Київська,8.7
2016,,Київська,9.1
2017,,Київська,7.9
2018,,Київська,8.0
2019,,Київська,8.2
2020,,Київська,6.8
2021,,Київська,6.5
2022,,Київська,5.0
2023,,Київська,6.3
2024,,Київська,6.0
2015,,Кіровоградська,9.3
2016,,Кіровоградська,5.7
2017,,Кіровоградська,5.0
2018,,Кіровоградська,5.6
2019,,Кіровоградська,3.8
2020,,Кіровоградська,2.8
2021,,Кіровоградська,2.8
2022,,Кіровоградська,2.2
2023,,Кіровоградська,2.2
2024,,Кіровоградська,2.3
2015,,Луганська,4.8
2016,,Луганська,4.4
2017,,Луганська,4.0
2018,,Луганська,4.0
2019,,Луганська,2.9
2020,,Луганська,2.3
2021,,Луганська,1.0
2022,,Луганська,0.0
2023,,Луганська,0.0
2024,,Луганська,0.0
2015,,Львівська,3.5
2016,,Львівська,3.6
2017,,Львівська,1.8
2018,,Львівська,3.3
2019,,Львівська,3.0
2020,,Львівська,2.4
2021,,Львівська,1.8
2022,,Львівська,1.7
2023,,Львівська,1.5
2024,,Львівська,1.2
2015,,Миколаївська,8.2
2016,,Миколаївська,7.1
2017,,Миколаївська,6.4
2018,,Миколаївська,6.2
2019,,Миколаївська,4.4
2020,,Миколаївська,3.5
2021,,Миколаївська,2.0
2022,,Миколаївська,1.6
2023,,Миколаївська,0.0
2024,,Миколаївська,0.0
2015,,Одеська,2.1
2016,,Одеська,2.5
2017,,Одеська,1.7
2018,,Одеська,2.2
2019,,Одеська,1.6
2020,,Одеська,2.6
2021,,Одеська,2.1
2022,,Одеська,2.1
2023,,Одеська,1.4
2024,,Одеська,1.9
2015,,Полтавська,2.6
2016,,Полтавська,6.0
2017,,Полтавська,4.6
2018,,Полтавська,4.5
2019,,Полтавська,4.5
2020,,Полтавська,3.2
2021,,Полтавська,3.5
2022,,Полтавська,3.0
2023,,Полтавська,3.0
2024,,Полтавська,4.0
2015,,Рівненська,6.6
2016,,Рівненська,8.1
2017,,Рівненська,6.6
2018,,Рівненська,6.5
2019,,Рівненська,5.9
2020,,Рівненська,4.8
2021,,Рівненська,3.2
2022,,Рівненська,3.1
2023,,Рівненська,2.4
2024,,Рівненська,2.5
2015,,Сумська,5.2
2016,,Сумська,4.5
2017,,Сумська,5.1
2018,,Сумська,4.1
2019,,Сумська,3.7
2020,,Сумська,4.2
2021,,Сумська,3.0
2022,,Сумська,2.6
2023,,Сумська,0.2
2024,,Сумська,0.4
2015,,Тернопільська,5.6
2016,,Тернопільська,7.0
2017,,Тернопільська,6.4
2018,,Тернопільська,6.4
2019,,Тернопільська,6.5
2020,,Тернопільська,4.6
2021,,Тернопільська,4.5
2022,,Тернопільська,4.3
2023,,Тернопільська,4.6
2024,,Тернопільська,3.4
2015,,Харківська,5.2
2016,,Харківська,5.3
2017,,Харківська,4.9
2018,,Харківська,3.4
2019,,Харківська,3.2
2020,,Харківська,2.4
2021,,Харківська,1.1
2022,,Харківська,1.3
2023,,Харківська,0.1
2024,,Харківська,0.0
2015,,Херсонська,7.0
2016,,Херсонська,5.9
2017,,Херсонська,6.7
2018,,Херсонська,10.3
2019,,Херсонська,5.5
2020,,Херсонська,4.5
2021,,Херсонська,4.1
2022,,Херсонська,0.0
2023,,Херсонська,0.0
2024,,Херсонська,0.0
2015,,Хмельницька,4.1
2016,,Хмельницька,6.2
2017,,Хмельницька,5.1
2018,,Хмельницька,3.2
2019,,Хмельницька,3.9
2020,,Хмельницька,3.2
2021,,Хмельницька,2.8
2022,,Хмельницька,2.7
2023,,Хмельницька,3.0
2024,,Хмельницька,3.3
2015,,Черкаська,4.1
2016,,Черкаська,7.1
2017,,Черкаська,7.1
2018,,Черкаська,4.9
2019,,Черкаська,5.5
2020,,Черкаська,4.5
2021,,Черкаська,4.0
2022,,Черкаська,3.7
2023,,Черкаська,3.5
2024,,Черкаська,3.3
2015,,Чернівецька,9.8
2016,,Чернівецька,8.5
2017,,Чернівецька,8.4
2018,,Чернівецька,8.6
2019,,Чернівецька,7.2
2020,,Чернівецька,6.0
2021,,Чернівецька,5.3
2022,,Чернівецька,3.5
2023,,Чернівецька,2.2
2024,,Чернівецька,2.2
2015,,Чернігівська,14.0
2016,,Чернігівська,21.3
2017,,Чернігівська,17.5
2018,,Чернігівська,10.3
2019,,Чернігівська,2.8
2020,,Чернігівська,2.8
2021,,Чернігівська,1.6
2022,,Чернігівська,1.5
2023,,Чернігівська,1.6
2024,,Чернігівська,0.0
2015,рілля,Україна,5.5
