Year,за причиною смертності,Value
2015,,15.1
2016,,12.6
2017,,9.1
2018,,12.5
2019,,14.9
2020,,18.7
2021,,42.7
2022,,
2023,,
2024,,
2015,безпосередньо пов'язаної з акушерськими причинами,8.0
2016,безпосередньо пов'язаної з акушерськими причинами,6.8
2017,безпосередньо пов'язаної з акушерськими причинами,5.2
2018,безпосередньо пов'язаної з акушерськими причинами,7.4
2019,безпосередньо пов'язаної з акушерськими причинами,8.1
2020,безпосередньо пов'язаної з акушерськими причинами,6.8
2021,безпосередньо пов'язаної з акушерськими причинами,8.5
2022,безпосередньо пов'язаної з акушерськими причинами,
2023,безпосередньо пов'язаної з акушерськими причинами,
2024,безпосередньо пов'язаної з акушерськими причинами,
2015,опосередковано пов'язаної з акушерськими причинами,7.1
2016,опосередковано пов'язаної з акушерськими причинами,5.8
2017,опосередковано пов'язаної з акушерськими причинами,3.9
2018,опосередковано пов'язаної з акушерськими причинами,5.1
2019,опосередковано пов'язаної з акушерськими причинами,6.8
2020,опосередковано пов'язаної з акушерськими причинами,11.9
2021,опосередковано пов'язаної з акушерськими причинами,34.2
2022,опосередковано пов'язаної з акушерськими причинами,
2023,опосередковано пов'язаної з акушерськими причинами,
2024,опосередковано пов'язаної з акушерськими причинами,
