Year,Стать,Місцевість проживання,Value
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
2021,,,
2022,,,
2023,,,
2024,,,
2015,Жіноча,,
2016,Жіноча,,
2017,Жіноча,,
2018,Жіноча,,
2019,Жіноча,,
2020,Жіноча,,
2021,Жіноча,,
2022,Жіноча,,
2023,Жіноча,,
2024,Жіноча,,
2015,Чоловіча,,
2016,Чоловіча,,
2017,Чоловіча,,
2018,Чоловіча,,
2019,Чоловіча,,
2020,Чоловіча,,
2021,Чоловіча,,
2022,Чоловіча,,
2023,Чоловіча,,
2024,Чоловіча,,
2015,,міська,
2016,,міська,
2017,,міська,
2018,,міська,
2019,,міська,
2020,,міська,
2021,,міська,
2022,,міська,
2023,,міська,
2024,,міська,
2015,,сільська,
2016,,сільська,
2017,,сільська,
2018,,сільська,
2019,,сільська,
2020,,сільська,
2021,,сільська,
2022,,сільська,
2023,,сільська,
2024,,сільська,
