Year,Область,Стать,Вік,Місцевість проживання,Value
2015,Україна,,,,77.69
2016,Україна,,,,77.21
2017,Україна,,,,77.39
2018,Україна,,,,77.37
2019,Україна,,,,77.88
2020,Україна,,,,78.0
2021,Україна,,,,78.02
2022,Україна,,,,78.22
2023,Україна,,,,
2015,Вінницька,,,,80.76
2016,Вінницька,,,,81.01
2017,Вінницька,,,,81.61
2018,Вінницька,,,,82.13
2019,Вінницька,,,,83.29
2020,Вінницька,,,,83.77
2021,Вінницька,,,,83.78
2022,Вінницька,,,,83.19
2023,Вінницька,,,,
2015,Волинська,,,,83.63
2016,Волинська,,,,83.97
2017,Волинська,,,,84.1
2018,Волинська,,,,84.43
2019,Волинська,,,,85.66
2020,Волинська,,,,85.77
2021,Волинська,,,,85.95
2022,Волинська,,,,86.02
2023,Волинська,,,,
2015,Дніпропетровська,,,,85.1
2016,Дніпропетровська,,,,84.82
2017,Дніпропетровська,,,,84.65
2018,Дніпропетровська,,,,84.0
2019,Дніпропетровська,,,,83.8
2020,Дніпропетровська,,,,83.44
2021,Дніпропетровська,,,,82.84
2022,Дніпропетровська,,,,82.18
2023,Дніпропетровська,,,,
2015,Донецька,,,,37.95
2016,Донецька,,,,35.2
2017,Донецька,,,,35.29
2018,Донецька,,,,35.76
2019,Донецька,,,,36.25
2020,Донецька,,,,36.49
2021,Донецька,,,,36.77
2022,Донецька,,,,37.87
2023,Донецька,,,,
2015,Житомирська,,,,83.21
2016,Житомирська,,,,83.18
2017,Житомирська,,,,83.21
2018,Житомирська,,,,82.88
2019,Житомирська,,,,83.78
2020,Житомирська,,,,83.88
2021,Житомирська,,,,83.42
2022,Житомирська,,,,82.78
2023,Житомирська,,,,
2015,Закарпатська,,,,85.17
2016,Закарпатська,,,,85.12
2017,Закарпатська,,,,84.84
2018,Закарпатська,,,,83.79
2019,Закарпатська,,,,84.18
2020,Закарпатська,,,,83.73
2021,Закарпатська,,,,83.38
2022,Закарпатська,,,,82.85
2023,Закарпатська,,,,
2015,Запорізька,,,,85.52
2016,Запорізька,,,,84.28
2017,Запорізька,,,,83.91
2018,Запорізька,,,,83.25
2019,Запорізька,,,,83.64
2020,Запорізька,,,,83.56
2021,Запорізька,,,,82.93
2022,Запорізька,,,,81.82
2023,Запорізька,,,,
2015,Івано-Франківська,,,,81.27
2016,Івано-Франківська,,,,81.41
2017,Івано-Франківська,,,,81.87
2018,Івано-Франківська,,,,81.7
2019,Івано-Франківська,,,,82.56
2020,Івано-Франківська,,,,83.03
2021,Івано-Франківська,,,,82.84
2022,Івано-Франківська,,,,82.44
2023,Івано-Франківська,,,,
2015,Київська,,,,92.53
2016,Київська,,,,93.35
2017,Київська,,,,93.72
2018,Київська,,,,93.51
2019,Київська,,,,94.3
2020,Київська,,,,94.55
2021,Київська,,,,94.11
2022,Київська,,,,93.85
2023,Київська,,,,
2015,Кіровоградська,,,,83.53
2016,Кіровоградська,,,,83.2
2017,Кіровоградська,,,,82.48
2018,Кіровоградська,,,,82.42
2019,Кіровоградська,,,,83.2
2020,Кіровоградська,,,,82.95
2021,Кіровоградська,,,,82.72
2022,Кіровоградська,,,,82.16
2023,Кіровоградська,,,,
2015,Луганська,,,,27.85
2016,Луганська,,,,24.09
2017,Луганська,,,,24.04
2018,Луганська,,,,24.03
2019,Луганська,,,,24.09
2020,Луганська,,,,23.95
2021,Луганська,,,,24.67
2022,Луганська,,,,25.95
2023,Луганська,,,,
2015,Львівська,,,,82.77
2016,Львівська,,,,83.45
2017,Львівська,,,,84.12
2018,Львівська,,,,84.56
2019,Львівська,,,,85.25
2020,Львівська,,,,85.54
2021,Львівська,,,,85.39
2022,Львівська,,,,85.09
2023,Львівська,,,,
2015,Миколаївська,,,,82.26
2016,Миколаївська,,,,81.98
2017,Миколаївська,,,,81.74
2018,Миколаївська,,,,81.81
2019,Миколаївська,,,,82.33
2020,Миколаївська,,,,82.28
2021,Миколаївська,,,,81.51
2022,Миколаївська,,,,81.39
2023,Миколаївська,,,,
2015,Одеська,,,,85.65
2016,Одеська,,,,85.11
2017,Одеська,,,,85.15
2018,Одеська,,,,84.87
2019,Одеська,,,,85.15
2020,Одеська,,,,84.93
2021,Одеська,,,,84.68
2022,Одеська,,,,84.76
2023,Одеська,,,,
2015,Полтавська,,,,84.5
2016,Полтавська,,,,84.24
2017,Полтавська,,,,84.34
2018,Полтавська,,,,84.52
2019,Полтавська,,,,84.85
2020,Полтавська,,,,84.79
2021,Полтавська,,,,84.39
2022,Полтавська,,,,83.98
2023,Полтавська,,,,
2015,Рівненська,,,,83.85
2016,Рівненська,,,,84.19
2017,Рівненська,,,,84.7
2018,Рівненська,,,,84.86
2019,Рівненська,,,,85.94
2020,Рівненська,,,,86.32
2021,Рівненська,,,,86.36
2022,Рівненська,,,,86.09
2023,Рівненська,,,,
2015,Сумська,,,,81.89
2016,Сумська,,,,81.9
2017,Сумська,,,,81.94
2018,Сумська,,,,82.3
2019,Сумська,,,,83.11
2020,Сумська,,,,83.4
2021,Сумська,,,,83.3
2022,Сумська,,,,82.79
2023,Сумська,,,,
2015,Тернопільська,,,,80.55
2016,Тернопільська,,,,80.04
2017,Тернопільська,,,,80.48
2018,Тернопільська,,,,80.72
2019,Тернопільська,,,,81.25
2020,Тернопільська,,,,81.36
2021,Тернопільська,,,,81.15
2022,Тернопільська,,,,80.48
2023,Тернопільська,,,,
2015,Харківська,,,,85.14
2016,Харківська,,,,84.39
2017,Харківська,,,,85.26
2018,Харківська,,,,84.26
2019,Харківська,,,,84.32
2020,Харківська,,,,84.72
2021,Харківська,,,,84.59
2022,Харківська,,,,84.39
2023,Харківська,,,,
2015,Херсонська,,,,84.4
2016,Херсонська,,,,83.3
2017,Херсонська,,,,82.6
2018,Херсонська,,,,82.67
2019,Херсонська,,,,83.23
2020,Херсонська,,,,83.36
2021,Херсонська,,,,82.78
2022,Херсонська,,,,82.33
2023,Херсонська,,,,
2015,Хмельницька,,,,83.31
2016,Хмельницька,,,,83.39
2017,Хмельницька,,,,83.15
2018,Хмельницька,,,,83.56
2019,Хмельницька,,,,84.34
2020,Хмельницька,,,,84.81
2021,Хмельницька,,,,84.44
2022,Хмельницька,,,,83.92
2023,Хмельницька,,,,
2015,Черкаська,,,,82.95
2016,Черкаська,,,,83.39
2017,Черкаська,,,,83.45
2018,Черкаська,,,,83.95
2019,Черкаська,,,,84.69
2020,Черкаська,,,,84.77
2021,Черкаська,,,,84.55
2022,Черкаська,,,,83.99
2023,Черкаська,,,,
2015,Чернівецька,,,,82.16
2016,Чернівецька,,,,82.38
2017,Чернівецька,,,,83.22
2018,Чернівецька,,,,83.14
2019,Чернівецька,,,,84.42
2020,Чернівецька,,,,84.56
2021,Чернівецька,,,,84.36
2022,Чернівецька,,,,83.81
2023,Чернівецька,,,,
2015,Чернігівська,,,,85.51
2016,Чернігівська,,,,85.69
2017,Чернігівська,,,,85.44
2018,Чернігівська,,,,85.54
2019,Чернігівська,,,,86.44
2020,Чернігівська,,,,86.8
2021,Чернігівська,,,,86.38
2022,Чернігівська,,,,86.0
2023,Чернігівська,,,,
2015,місто Київ,,,,84.83
2016,місто Київ,,,,85.01
2017,місто Київ,,,,85.83
2018,місто Київ,,,,85.49
2019,місто Київ,,,,84.84
2020,місто Київ,,,,84.92
2021,місто Київ,,,,85.63
2022,місто Київ,,,,86.43
2023,місто Київ,,,,
2015,,жінки,,,77.91
2016,,жінки,,,77.42
2017,,жінки,,,77.65
2018,,жінки,,,77.7
2019,,жінки,,,78.2
2020,,жінки,,,78.37
2021,,жінки,,,78.36
2022,,жінки,,,78.54
2015,,чоловіки,,,75.76
2016,,чоловіки,,,75.29
2017,,чоловіки,,,75.41
2018,,чоловіки,,,75.35
2019,,чоловіки,,,75.95
2020,,чоловіки,,,76.09
2021,,чоловіки,,,76.2
2022,,чоловіки,,,76.43
2015,,,6 років,,58.43
2016,,,6 років,,58.68
2017,,,6 років,,58.08
2018,,,6 років,,57.94
2019,,,6 років,,62.44
2020,,,6 років,,63.68
2021,,,6 років,,64.88
2022,,,6 років,,67.32
2015,,,7 років,,91.54
2016,,,7 років,,89.03
2017,,,7 років,,89.2
2018,,,7 років,,89.28
2019,,,7 років,,88.57
2020,,,7 років,,88.9
2021,,,7 років,,88.35
2022,,,7 років,,90.36
2015,,,8 років,,92.4
2016,,,8 років,,91.61
2017,,,8 років,,90.16
2018,,,8 років,,90.31
2019,,,8 років,,90.38
2020,,,8 років,,89.29
2021,,,8 років,,89.94
2022,,,8 років,,89.33
2015,,,9 років,,91.46
2016,,,9 років,,91.23
2017,,,9 років,,91.25
2018,,,9 років,,90.15
2019,,,9 років,,90.26
2020,,,9 років,,90.1
2021,,,9 років,,89.46
2022,,,9 років,,89.86
2015,,,10 років,,91.32
2016,,,10 років,,90.2
2017,,,10 років,,90.77
2018,,,10 років,,90.6
2019,,,10 років,,89.42
2020,,,10 років,,89.77
2021,,,10 років,,89.95
2022,,,10 років,,89.14
2015,,,11 років,,92.83
2016,,,11 років,,90.25
2017,,,11 років,,89.74
2018,,,11 років,,90.51
2019,,,11 років,,90.55
2020,,,11 років,,89.15
2021,,,11 років,,89.44
2022,,,11 років,,89.72
2015,,,12 років,,92.65
2016,,,12 років,,91.68
2017,,,12 років,,90.08
2018,,,12 років,,89.84
2019,,,12 років,,90.25
2020,,,12 років,,90.21
2021,,,12 років,,89.17
2022,,,12 років,,89.3
2015,,,13 років,,93.87
2016,,,13 років,,91.81
2017,,,13 років,,91.48
2018,,,13 років,,89.58
2019,,,13 років,,89.34
2020,,,13 років,,89.94
2021,,,13 років,,90.05
2022,,,13 років,,88.57
2015,,,14 років,,93.15
2016,,,14 років,,92.0
2017,,,14 років,,90.72
2018,,,14 років,,90.67
2019,,,14 років,,88.97
2020,,,14 років,,88.55
2021,,,14 років,,89.16
2022,,,14 років,,89.37
2015,,,15 років,,68.44
2016,,,15 років,,67.89
2017,,,15 років,,66.36
2018,,,15 років,,65.64
2019,,,15 років,,67.45
2020,,,15 років,,67.17
2021,,,15 років,,68.07
2022,,,15 років,,67.69
2015,,,16 років,,55.42
2016,,,16 років,,54.02
2017,,,16 років,,53.75
2018,,,16 років,,53.07
2019,,,16 років,,53.72
2020,,,16 років,,56.16
2021,,,16 років,,56.28
2022,,,16 років,,56.82
2015,,,17 років,,17.23
2016,,,17 років,,16.53
2017,,,17 років,,16.12
2018,,,17 років,,15.77
2019,,,17 років,,15.64
2020,,,17 років,,16.44
2021,,,17 років,,15.83
2022,,,17 років,,16.61
2015,,,,міська,79.26
2016,,,,міська,78.95
2017,,,,міська,79.94
2018,,,,міська,80.31
2019,,,,міська,80.96
2020,,,,міська,81.38
2021,,,,міська,81.75
2022,,,,міська,82.69
2015,,,,сільська,72.2
2016,,,,сільська,71.28
2017,,,,сільська,69.82
2018,,,,сільська,68.96
2019,,,,сільська,69.14
2020,,,,сільська,68.68
2021,,,,сільська,68.06
2022,,,,сільська,66.8
