Year,Галузь,Стать,Місцевість проживання,за типом закладу освіти,за соціально-економічним статусом,Value
2018,читання,,,,,74.09
2018,математика,,,,,64.08
2018,природа,,,,,73.57
2022,читання,,,,,59.05
2022,математика,,,,,57.59
2022,природа,,,,,65.99
2018,читання,жінки,,,,81.14
2018,математика,жінки,,,,62.97
2018,природа,жінки,,,,74.06
2022,читання,жінки,,,,64.56
2022,математика,жінки,,,,56.53
2022,природа,жінки,,,,67.5
2018,читання,чоловіки,,,,67.75
2018,математика,чоловіки,,,,65.08
2018,природа,чоловіки,,,,73.13
2022,читання,чоловіки,,,,53.53
2022,математика,чоловіки,,,,58.65
2022,природа,чоловіки,,,,64.46
2018,читання,,міська,,,77.75
2018,математика,,міська,,,68.44
2018,природа,,міська,,,77.01
2022,читання,,міська,,,62.94
2022,математика,,міська,,,60.76
2022,природа,,міська,,,68.94
2018,читання,,сільська,,,57.56
2018,математика,,сільська,,,44.31
2018,природа,,сільська,,,57.92
2022,читання,,сільська,,,43.83
2022,математика,,сільська,,,44.98
2022,природа,,сільська,,,54.49
2018,читання,,,ліцей / гімназія / спеціалізована школа,,87.29
2018,математика,,,ліцей / гімназія / спеціалізована школа,,80.4
2018,природа,,,ліцей / гімназія / спеціалізована школа,,86.96
2022,читання,,,ліцей / гімназія / спеціалізована школа,,67.03
2022,математика,,,ліцей / гімназія / спеціалізована школа,,65.05
2022,природа,,,ліцей / гімназія / спеціалізована школа,,72.58
2018,читання,,,середня школа / навчальний комплекс,,74.59
2018,математика,,,середня школа / навчальний комплекс,,62.5
2018,природа,,,середня школа / навчальний комплекс,,73.53
2022,читання,,,середня школа / навчальний комплекс,,53.51
2022,математика,,,середня школа / навчальний комплекс,,55.46
2022,природа,,,середня школа / навчальний комплекс,,63.16
2018,читання,,,коледж / технікум / професійно-технічний навчальний заклад,,64.9
2018,математика,,,коледж / технікум / професійно-технічний навчальний заклад,,56.36
2018,природа,,,коледж / технікум / професійно-технічний навчальний заклад,,65.12
2022,читання,,,коледж / технікум / професійно-технічний навчальний заклад,,40.97
2022,математика,,,коледж / технікум / професійно-технічний навчальний заклад,,37.18
2022,природа,,,коледж / технікум / професійно-технічний навчальний заклад,,49.01
2018,читання,,,,учні із низьким соціально-економічним статусом (25% учнів з найнижчими значеннями індексу PISA соціально-економічного статусу (ESCS)),56.24
2018,математика,,,,учні із низьким соціально-економічним статусом (25% учнів з найнижчими значеннями індексу PISA соціально-економічного статусу (ESCS)),44.56
2018,природа,,,,учні із низьким соціально-економічним статусом (25% учнів з найнижчими значеннями індексу PISA соціально-економічного статусу (ESCS)),57.61
2022,читання,,,,учні із низьким соціально-економічним статусом (25% учнів з найнижчими значеннями індексу PISA соціально-економічного статусу (ESCS)),38.74
2022,математика,,,,учні із низьким соціально-економічним статусом (25% учнів з найнижчими значеннями індексу PISA соціально-економічного статусу (ESCS)),37.28
2022,природа,,,,учні із низьким соціально-економічним статусом (25% учнів з найнижчими значеннями індексу PISA соціально-економічного статусу (ESCS)),47.96
2018,читання,,,,учні із високим соціально-економічним статусом (25% учнів з найвищими значеннями індексу PISA соціально-економічного статусу (ESCS)),89.08
2018,математика,,,,учні із високим соціально-економічним статусом (25% учнів з найвищими значеннями індексу PISA соціально-економічного статусу (ESCS)),82.78
2018,природа,,,,учні із високим соціально-економічним статусом (25% учнів з найвищими значеннями індексу PISA соціально-економічного статусу (ESCS)),88.04
2022,читання,,,,учні із високим соціально-економічним статусом (25% учнів з найвищими значеннями індексу PISA соціально-економічного статусу (ESCS)),76.32
2022,математика,,,,учні із високим соціально-економічним статусом (25% учнів з найвищими значеннями індексу PISA соціально-економічного статусу (ESCS)),77.27
2022,природа,,,,учні із високим соціально-економічним статусом (25% учнів з найвищими значеннями індексу PISA соціально-економічного статусу (ESCS)),82.26
