Year,Галузь,Стать,Місцевість проживання,за типом закладу освіти,Value
2015,,,,,
2016,,,,,
2017,,,,,
2019,,,,,
2020,,,,,
2022,,,,,
2023,,,,,
2018,читання,,,,86.2
2018,математика,,,,86.4
2018,природа,,,,
2021,читання,,,,83.1
2021,математика,,,,83.3
2021,природа,,,,
2024,читання,,,,82.3
2024,математика,,,,85.4
2024,природа,,,,83.9
2018,читання,жінки,,,89.9
2018,математика,жінки,,,88.2
2021,читання,жінки,,,86.0
2021,математика,жінки,,,84.7
2024,читання,жінки,,,85.5
2024,математика,жінки,,,83.5
2024,природа,жінки,,,84.2
2018,читання,чоловіки,,,83.0
2018,математика,чоловіки,,,85.2
2021,читання,чоловіки,,,79.6
2021,математика,чоловіки,,,83.1
2024,читання,чоловіки,,,79.6
2024,математика,чоловіки,,,87.8
2024,природа,чоловіки,,,84.4
2018,читання,,міська,,89.9
2018,математика,,міська,,91.1
2021,читання,,міська,,87.1
2021,математика,,міська,,88.8
2024,читання,,міська,,87.3
2024,математика,,міська,,91.0
2024,природа,,міська,,87.3
2018,читання,,сільська,,78.4
2018,математика,,сільська,,76.8
2021,читання,,сільська,,76.9
2021,математика,,сільська,,77.2
2024,читання,,сільська,,74.7
2024,математика,,сільська,,77.1
2024,природа,,сільська,,78.8
2018,читання,,,заклади загальної середньої освіти (ЗЗСО),84.8
2018,математика,,,заклади загальної середньої освіти (ЗЗСО),84.4
2021,читання,,,заклади загальної середньої освіти (ЗЗСО),79.5
2021,математика,,,заклади загальної середньої освіти (ЗЗСО),81.1
2024,читання,,,заклади загальної середньої освіти (ЗЗСО),83.9
2024,математика,,,заклади загальної середньої освіти (ЗЗСО),85.3
2024,природа,,,заклади загальної середньої освіти (ЗЗСО),83.3
2018,читання,,,гімназія,88.7
2018,математика,,,гімназія,91.7
2021,читання,,,гімназія,91.7
2021,математика,,,гімназія,93.1
2024,читання,,,гімназія,80.5
2024,математика,,,гімназія,84.2
2024,природа,,,гімназія,83.7
2018,читання,,,спеціалізована школа,93.9
2018,математика,,,спеціалізована школа,94.7
2021,читання,,,спеціалізована школа,92.9
2021,математика,,,спеціалізована школа,92.1
2024,читання,,,спеціалізована школа,91.0
2024,математика,,,спеціалізована школа,97.6
2024,природа,,,спеціалізована школа,89.4
