Year,Стать,Місцевість проживання,Value
2015,,,70.16
2016,,,69.88
2017,,,68.83
2018,,,61.67
2019,,,59.25
2020,,,56.4
2021,,,51.7
2022,,,36.06
2023,,,36.19
2024,,,38.98
2015,дівчатка,,
2016,дівчатка,,
2017,дівчатка,,61.27
2018,дівчатка,,61.35
2019,дівчатка,,60.0
2020,дівчатка,,59.85
2021,дівчатка,,61.26
2022,дівчатка,,62.3
2023,дівчатка,,62.39
2024,дівчатка,,63.02
2015,хлопчики,,
2016,хлопчики,,
2017,хлопчики,,38.73
2018,хлопчики,,38.65
2019,хлопчики,,40.0
2020,хлопчики,,40.15
2021,хлопчики,,38.74
2022,хлопчики,,37.7
2023,хлопчики,,37.61
2024,хлопчики,,36.98
2015,,міська,91.04
2016,,міська,90.88
2017,,міська,94.79
2018,,міська,94.41
2019,,міська,93.45
2020,,міська,94.7
2021,,міська,96.32
2022,,міська,96.37
2023,,міська,96.04
2024,,міська,90.03
2015,,сільська,8.96
2016,,сільська,9.12
2017,,сільська,5.21
2018,,сільська,5.59
2019,,сільська,6.55
2020,,сільська,5.3
2021,,сільська,3.68
2022,,сільська,3.63
2023,,сільська,3.96
2024,,сільська,9.97
