Year,Співвідношення жінок та чоловіків серед суддів,Стать,Value
2015,,жінки,
2015,,чоловіки,
2015,місцевих судів,жінки,
2015,місцевих судів,чоловіки,
2015,апеляційних судів,жінки,
2015,апеляційних судів,чоловіки,
2015,вищих спеціалізованих судів,жінки,
2015,вищих спеціалізованих судів,чоловіки,
2015,Верховного суду,жінки,
2015,Верховного суду,чоловіки,
2016,,жінки,
2016,,чоловіки,
2016,місцевих судів,жінки,
2016,місцевих судів,чоловіки,
2016,апеляційних судів,жінки,
2016,апеляційних судів,чоловіки,
2016,вищих спеціалізованих судів,жінки,
2016,вищих спеціалізованих судів,чоловіки,
2016,Верховного суду,жінки,
2016,Верховного суду,чоловіки,
2017,,жінки,51.8
2017,,чоловіки,48.2
2017,місцевих судів,жінки,52.1
2017,місцевих судів,чоловіки,47.9
2017,апеляційних судів,жінки,51.1
2017,апеляційних судів,чоловіки,48.9
2017,вищих спеціалізованих судів,жінки,54.1
2017,вищих спеціалізованих судів,чоловіки,45.9
2017,Верховного суду,жінки,45.0
2017,Верховного суду,чоловіки,55.0
2018,,жінки,52.2
2018,,чоловіки,47.8
2018,місцевих судів,жінки,52.6
2018,місцевих судів,чоловіки,47.4
2018,апеляційних судів,жінки,51.8
2018,апеляційних судів,чоловіки,48.2
2018,вищих спеціалізованих судів,жінки,49.1
2018,вищих спеціалізованих судів,чоловіки,50.9
2018,Верховного суду,жінки,45.4
2018,Верховного суду,чоловіки,54.6
2019,,жінки,52.4
2019,,чоловіки,47.6
2019,місцевих судів,жінки,53.1
2019,місцевих судів,чоловіки,46.9
2019,апеляційних судів,жінки,52.5
2019,апеляційних судів,чоловіки,47.5
2019,вищих спеціалізованих судів,жінки,41.4
2019,вищих спеціалізованих судів,чоловіки,58.6
2019,Верховного суду,жінки,42.3
2019,Верховного суду,чоловіки,57.7
2020,,жінки,53.6
2020,,чоловіки,46.4
2020,місцевих судів,жінки,54.6
2020,місцевих судів,чоловіки,45.4
2020,апеляційних судів,жінки,52.8
2020,апеляційних судів,чоловіки,47.2
2020,вищих спеціалізованих судів,жінки,41.9
2020,вищих спеціалізованих судів,чоловіки,58.1
2020,Верховного суду,жінки,41.1
2020,Верховного суду,чоловіки,58.9
2021,,жінки,53.6
2021,,чоловіки,46.4
2021,місцевих судів,жінки,54.6
2021,місцевих судів,чоловіки,45.4
2021,апеляційних судів,жінки,52.9
2021,апеляційних судів,чоловіки,47.1
2021,вищих спеціалізованих судів,жінки,41.5
2021,вищих спеціалізованих судів,чоловіки,58.5
2021,Верховного суду,жінки,40.6
2021,Верховного суду,чоловіки,59.4
2022,,жінки,53.8
2022,,чоловіки,46.2
2022,місцевих судів,жінки,54.8
2022,місцевих судів,чоловіки,45.2
2022,апеляційних судів,жінки,53.4
2022,апеляційних судів,чоловіки,46.6
2022,вищих спеціалізованих судів,жінки,41.3
2022,вищих спеціалізованих судів,чоловіки,58.8
2022,Верховного суду,жінки,40.6
2022,Верховного суду,чоловіки,59.4
2023,,жінки,53.5
2023,,чоловіки,46.5
2023,місцевих судів,жінки,54.5
2023,місцевих судів,чоловіки,45.5
2023,апеляційних судів,жінки,52.7
2023,апеляційних судів,чоловіки,47.3
2023,вищих спеціалізованих судів,жінки,40.8
2023,вищих спеціалізованих судів,чоловіки,59.2
2023,Верховного суду,жінки,38.4
2023,Верховного суду,чоловіки,61.6
2024,,жінки,53.7
2024,,чоловіки,46.3
2024,місцевих судів,жінки,54.8
2024,місцевих судів,чоловіки,45.2
2024,апеляційних судів,жінки,51.8
2024,апеляційних судів,чоловіки,48.2
2024,вищих спеціалізованих судів,жінки,36.8
2024,вищих спеціалізованих судів,чоловіки,63.2
2024,Верховного суду,жінки,38.6
2024,Верховного суду,чоловіки,61.4
