Year,Види економічної діяльності,Організаційно-правові форми господарювання,Область,Value
2016,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",,,
2016,Вирощування рису,,,
2016,"Вирощування овочів і баштанних культур, коренеплодів і бульбоплодів",,,
2016,Вирощування цукрової тростини,,,
2016,Вирощування тютюну,,,
2016,Вирощування прядивних культур,,,
2016,Вирощування інших однорічних і дворічних культур,,,
2016,Вирощування винограду,,,
2016,Вирощування зерняткових і кісточкових фруктів,,,
2016,"Вирощування ягід, горіхів, інших плодових дерев і чагарників",,,
2016,Вирощування культур для виробництва напоїв,,,
2016,"Вирощування пряних, ароматичних і лікарських культур",,,
2016,Вирощування інших багаторічних культур,,,
2016,Відтворення рослин,,,
2016,Розведення великої рогатої худоби молочних порід,,,
2016,Розведення іншої великої рогатої худоби та буйволів,,,
2016,Розведення коней та інших тварин родини конячих,,,
2016,Розведення верблюдів та інших тварин родини верблюдячих,,,
2016,Розведення овець і кіз,,,
2016,Розведення свиней,,,
2016,Розведення свійської птиці,,,
2016,Розведення інших тварин,,,
2016,Змішане сільське господарство,,,
2016,Допоміжна діяльність у рослинництві,,,
2016,Допоміжна діяльність у тваринництві,,,
2016,Післяурожайна діяльність,,,
2016,Оброблення насіння для відтворення,,,
2016,"Мисливство, відловлювання тварин і надання пов'язаних із ними послуг",,,
2016,Лісівництво та інша діяльність у лісовому господарстві,,,
2016,Лісозаготівлі,,,
2016,Збирання дикорослих недеревних продуктів,,,
2016,Надання допоміжних послуг у лісовому господарстві,,,
2016,Морське рибальство,,,
2016,Прісноводне рибальство,,,
2016,Морське рибництво (аквакультура),,,
2016,Прісноводне рибництво (аквакультура),,,
2016,Добування кам'яного вугілля,,,
2016,Добування бурого вугілля,,,
2016,Добування сирої нафти,,,
2016,Добування природного газу,,,
2016,Добування залізних руд,,,
2016,Добування уранових і торієвих руд,,,
2016,Добування руд інших кольорових металів,,,
2016,"Добування декоративного та будівельного каменю, вапняку, гіпсу, крейди та глинистого сланцю",,,
2016,"Добування піску, гравію, глин і каоліну",,,
2016,Добування мінеральної сировини для хімічної промисловості та виробництва мінеральних добрив,,,
2016,Добування торфу,,,
2016,Добування солі,,,
2016,"Добування інших корисних копалин та розроблення кар'єрів, н.в.і.у.",,,
2016,Надання допоміжних послуг у сфері добування нафти та природного газу,,,
2016,Надання допоміжних послуг у сфері добування інших корисних копалин та розроблення кар'єрів,,,
2016,Виробництво м'яса,,,
2016,Виробництво м'яса свійської птиці,,,
2016,Виробництво м'ясних продуктів,,,
2016,"Перероблення та консервування риби, ракоподібних і молюсків",,,
2016,Перероблення та консервування картоплі,,,
2016,Виробництво фруктових і овочевих соків,,,
2016,Інші види перероблення та консервування фруктів і овочів,,,
2016,Виробництво олії та тваринних жирів,,,
2016,Виробництво маргарину і подібних харчових жирів,,,
2016,"Перероблення молока, виробництво масла та сиру",,,
2016,Виробництво морозива,,,
2016,Виробництво продуктів борошномельно-круп'яної промисловості,,,
2016,Виробництво крохмалів та крохмальних продуктів,,,
2016,"Виробництво хліба та хлібобулочних виробів; виробництво борошняних кондитерських виробів, тортів і тістечок нетривалого зберігання",,,
2016,"Виробництво сухарів і сухого печива; виробництво борошняних кондитерських виробів, тортів і тістечок тривалого зберігання",,,
2016,Виробництво макаронних виробів та подібних борошняних виробів,,,
2016,Виробництво цукру,,,
2016,"Виробництво какао, шоколаду та цукрових кондитерських виробів",,,
2016,Виробництво чаю та кави,,,
2016,Виробництво прянощів і приправ,,,
2016,Виробництво готової їжі та страв,,,
2016,Виробництво дитячого харчування та дієтичних харчових продуктів,,,
2016,"Виробництво інших харчових продуктів, н.в.і.у.",,,
2016,"Виробництво готових кормів для тварин, що утримуються на фермах",,,
2016,Виробництво готових кормів для домашніх тварин,,,
2016,"Дистиляція, ректифікація та змішування спиртних напоїв",,,
2016,Виробництво виноградних вин,,,
2016,Виробництво сидру та інших плодово-ягідних вин,,,
2016,Виробництво інших недистильованих напоїв із зброджуваних продуктів,,,
2016,Виробництво пива,,,
2016,Виробництво солоду,,,
2016,"Виробництво безалкогольних напоїв; виробництво мінеральних вод та інших вод, розлитих у пляшки",,,
2016,Виробництво тютюнових виробів,,,
2016,Підготування та прядіння текстильних волокон,,,
2016,Ткацьке виробництво,,,
2016,Оздоблення текстильних виробів,,,
2016,Виробництво трикотажного полотна,,,
2016,"Виробництво готових текстильних виробів, крім одягу",,,
2016,Виробництво килимів і килимових виробів,,,
2016,"Виробництво канатів, мотузок, шпагату та сіток",,,
2016,"Виробництво нетканих текстильних матеріалів та виробів із них, крім одягу",,,
2016,Виробництво інших текстильних виробів технічного та промислового призначення,,,
2016,"Виробництво інших текстильних виробів, н.в.і.у.",,,
2016,Виробництво одягу зі шкіри,,,
2016,Виробництво робочого одягу,,,
2016,Виробництво іншого верхнього одягу,,,
2016,Виробництво спіднього одягу,,,
2016,Виробництво іншого одягу й аксесуарів,,,
2016,Виготовлення виробів із хутра,,,
2016,Виробництво панчішно-шкарпеткових виробів,,,
2016,Виробництво іншого трикотажного та в'язаного одягу,,,
2016,Дублення шкур і оздоблення шкіри; вичинка та фарбування хутра,,,
2016,"Виробництво дорожніх виробів, сумок, лимарно-сідельних виробів зі шкіри та інших матеріалів",,,
2016,Виробництво взуття,,,
2016,Лісопильне та стругальне виробництво,,,
2016,"Виробництво фанери, дерев'яних плит і панелей, шпону",,,
2016,Виробництво щитового паркету,,,
2016,Виробництво інших дерев'яних будівельних конструкцій і столярних виробів,,,
2016,Виробництво дерев'яної тари,,,
2016,"Виробництво інших виробів з деревини; виготовлення виробів з корка, соломки та рослинних матеріалів для плетіння",,,
2016,Виробництво паперової маси,,,
2016,Виробництво паперу та картону,,,
2016,"Виробництво гофрованого паперу та картону, паперової та картонної тари",,,
2016,Виробництво паперових виробів господарсько-побутового та санітарно-гігієнічного призначення,,,
2016,Виробництво паперових канцелярських  виробів,,,
2016,Виробництво шпалер,,,
2016,Виробництво інших виробів з паперу та картону,,,
2016,Друкування газет,,,
2016,Друкування іншої продукції,,,
2016,Виготовлення друкарських форм і надання інших поліграфічних послуг,,,
2016,Брошурувально-палітурна діяльність і надання пов'язаних із нею послуг,,,
2016,"Тиражування звуко-, відеозаписів і програмного забезпечення",,,
2016,Виробництво коксу та коксопродуктів,,,
2016,Виробництво продуктів нафтоперероблення,,,
2016,Виробництво промислових газів,,,
2016,Виробництво барвників і пігментів,,,
2016,Виробництво інших основних неорганічних хімічних речовин,,,
2016,Виробництво інших основних органічних хімічних речовин,,,
2016,Виробництво добрив і азотних сполук,,,
2016,Виробництво пластмас у первинних формах,,,
2016,Виробництво синтетичного каучуку в первинних формах,,,
2016,Виробництво пестицидів та іншої агрохімічної продукції,,,
2016,"Виробництво фарб, лаків і подібної продукції, друкарської фарби та мастик",,,
2016,"Виробництво мила та мийних засобів, засобів для чищення та полірування",,,
2016,Виробництво парфумних і косметичних засобів,,,
2016,Виробництво вибухових речовин,,,
2016,Виробництво клеїв,,,
2016,Виробництво ефірних олій,,,
2016,"Виробництво іншої хімічної продукції, н.в.і.у.",,,
2016,Виробництво штучних і синтетичних волокон,,,
2016,Виробництво основних фармацевтичних продуктів,,,
2016,Виробництво фармацевтичних препаратів і матеріалів,,,
2016,"Виробництво гумових шин, покришок і камер; відновлення протектора гумових шин і покришок",,,
2016,Виробництво інших гумових виробів,,,
2016,"Виробництво плит, листів, труб і профілів із пластмас",,,
2016,Виробництво тари з пластмас,,,
2016,Виробництво будівельних виробів із пластмас,,,
2016,Виробництво інших виробів із пластмас,,,
2016,Виробництво листового скла,,,
2016,Формування й оброблення листового скла,,,
2016,Виробництво порожнистого скла,,,
2016,Виробництво скловолокна,,,
2016,"Виробництво й оброблення інших скляних виробів, у тому числі технічних",,,
2016,Виробництво вогнетривких виробів,,,
2016,Виробництво керамічних плиток і плит,,,
2016,"Виробництво цегли, черепиці та інших будівельних виробів із випаленої глини",,,
2016,Виробництво господарських і декоративних керамічних виробів,,,
2016,Виробництво керамічних санітарно-технічних виробів,,,
2016,Виробництво керамічних електроізоляторів та ізоляційної арматури,,,
2016,Виробництво інших керамічних виробів технічного призначення,,,
2016,Виробництво інших керамічних виробів,,,
2016,Виробництво цементу,,,
2016,Виробництво вапна та гіпсових сумішей,,,
2016,Виготовлення виробів із бетону для будівництва,,,
2016,Виготовлення виробів із гіпсу для будівництва,,,
2016,"Виробництво бетонних розчинів, готових для використання",,,
2016,Виробництво сухих будівельних сумішей,,,
2016,Виготовлення виробів із волокнистого цементу,,,
2016,"Виробництво інших виробів із бетону, гіпсу та цементу",,,
2016,"Різання, оброблення та оздоблення декоративного та будівельного каменю",,,
2016,Виробництво абразивних виробів,,,
2016,"Виробництво неметалевих мінеральних виробів, н.в.і.у.",,,
2016,"Виробництво чавуну, сталі та феросплавів",,,
2016,"Виробництво труб, порожнистих профілів і фітингів зі сталі",,,
2016,Холодне волочіння прутків і профілів,,,
2016,Холодний прокат вузької штаби,,,
2016,Холодне штампування та гнуття,,,
2016,Холодне волочіння дроту,,,
2016,Виробництво дорогоцінних металів,,,
2016,Виробництво алюмінію,,,
2016,"Виробництво свинцю, цинку й олова",,,
2016,Виробництво міді,,,
2016,Виробництво інших кольорових металів,,,
2016,Лиття чавуну,,,
2016,Лиття сталі,,,
2016,Лиття легких кольорових металів,,,
2016,Лиття інших кольорових металів,,,
2016,Виробництво будівельних металевих конструкцій і частин конструкцій,,,
2016,Виробництво металевих дверей і вікон,,,
2016,Виробництво радіаторів і  котлів центрального опалення,,,
2016,"Виробництво інших металевих баків, резервуарів і контейнерів",,,
2016,"Виробництво парових котлів, крім котлів центрального опалення",,,
2016,Виробництво зброї та боєприпасів,,,
2016,"Кування, пресування, штампування, профілювання; порошкова металургія",,,
2016,Оброблення металів та нанесення покриття на метали,,,
2016,Механічне оброблення металевих виробів,,,
2016,Виробництво столових приборів,,,
2016,Виробництво замків і дверних петель,,,
2016,Виробництво інструментів,,,
2016,Виробництво сталевих бочок і подібних контейнерів,,,
2016,Виробництво легких металевих паковань,,,
2016,"Виробництво виробів із дроту, ланцюгів і пружин",,,
2016,Виробництво кріпильних і ґвинтонарізних виробів,,,
2016,"Виробництво інших готових металевих виробів, н.в.і.у.",,,
2016,Виробництво електронних компонентів,,,
2016,Виробництво змонтованих електронних плат,,,
2016,Виробництво комп'ютерів і периферійного устатковання,,,
2016,Виробництво обладнання зв'язку,,,
2016,"Виробництво електронної апаратури побутового призначення для приймання, записування та відтворювання звуку й зображення",,,
2016,"Виробництво інструментів і обладнання для вимірювання, дослідження та навігації",,,
2016,Виробництво годинників,,,
2016,"Виробництво радіологічного, електромедичного й електротерапевтичного устатковання",,,
