Year,За типами показників,Тип водопостачання,Область,Value
2015,мікробіологічні показники,міські водопроводи,Україна,3.1
2016,мікробіологічні показники,міські водопроводи,Україна,4.3
2017,мікробіологічні показники,міські водопроводи,Україна,4.6
2018,мікробіологічні показники,міські водопроводи,Україна,5.1
2019,мікробіологічні показники,міські водопроводи,Україна,5.7
2020,мікробіологічні показники,міські водопроводи,Україна,4.7
2021,мікробіологічні показники,міські водопроводи,Україна,5.1
2022,мікробіологічні показники,міські водопроводи,Україна,2.1
2023,мікробіологічні показники,міські водопроводи,Україна,2.7
2024,мікробіологічні показники,міські водопроводи,Україна,2.3
2015,мікробіологічні показники,сільські водопроводи,Україна,7.6
2016,мікробіологічні показники,сільські водопроводи,Україна,10.4
2017,мікробіологічні показники,сільські водопроводи,Україна,11.2
2018,мікробіологічні показники,сільські водопроводи,Україна,11.8
2019,мікробіологічні показники,сільські водопроводи,Україна,11.4
2020,мікробіологічні показники,сільські водопроводи,Україна,13.8
2021,мікробіологічні показники,сільські водопроводи,Україна,11.9
2022,мікробіологічні показники,сільські водопроводи,Україна,11.4
2023,мікробіологічні показники,сільські водопроводи,Україна,11.0
2024,мікробіологічні показники,сільські водопроводи,Україна,10.2
2015,мікробіологічні показники,нецентралізоване водопостачання,Україна,18.0
2016,мікробіологічні показники,нецентралізоване водопостачання,Україна,23.1
2017,мікробіологічні показники,нецентралізоване водопостачання,Україна,20.4
2018,мікробіологічні показники,нецентралізоване водопостачання,Україна,23.4
2019,мікробіологічні показники,нецентралізоване водопостачання,Україна,24.6
2020,мікробіологічні показники,нецентралізоване водопостачання,Україна,22.6
2021,мікробіологічні показники,нецентралізоване водопостачання,Україна,22.9
2022,мікробіологічні показники,нецентралізоване водопостачання,Україна,28.3
2023,мікробіологічні показники,нецентралізоване водопостачання,Україна,25.1
2024,мікробіологічні показники,нецентралізоване водопостачання,Україна,25.4
2015,мікробіологічні показники,централізоване,Україна,4.6
2016,мікробіологічні показники,централізоване,Україна,6.4
2017,мікробіологічні показники,централізоване,Україна,6.7
2018,мікробіологічні показники,централізоване,Україна,7.7
2019,мікробіологічні показники,централізоване,Україна,8.2
2020,мікробіологічні показники,централізоване,Україна,7.6
2021,мікробіологічні показники,централізоване,Україна,7.5
2022,мікробіологічні показники,централізоване,Україна,3.5
2023,мікробіологічні показники,централізоване,Україна,4.3
2024,мікробіологічні показники,централізоване,Україна,3.8
2015,мікробіологічні показники,міські водопроводи,Україна,3.1
2016,мікробіологічні показники,міські водопроводи,Україна,4.3
2017,мікробіологічні показники,міські водопроводи,Україна,4.6
2018,мікробіологічні показники,міські водопроводи,Україна,5.1
2019,мікробіологічні показники,міські водопроводи,Україна,5.7
2020,мікробіологічні показники,міські водопроводи,Україна,4.7
2021,мікробіологічні показники,міські водопроводи,Україна,5.1
2022,мікробіологічні показники,міські водопроводи,Україна,2.1
2023,мікробіологічні показники,міські водопроводи,Україна,2.7
2024,мікробіологічні показники,міські водопроводи,Україна,2.3
2015,мікробіологічні показники,сільські водопроводи,Україна,7.6
2016,мікробіологічні показники,сільські водопроводи,Україна,10.4
2017,мікробіологічні показники,сільські водопроводи,Україна,11.2
2018,мікробіологічні показники,сільські водопроводи,Україна,11.8
2019,мікробіологічні показники,сільські водопроводи,Україна,11.4
2020,мікробіологічні показники,сільські водопроводи,Україна,13.8
2021,мікробіологічні показники,сільські водопроводи,Україна,11.9
2022,мікробіологічні показники,сільські водопроводи,Україна,11.4
2023,мікробіологічні показники,сільські водопроводи,Україна,11.0
2024,мікробіологічні показники,сільські водопроводи,Україна,10.2
2015,мікробіологічні показники,нецентралізоване водопостачання,Україна,18.0
2016,мікробіологічні показники,нецентралізоване водопостачання,Україна,23.1
2017,мікробіологічні показники,нецентралізоване водопостачання,Україна,20.4
2018,мікробіологічні показники,нецентралізоване водопостачання,Україна,23.4
2019,мікробіологічні показники,нецентралізоване водопостачання,Україна,24.6
2020,мікробіологічні показники,нецентралізоване водопостачання,Україна,22.6
2021,мікробіологічні показники,нецентралізоване водопостачання,Україна,22.9
2022,мікробіологічні показники,нецентралізоване водопостачання,Україна,28.3
2023,мікробіологічні показники,нецентралізоване водопостачання,Україна,25.1
2024,мікробіологічні показники,нецентралізоване водопостачання,Україна,25.4
2015,санітарно-хімічні показники,міські водопроводи,Україна,12.4
2016,санітарно-хімічні показники,міські водопроводи,Україна,13.7
2017,санітарно-хімічні показники,міські водопроводи,Україна,16.2
2018,санітарно-хімічні показники,міські водопроводи,Україна,18.5
2019,санітарно-хімічні показники,міські водопроводи,Україна,17.2
2020,санітарно-хімічні показники,міські водопроводи,Україна,16.8
2021,санітарно-хімічні показники,міські водопроводи,Україна,18.2
2022,санітарно-хімічні показники,міські водопроводи,Україна,12.1
2023,санітарно-хімічні показники,міські водопроводи,Україна,11.3
2024,санітарно-хімічні показники,міські водопроводи,Україна,11.7
2015,санітарно-хімічні показники,сільські водопроводи,Україна,22.5
2016,санітарно-хімічні показники,сільські водопроводи,Україна,25.5
2017,санітарно-хімічні показники,сільські водопроводи,Україна,27.4
2018,санітарно-хімічні показники,сільські водопроводи,Україна,29.8
2019,санітарно-хімічні показники,сільські водопроводи,Україна,31.2
2020,санітарно-хімічні показники,сільські водопроводи,Україна,26.9
2021,санітарно-хімічні показники,сільські водопроводи,Україна,28.9
2022,санітарно-хімічні показники,сільські водопроводи,Україна,25.4
2023,санітарно-хімічні показники,сільські водопроводи,Україна,28.9
2024,санітарно-хімічні показники,сільські водопроводи,Україна,27.7
2015,санітарно-хімічні показники,нецентралізоване водопостачання,Україна,32.7
2016,санітарно-хімічні показники,нецентралізоване водопостачання,Україна,33.2
2017,санітарно-хімічні показники,нецентралізоване водопостачання,Україна,32.6
2018,санітарно-хімічні показники,нецентралізоване водопостачання,Україна,34.4
2019,санітарно-хімічні показники,нецентралізоване водопостачання,Україна,30.4
2020,санітарно-хімічні показники,нецентралізоване водопостачання,Україна,32.6
2021,санітарно-хімічні показники,нецентралізоване водопостачання,Україна,33.5
2022,санітарно-хімічні показники,нецентралізоване водопостачання,Україна,39.9
2023,санітарно-хімічні показники,нецентралізоване водопостачання,Україна,35.0
2024,санітарно-хімічні показники,нецентралізоване водопостачання,Україна,32.9
2015,радіаційні показники,міські водопроводи,Україна,1.6
2016,радіаційні показники,міські водопроводи,Україна,1.1
2017,радіаційні показники,міські водопроводи,Україна,4.3
2018,радіаційні показники,міські водопроводи,Україна,4.0
2019,радіаційні показники,міські водопроводи,Україна,4.1
2020,радіаційні показники,міські водопроводи,Україна,0.8
2021,радіаційні показники,міські водопроводи,Україна,2.0
2022,радіаційні показники,міські водопроводи,Україна,0.5
2023,радіаційні показники,міські водопроводи,Україна,0.6
2024,радіаційні показники,міські водопроводи,Україна,1.0
2015,радіаційні показники,сільські водопроводи,Україна,0.0
2016,радіаційні показники,сільські водопроводи,Україна,0.5
2017,радіаційні показники,сільські водопроводи,Україна,6.6
2018,радіаційні показники,сільські водопроводи,Україна,9.8
2019,радіаційні показники,сільські водопроводи,Україна,12.5
2020,радіаційні показники,сільські водопроводи,Україна,6.5
2021,радіаційні показники,сільські водопроводи,Україна,2.8
2022,радіаційні показники,сільські водопроводи,Україна,12.2
2023,радіаційні показники,сільські водопроводи,Україна,2.9
2024,радіаційні показники,сільські водопроводи,Україна,1.7
2015,радіаційні показники,нецентралізоване водопостачання,Україна,1.7
2016,радіаційні показники,нецентралізоване водопостачання,Україна,0.4
2017,радіаційні показники,нецентралізоване водопостачання,Україна,3.0
2018,радіаційні показники,нецентралізоване водопостачання,Україна,2.5
2019,радіаційні показники,нецентралізоване водопостачання,Україна,4.0
2020,радіаційні показники,нецентралізоване водопостачання,Україна,8.8
2021,радіаційні показники,нецентралізоване водопостачання,Україна,7.1
2022,радіаційні показники,нецентралізоване водопостачання,Україна,4.9
2023,радіаційні показники,нецентралізоване водопостачання,Україна,6.3
2024,радіаційні показники,нецентралізоване водопостачання,Україна,2.7
2015,мікробіологічні показники,міські водопроводи,Автономна Республіка Крим,
2016,мікробіологічні показники,міські водопроводи,Автономна Республіка Крим,
2017,мікробіологічні показники,міські водопроводи,Автономна Республіка Крим,
2018,мікробіологічні показники,міські водопроводи,Автономна Республіка Крим,
2019,мікробіологічні показники,міські водопроводи,Автономна Республіка Крим,
2020,мікробіологічні показники,міські водопроводи,Автономна Республіка Крим,
2021,мікробіологічні показники,міські водопроводи,Автономна Республіка Крим,
2022,мікробіологічні показники,міські водопроводи,Автономна Республіка Крим,
2023,мікробіологічні показники,міські водопроводи,Автономна Республіка Крим,
2024,мікробіологічні показники,міські водопроводи,Автономна Республіка Крим,
2015,мікробіологічні показники,сільські водопроводи,Автономна Республіка Крим,
2016,мікробіологічні показники,сільські водопроводи,Автономна Республіка Крим,
2017,мікробіологічні показники,сільські водопроводи,Автономна Республіка Крим,
2018,мікробіологічні показники,сільські водопроводи,Автономна Республіка Крим,
2019,мікробіологічні показники,сільські водопроводи,Автономна Республіка Крим,
2020,мікробіологічні показники,сільські водопроводи,Автономна Республіка Крим,
2021,мікробіологічні показники,сільські водопроводи,Автономна Республіка Крим,
2022,мікробіологічні показники,сільські водопроводи,Автономна Республіка Крим,
2023,мікробіологічні показники,сільські водопроводи,Автономна Республіка Крим,
2024,мікробіологічні показники,сільські водопроводи,Автономна Республіка Крим,
2015,мікробіологічні показники,нецентралізоване водопостачання,Автономна Республіка Крим,
2016,мікробіологічні показники,нецентралізоване водопостачання,Автономна Республіка Крим,
2017,мікробіологічні показники,нецентралізоване водопостачання,Автономна Республіка Крим,
2018,мікробіологічні показники,нецентралізоване водопостачання,Автономна Республіка Крим,
2019,мікробіологічні показники,нецентралізоване водопостачання,Автономна Республіка Крим,
2020,мікробіологічні показники,нецентралізоване водопостачання,Автономна Республіка Крим,
2021,мікробіологічні показники,нецентралізоване водопостачання,Автономна Республіка Крим,
2022,мікробіологічні показники,нецентралізоване водопостачання,Автономна Республіка Крим,
2023,мікробіологічні показники,нецентралізоване водопостачання,Автономна Республіка Крим,
2024,мікробіологічні показники,нецентралізоване водопостачання,Автономна Республіка Крим,
2015,санітарно-хімічні показники,міські водопроводи,Автономна Республіка Крим,
2016,санітарно-хімічні показники,міські водопроводи,Автономна Республіка Крим,
2017,санітарно-хімічні показники,міські водопроводи,Автономна Республіка Крим,
2018,санітарно-хімічні показники,міські водопроводи,Автономна Республіка Крим,
2019,санітарно-хімічні показники,міські водопроводи,Автономна Республіка Крим,
2020,санітарно-хімічні показники,міські водопроводи,Автономна Республіка Крим,
2021,санітарно-хімічні показники,міські водопроводи,Автономна Республіка Крим,
2022,санітарно-хімічні показники,міські водопроводи,Автономна Республіка Крим,
2023,санітарно-хімічні показники,міські водопроводи,Автономна Республіка Крим,
2024,санітарно-хімічні показники,міські водопроводи,Автономна Республіка Крим,
2015,санітарно-хімічні показники,сільські водопроводи,Автономна Республіка Крим,
2016,санітарно-хімічні показники,сільські водопроводи,Автономна Республіка Крим,
2017,санітарно-хімічні показники,сільські водопроводи,Автономна Республіка Крим,
2018,санітарно-хімічні показники,сільські водопроводи,Автономна Республіка Крим,
2019,санітарно-хімічні показники,сільські водопроводи,Автономна Республіка Крим,
2020,санітарно-хімічні показники,сільські водопроводи,Автономна Республіка Крим,
2021,санітарно-хімічні показники,сільські водопроводи,Автономна Республіка Крим,
