Year,Місцевість проживання,Вік,Стать,Область,Value
2015,,,,,19.6
2015,,,жінки,,20.2
2015,,,чоловіки,,19.1
2015,,до 18 років,,,21.9
2015,,18 - 29 років,,,18.9
2015,,30 - 59 років,,,18.2
2015,,60 років і старші,,,20.7
2015,сільська,,,,18.8
2015,міська,,,,20.0
2015,,,,Вінницька,18.9
2015,,,,Волинська,13.3
2015,,,,Дніпропетровська,29.8
2015,,,,Донецька,20.1
2015,,,,Житомирська,14.6
2015,,,,Закарпатська,61.7
2015,,,,Запорізька,19.6
2015,,,,Івано-Франківська,34.9
2015,,,,Київська,3.7
2015,,,,Кіровоградська,18.4
2015,,,,Луганська,36.3
2015,,,,Львівська,5.4
2015,,,,23_reg_Mykolaiv,23.6
2015,,,,Одеська,20.0
2015,,,,Полтавська,9.4
2015,,,,Рівненська,6.2
2015,,,,Сумська,8.9
2015,,,,Тернопільська,24.2
2015,,,,Харківська,17.7
2015,,,,Херсонська,40.7
2015,,,,31_reg_Khmelnytsya,20.2
2015,,,,Черкаська,39.1
2015,,,,Чернівецька,3.2
2015,,,,Чернігівська,15.5
2015,,,,місто Київ,6.7
2017,,,,,25.3
2017,,,жінки,,26.5
2017,,,чоловіки,,23.9
2017,,до 18 років,,,25.4
2017,,18 - 29 років,,,23.8
2017,,30 - 59 років,,,23.5
2017,,60 років і старші,,,29.5
2017,сільська,,,,25.0
2017,міська,,,,25.5
2017,,,,Вінницька,29.0
2017,,,,Волинська,7.2
2017,,,,Дніпропетровська,21.9
2017,,,,Донецька,22.9
2017,,,,Житомирська,11.0
2017,,,,Закарпатська,66.0
2017,,,,Запорізька,22.3
2017,,,,Івано-Франківська,64.4
2017,,,,Київська,11.1
2017,,,,Кіровоградська,9.2
2017,,,,Луганська,25.8
2017,,,,Львівська,3.6
2017,,,,23_reg_Mykolaiv,27.4
2017,,,,Одеська,19.2
2017,,,,Полтавська,15.4
2017,,,,Рівненська,7.8
2017,,,,Сумська,59.7
2017,,,,Тернопільська,14.7
2017,,,,Харківська,34.2
2017,,,,Херсонська,59.4
2017,,,,31_reg_Khmelnytsya,5.7
2017,,,,Черкаська,61.0
2017,,,,Чернівецька,12.9
2017,,,,Чернігівська,67.8
2017,,,,місто Київ,8.4
2019,,,,,18.8
2019,,,жінки,,19.6
2019,,,чоловіки,,18.0
2019,,до 18 років,,,18.4
2019,,18 - 29 років,,,15.7
2019,,30 - 59 років,,,16.6
2019,,60 років і старші,,,25.0
2019,сільська,,,,18.3
2019,міська,,,,19.1
2019,,,,Вінницька,28.8
2019,,,,Волинська,3.5
2019,,,,Дніпропетровська,27.8
2019,,,,Донецька,25.7
2019,,,,Житомирська,20.7
2019,,,,Закарпатська,34.0
2019,,,,Запорізька,20.6
2019,,,,Івано-Франківська,37.4
2019,,,,Київська,24.3
2019,,,,Кіровоградська,10.3
2019,,,,Луганська,17.1
2019,,,,Львівська,4.6
2019,,,,23_reg_Mykolaiv,18.0
2019,,,,Одеська,7.4
2019,,,,Полтавська,7.9
2019,,,,Рівненська,8.5
2019,,,,Сумська,25.3
2019,,,,Тернопільська,11.6
2019,,,,Харківська,21.7
2019,,,,Херсонська,52.6
2019,,,,31_reg_Khmelnytsya,5.7
2019,,,,Черкаська,39.8
2019,,,,Чернівецька,2.4
2019,,,,Чернігівська,25.1
2019,,,,місто Київ,3.5
2021,,,,,15.4
2021,,,жінки,,16.3
2021,,,чоловіки,,14.3
2021,,до 18 років,,,14.1
2021,,18 - 29 років,,,15.5
2021,,30 - 59 років,,,13.7
2021,,60 років і старші,,,19.5
2021,сільська,,,,18.3
2021,міська,,,,13.9
2021,,,,Вінницька,27.8
2021,,,,Волинська,2.2
2021,,,,Дніпропетровська,13.5
2021,,,,Донецька,18.7
2021,,,,Житомирська,5.1
2021,,,,Закарпатська,51.9
2021,,,,Запорізька,20.0
2021,,,,Івано-Франківська,46.7
2021,,,,Київська,14.3
2021,,,,Кіровоградська,2.9
2021,,,,Луганська,11.0
2021,,,,Львівська,2.8
2021,,,,23_reg_Mykolaiv,10.7
2021,,,,Одеська,10.7
2021,,,,Полтавська,8.5
2021,,,,Рівненська,5.4
2021,,,,Сумська,3.2
2021,,,,Тернопільська,16.0
2021,,,,Харківська,13.0
2021,,,,Херсонська,43.7
2021,,,,31_reg_Khmelnytsya,6.7
2021,,,,Черкаська,28.1
2021,,,,Чернівецька,4.1
2021,,,,Чернігівська,27.5
2021,,,,місто Київ,8.3
