Year,Місцевість проживання,Домогосподарства,Область,Value
2015,,,,10.2
2015,,Домогосподарства з дітьми,,9.5
2015,,Домогосподарства без дітей,,10.8
2015,сільська,,,7.4
2015,міська,,,11.4
2015,,,Вінницька,8.5
2016,,,Вінницька,13.9
2017,,,Вінницька,13.5
2018,,,Вінницька,12.4
2019,,,Вінницька,11.4
2020,,,Вінницька,11.3
2021,,,Вінницька,12.3
2015,,,Волинська,8.7
2016,,,Волинська,14.6
2017,,,Волинська,13.7
2018,,,Волинська,12.5
2019,,,Волинська,9.3
2020,,,Волинська,9.2
2021,,,Волинська,10.5
2015,,,Дніпропетровська,11.2
2016,,,Дніпропетровська,14.2
2017,,,Дніпропетровська,15.5
2018,,,Дніпропетровська,13.1
2019,,,Дніпропетровська,13.0
2020,,,Дніпропетровська,12.0
2021,,,Дніпропетровська,13.2
2015,,,Донецька,10.5
2016,,,Донецька,15.5
2017,,,Донецька,15.6
2016,,,,14.7
2016,,Домогосподарства з дітьми,,13.8
2016,,Домогосподарства без дітей,,15.4
2016,сільська,,,12.5
2016,міська,,,15.7
2018,,,Донецька,15.6
2019,,,Донецька,13.2
2020,,,Донецька,13.0
2021,,,Донецька,16.5
2015,,,Житомирська,9.1
2016,,,Житомирська,13.8
2017,,,Житомирська,14.2
2018,,,Житомирська,12.6
2019,,,Житомирська,11.0
2020,,,Житомирська,11.3
2021,,,Житомирська,12.3
2015,,,Закарпатська,7.0
2016,,,Закарпатська,9.2
2017,,,Закарпатська,11.7
2018,,,Закарпатська,9.3
2019,,,Закарпатська,10.5
2020,,,Закарпатська,9.4
2021,,,Закарпатська,11.3
2015,,,Запорізька,9.6
2016,,,Запорізька,14.5
2017,,,Запорізька,13.9
2018,,,Запорізька,12.4
2019,,,Запорізька,12.7
2020,,,Запорізька,10.8
2017,,,,15.4
2017,,Домогосподарства з дітьми,,14.6
2017,,Домогосподарства без дітей,,16.2
2017,сільська,,,12.8
2017,міська,,,16.6
2021,,,Запорізька,11.7
2015,,,Івано-Франківська,7.9
2016,,,Івано-Франківська,15.8
2017,,,Івано-Франківська,12.7
2018,,,Івано-Франківська,12.6
2019,,,Івано-Франківська,10.9
2020,,,Івано-Франківська,9.4
2021,,,Івано-Франківська,10.7
2015,,,Київська,12.8
2016,,,Київська,17.8
2017,,,Київська,19.0
2018,,,Київська,17.4
2019,,,Київська,16.0
2020,,,Київська,16.3
2021,,,Київська,15.8
2015,,,Кіровоградська,7.4
2016,,,Кіровоградська,11.1
2017,,,Кіровоградська,11.6
2018,,,Кіровоградська,10.9
2019,,,Кіровоградська,9.6
2020,,,Кіровоградська,10.3
2021,,,Кіровоградська,12.7
2015,,,Луганська,11.9
2016,,,Луганська,17.2
2018,,,,13.9
2018,,Домогосподарства з дітьми,,12.8
2018,,Домогосподарства без дітей,,14.9
2018,сільська,,,11.4
2018,міська,,,15.0
2017,,,Луганська,17.4
2018,,,Луганська,14.7
2019,,,Луганська,14.4
2020,,,Луганська,12.1
2021,,,Луганська,12.2
2015,,,Львівська,8.5
2016,,,Львівська,10.8
2017,,,Львівська,13.1
2018,,,Львівська,11.7
2019,,,Львівська,10.1
2020,,,Львівська,11.0
2021,,,Львівська,11.4
2015,,,Одеська,11.4
