Year,Вікові групи,Стать,Місцевість проживання,Рівень освіти,Область,Value
2015,,,,,,9.1
2015,15–24 роки,,,,,22.4
2015,25–29 років,,,,,11.2
2015,30–34 роки,,,,,9.7
2015,35–39 років,,,,,7.2
2015,40–49 років,,,,,7.6
2015,50–59 років,,,,,6.3
2015,60–70 років,,,,,0.1
2015,,жінки,,,,8.1
2015,,чоловіки,,,,10.1
2015,,,міська,,,9.0
2015,,,сільська,,,9.4
2015,,,,повна вища,,7.8
2015,,,,базова вища,,15.6
2015,,,,неповна вища,,8.5
2015,,,,професійно-технічна,,10.4
2015,,,,повна загальна середня,,9.6
2015,,,,"базова, початкова загальна середня або не мають освіти",,12.1
2015,,,,,Автономна Республіка Крим,
2015,,,,,Вінницька,8.9
2015,,,,,Волинська,9.8
2015,,,,,Дніпропетровська,7.2
2015,,,,,Донецька,13.8
2015,,,,,Житомирська,11.3
2015,,,,,Закарпатська,9.2
2015,,,,,Запорізька,9.7
2015,,,,,Івано-Франківська,8.4
2015,,,,,Київська,6.4
2015,,,,,Кіровоградська,11.4
2015,,,,,Луганська,15.6
2015,,,,,Львівська,8.2
2015,,,,,Миколаївська,8.9
2015,,,,,Одеська,6.5
2015,,,,,Полтавська,12.1
2015,,,,,Рівненська,9.9
2015,,,,,Сумська,10.1
2015,,,,,Тернопільська,11.8
2015,,,,,Харківська,7.1
2015,,,,,Херсонська,10.2
2015,,,,,Хмельницька,10.2
2015,,,,,Черкаська,9.8
2015,,,,,Чернівецька,9.3
2015,,,,,Чернігівська,10.7
2015,,,,,м. Київ,7.0
2015,,,,,м. Севастополь,
2016,,,,,,9.3
2016,15–24 роки,,,,,23.0
2016,25–29 років,,,,,11.7
2016,30–34 роки,,,,,8.9
2016,35–39 років,,,,,8.0
2016,40–49 років,,,,,7.7
2016,50–59 років,,,,,7.3
2016,60–70 років,,,,,0.1
2016,,жінки,,,,7.7
2016,,чоловіки,,,,10.8
2016,,,міська,,,9.2
2016,,,сільська,,,9.7
2016,,,,повна вища,,8.0
2016,,,,базова вища,,15.3
2016,,,,неповна вища,,8.0
2016,,,,професійно-технічна,,10.6
2016,,,,повна загальна середня,,10.9
2016,,,,"базова, початкова загальна середня або не мають освіти",,8.4
2016,,,,,Автономна Республіка Крим,
2016,,,,,Вінницька,9.7
2016,,,,,Волинська,11.5
2016,,,,,Дніпропетровська,7.9
2016,,,,,Донецька,14.1
2016,,,,,Житомирська,11.2
2016,,,,,Закарпатська,10.0
2016,,,,,Запорізька,10.0
2016,,,,,Івано-Франківська,8.8
2016,,,,,Київська,6.8
2016,,,,,Кіровоградська,12.4
2016,,,,,Луганська,16.0
2016,,,,,Львівська,7.7
2016,,,,,Миколаївська,9.7
2016,,,,,Одеська,6.8
2016,,,,,Полтавська,12.6
2016,,,,,Рівненська,10.6
2016,,,,,Сумська,9.3
2016,,,,,Тернопільська,11.5
2016,,,,,Харківська,6.4
2016,,,,,Херсонська,11.2
2016,,,,,Хмельницька,9.4
2016,,,,,Черкаська,10.4
2016,,,,,Чернівецька,8.7
2016,,,,,Чернігівська,11.3
2016,,,,,м. Київ,6.7
2016,,,,,м. Севастополь,
2017,,,,,,9.5
2017,15–24 роки,,,,,18.9
2017,25–29 років,,,,,11.3
2017,30–34 роки,,,,,9.8
2017,35–39 років,,,,,8.4
2017,40–49 років,,,,,8.7
2017,50–59 років,,,,,8.1
2017,60–70 років,,,,,0.1
2017,,жінки,,,,7.7
2017,,чоловіки,,,,11.1
2017,,,міська,,,9.3
2017,,,сільська,,,9.9
2017,,,,повна вища,,7.8
2017,,,,базова вища,,13.7
2017,,,,неповна вища,,9.0
2017,,,,професійно-технічна,,11.1
2017,,,,повна загальна середня,,10.2
2017,,,,"базова, початкова загальна середня або не мають освіти",,11.9
2017,,,,,Автономна Республіка Крим,
2017,,,,,Вінницька,10.7
2017,,,,,Волинська,12.5
2017,,,,,Дніпропетровська,8.5
2017,,,,,Донецька,14.6
2017,,,,,Житомирська,10.8
2017,,,,,Закарпатська,10.5
2017,,,,,Запорізька,10.7
2017,,,,,Івано-Франківська,8.5
2017,,,,,Київська,6.5
2017,,,,,Кіровоградська,12.2
2017,,,,,Луганська,16.6
2017,,,,,Львівська,7.5
2017,,,,,Миколаївська,10.3
2017,,,,,Одеська,7.3
2017,,,,,Полтавська,12.0
2017,,,,,Рівненська,11.6
2017,,,,,Сумська,9.1
2017,,,,,Тернопільська,11.9
2017,,,,,Харківська,6.1
2017,,,,,Херсонська,11.1
2017,,,,,Хмельницька,8.9
2017,,,,,Черкаська,10.2
2017,,,,,Чернівецька,8.4
2017,,,,,Чернігівська,11.2
2017,,,,,м. Київ,6.9
2017,,,,,м. Севастополь,
2018,,,,,,8.8
2018,15–24 роки,,,,,17.9
2018,25–29 років,,,,,9.8
2018,30–34 роки,,,,,8.9
2018,35–39 років,,,,,9.5
2018,40–49 років,,,,,7.7
2018,50–59 років,,,,,7.4
2018,60–70 років,,,,,0.2
2018,,жінки,,,,7.4
2018,,чоловіки,,,,10.0
2018,,,міська,,,8.6
2018,,,сільська,,,9.2
2018,,,,повна вища,,7.8
2018,,,,базова вища,,15.0
2018,,,,неповна вища,,7.0
2018,,,,професійно-технічна,,9.9
2018,,,,повна загальна середня,,10.0
2018,,,,"базова, початкова загальна середня або не мають освіти",,13.0
2018,,,,,Автономна Республіка Крим,
2018,,,,,Вінницька,9.9
2018,,,,,Волинська,11.4
2018,,,,,Дніпропетровська,8.0
2018,,,,,Донецька,14.0
2018,,,,,Житомирська,10.4
2018,,,,,Закарпатська,10.0
2018,,,,,Запорізька,9.9
2018,,,,,Івано-Франківська,7.8
2018,,,,,Київська,6.3
2018,,,,,Кіровоградська,11.6
2018,,,,,Луганська,15.1
2018,,,,,Львівська,6.9
2018,,,,,Миколаївська,9.6
2018,,,,,Одеська,6.4
2018,,,,,Полтавська,11.2
2018,,,,,Рівненська,9.7
2018,,,,,Сумська,8.7
2018,,,,,Тернопільська,10.4
2018,,,,,Харківська,5.3
2018,,,,,Херсонська,10.3
2018,,,,,Хмельницька,8.4
2018,,,,,Черкаська,9.6
2018,,,,,Чернівецька,7.9
2018,,,,,Чернігівська,10.6
2018,,,,,м. Київ,6.2
2018,,,,,м. Севастополь,
2019,,,,,,8.2
2019,15–24 роки,,,,,15.4
2019,25–29 років,,,,,8.4
2019,30–34 роки,,,,,7.3
2019,35–39 років,,,,,7.5
2019,40–49 років,,,,,8.4
2019,50–59 років,,,,,8.0
2019,60–70 років,,,,,0.1
2019,,жінки,,,,7.9
2019,,чоловіки,,,,8.5
2019,,,міська,,,8.0
2019,,,сільська,,,8.7
2019,,,,повна вища,,6.3
2019,,,,базова вища,,10.1
2019,,,,неповна вища,,8.0
2019,,,,професійно-технічна,,9.2
2019,,,,повна загальна середня,,9.6
2019,,,,"базова, початкова загальна середня або не мають освіти",,13.9
2019,,,,,Автономна Республіка Крим,
2019,,,,,Вінницька,9.4
2019,,,,,Волинська,10.6
2019,,,,,Дніпропетровська,7.7
2019,,,,,Донецька,13.6
2019,,,,,Житомирська,9.6
2019,,,,,Закарпатська,9.1
2019,,,,,Запорізька,9.5
2019,,,,,Івано-Франківська,7.2
2019,,,,,Київська,5.9
2019,,,,,Кіровоградська,11.0
2019,,,,,Луганська,13.7
2019,,,,,Львівська,6.5
2019,,,,,Миколаївська,9.3
2019,,,,,Одеська,5.9
2019,,,,,Полтавська,10.6
2019,,,,,Рівненська,8.3
2019,,,,,Сумська,7.7
2019,,,,,Тернопільська,10.0
2019,,,,,Харківська,5.0
2019,,,,,Херсонська,9.6
2019,,,,,Хмельницька,8.0
2019,,,,,Черкаська,8.3
2019,,,,,Чернівецька,6.9
2019,,,,,Чернігівська,10.2
2019,,,,,м. Київ,5.8
2019,,,,,м. Севастополь,
2020,,,,,,9.5
2020,15–24 роки,,,,,19.3
2020,25–29 років,,,,,8.7
2020,30–34 роки,,,,,8.2
2020,35–39 років,,,,,10.3
2020,40–49 років,,,,,9.5
2020,50–59 років,,,,,9.0
2020,60–70 років,,,,,0.1
2020,,жінки,,,,9.1
2020,,чоловіки,,,,9.9
2020,,,міська,,,9.1
2020,,,сільська,,,10.4
2020,,,,повна вища,,7.3
2020,,,,базова вища,,10.2
2020,,,,неповна вища,,9.0
2020,,,,професійно-технічна,,10.8
2020,,,,повна загальна середня,,11.5
2020,,,,"базова, початкова загальна середня або не мають освіти",,15.9
2020,,,,,Автономна Республіка Крим,
2020,,,,,Вінницька,10.7
2020,,,,,Волинська,12.5
2020,,,,,Дніпропетровська,8.6
2020,,,,,Донецька,14.9
2020,,,,,Житомирська,10.9
2020,,,,,Закарпатська,10.6
2020,,,,,Запорізька,10.7
2020,,,,,Івано-Франківська,8.4
2020,,,,,Київська,6.9
2020,,,,,Кіровоградська,12.7
2020,,,,,Луганська,15.4
2020,,,,,Львівська,7.6
2020,,,,,Миколаївська,10.7
2020,,,,,Одеська,7.1
2020,,,,,Полтавська,12.0
2020,,,,,Рівненська,9.3
2020,,,,,Сумська,9.4
2020,,,,,Тернопільська,11.5
2020,,,,,Харківська,6.2
2020,,,,,Херсонська,11.3
2020,,,,,Хмельницька,9.9
2020,,,,,Черкаська,9.5
2020,,,,,Чернівецька,8.9
2020,,,,,Чернігівська,11.9
2020,,,,,м. Київ,6.8
2020,,,,,м. Севастополь,
2021,,,,,,9.9
2021,15–24 роки,,,,,19.1
2021,25–29 років,,,,,9.4
2021,30–34 роки,,,,,8.4
2021,35–39 років,,,,,10.7
2021,40–49 років,,,,,9.8
2021,50–59 років,,,,,9.5
2021,60–70 років,,,,,0.3
2021,,жінки,,,,10.2
2021,,чоловіки,,,,9.6
2021,,,міська,,,9.5
2021,,,сільська,,,10.7
2021,,,,повна вища,,8.4
2021,,,,базова вища,,13.4
2021,,,,неповна вища,,9.6
2021,,,,професійно-технічна,,10.2
2021,,,,повна загальна середня,,11.5
2021,,,,"базова, початкова загальна середня або не мають освіти",,15.0
2021,,,,,Автономна Республіка Крим,
2021,,,,,Вінницька,11.0
2021,,,,,Волинська,12.7
2021,,,,,Дніпропетровська,8.9
2021,,,,,Донецька,15.4
2021,,,,,Житомирська,11.2
2021,,,,,Закарпатська,11.1
2021,,,,,Запорізька,11.1
2021,,,,,Івано-Франківська,8.7
2021,,,,,Київська,7.2
2021,,,,,Кіровоградська,13.2
2021,,,,,Луганська,16.0
2021,,,,,Львівська,7.7
2021,,,,,Миколаївська,11.3
2021,,,,,Одеська,7.3
2021,,,,,Полтавська,12.4
2021,,,,,Рівненська,9.6
2021,,,,,Сумська,10.1
2021,,,,,Тернопільська,11.9
2021,,,,,Харківська,6.7
2021,,,,,Херсонська,11.8
2021,,,,,Хмельницька,10.3
2021,,,,,Черкаська,10.1
2021,,,,,Чернівецька,9.3
2021,,,,,Чернігівська,12.4
2021,,,,,м. Київ,7.1
2021,,,,,м. Севастополь,
2022,,,,,,
2022,15–24 роки,,,,,
2022,25–29 років,,,,,
2022,30–34 роки,,,,,
2022,35–39 років,,,,,
2022,40–49 років,,,,,
2022,50–59 років,,,,,
2022,60–70 років,,,,,
2022,,жінки,,,,
2022,,чоловіки,,,,
2022,,,міська,,,
2022,,,сільська,,,
2022,,,,повна вища,,
2022,,,,базова вища,,
2022,,,,неповна вища,,
2022,,,,професійно-технічна,,
2022,,,,повна загальна середня,,
2022,,,,"базова, початкова загальна середня або не мають освіти",,
2022,,,,,Автономна Республіка Крим,
2022,,,,,Вінницька,
2022,,,,,Волинська,
2022,,,,,Дніпропетровська,
2022,,,,,Донецька,
2022,,,,,Житомирська,
2022,,,,,Закарпатська,
2022,,,,,Запорізька,
2022,,,,,Івано-Франківська,
2022,,,,,Київська,
2022,,,,,Кіровоградська,
2022,,,,,Луганська,
2022,,,,,Львівська,
2022,,,,,Миколаївська,
2022,,,,,Одеська,
2022,,,,,Полтавська,
2022,,,,,Рівненська,
2022,,,,,Сумська,
2022,,,,,Тернопільська,
2022,,,,,Харківська,
2022,,,,,Херсонська,
2022,,,,,Хмельницька,
2022,,,,,Черкаська,
2022,,,,,Чернівецька,
2022,,,,,Чернігівська,
2022,,,,,м. Київ,
2022,,,,,м. Севастополь,
2023,,,,,,
2023,15–24 роки,,,,,
2023,25–29 років,,,,,
2023,30–34 роки,,,,,
2023,35–39 років,,,,,
2023,40–49 років,,,,,
2023,50–59 років,,,,,
2023,60–70 років,,,,,
2023,,жінки,,,,
2023,,чоловіки,,,,
2023,,,міська,,,
2023,,,сільська,,,
2023,,,,повна вища,,
2023,,,,базова вища,,
2023,,,,неповна вища,,
2023,,,,професійно-технічна,,
2023,,,,повна загальна середня,,
2023,,,,"базова, початкова загальна середня або не мають освіти",,
2023,,,,,Автономна Республіка Крим,
2023,,,,,Вінницька,
2023,,,,,Волинська,
2023,,,,,Дніпропетровська,
2023,,,,,Донецька,
2023,,,,,Житомирська,
2023,,,,,Закарпатська,
2023,,,,,Запорізька,
2023,,,,,Івано-Франківська,
2023,,,,,Київська,
2023,,,,,Кіровоградська,
2023,,,,,Луганська,
2023,,,,,Львівська,
2023,,,,,Миколаївська,
2023,,,,,Одеська,
2023,,,,,Полтавська,
2023,,,,,Рівненська,
2023,,,,,Сумська,
2023,,,,,Тернопільська,
2023,,,,,Харківська,
2023,,,,,Херсонська,
2023,,,,,Хмельницька,
2023,,,,,Черкаська,
2023,,,,,Чернівецька,
2023,,,,,Чернігівська,
2023,,,,,м. Київ,
2023,,,,,м. Севастополь,
2024,,,,,,
2024,15–24 роки,,,,,
2024,25–29 років,,,,,
2024,30–34 роки,,,,,
2024,35–39 років,,,,,
2024,40–49 років,,,,,
2024,50–59 років,,,,,
2024,60–70 років,,,,,
2024,,жінки,,,,
2024,,чоловіки,,,,
2024,,,міська,,,
2024,,,сільська,,,
2024,,,,повна вища,,
2024,,,,базова вища,,
2024,,,,неповна вища,,
2024,,,,професійно-технічна,,
2024,,,,повна загальна середня,,
2024,,,,"базова, початкова загальна середня або не мають освіти",,
2024,,,,,Автономна Республіка Крим,
2024,,,,,Вінницька,
2024,,,,,Волинська,
2024,,,,,Дніпропетровська,
2024,,,,,Донецька,
2024,,,,,Житомирська,
2024,,,,,Закарпатська,
2024,,,,,Запорізька,
2024,,,,,Івано-Франківська,
2024,,,,,Київська,
2024,,,,,Кіровоградська,
2024,,,,,Луганська,
2024,,,,,Львівська,
2024,,,,,Миколаївська,
2024,,,,,Одеська,
2024,,,,,Полтавська,
2024,,,,,Рівненська,
2024,,,,,Сумська,
2024,,,,,Тернопільська,
2024,,,,,Харківська,
2024,,,,,Херсонська,
2024,,,,,Хмельницька,
2024,,,,,Черкаська,
2024,,,,,Чернівецька,
2024,,,,,Чернігівська,
2024,,,,,м. Київ,
2024,,,,,м. Севастополь,
