Year,"Вікові групи молоді, яка не працює, не навчається і не набуває професійних навичок",Стать (вік 15–24 роки),Місцевість проживання (вік 15–24 роки),Стать (вік 15–34 роки),Місцевість проживання (вік 15–34 роки),Value
2015,у віці 15–24 роки,,,,,17.2
2016,у віці 15–24 роки,,,,,17.8
2017,у віці 15–24 роки,,,,,15.9
2018,у віці 15–24 роки,,,,,14.5
2019,у віці 15–24 роки,,,,,15.6
2020,у віці 15–24 роки,,,,,15.5
2021,у віці 15–24 роки,,,,,14.3
2022,у віці 15–24 роки,,,,,
2023,у віці 15–24 роки,,,,,
2024,у віці 15–24 роки,,,,,
2015,,"жінки, 15–24 роки",,,,19.8
2016,,"жінки, 15–24 роки",,,,20.8
2017,,"жінки, 15–24 роки",,,,19.0
2018,,"жінки, 15–24 роки",,,,17.8
2019,,"жінки, 15–24 роки",,,,19.9
2020,,"жінки, 15–24 роки",,,,18.4
2021,,"жінки, 15–24 роки",,,,18.0
2022,,"жінки, 15–24 роки",,,,
2023,,"жінки, 15–24 роки",,,,
2024,,"жінки, 15–24 роки",,,,
2015,,"чоловіки, 15–24 роки",,,,14.6
2016,,"чоловіки, 15–24 роки",,,,14.9
2017,,"чоловіки, 15–24 роки",,,,12.9
2018,,"чоловіки, 15–24 роки",,,,11.3
2019,,"чоловіки, 15–24 роки",,,,11.5
2020,,"чоловіки, 15–24 роки",,,,12.7
2021,,"чоловіки, 15–24 роки",,,,10.8
2022,,"чоловіки, 15–24 роки",,,,
2023,,"чоловіки, 15–24 роки",,,,
2024,,"чоловіки, 15–24 роки",,,,
2015,,,"міська, 15–24 роки",,,14.6
2016,,,"міська, 15–24 роки",,,14.9
2017,,,"міська, 15–24 роки",,,12.4
2018,,,"міська, 15–24 роки",,,11.6
2019,,,"міська, 15–24 роки",,,12.5
2020,,,"міська, 15–24 роки",,,12.0
2021,,,"міська, 15–24 роки",,,11.6
2022,,,"міська, 15–24 роки",,,
2023,,,"міська, 15–24 роки",,,
2024,,,"міська, 15–24 роки",,,
2015,,,"сільська, 15–24 роки",,,21.6
2016,,,"сільська, 15–24 роки",,,22.8
2017,,,"сільська, 15–24 роки",,,22.0
2018,,,"сільська, 15–24 роки",,,19.4
2019,,,"сільська, 15–24 роки",,,21.0
2020,,,"сільська, 15–24 роки",,,21.7
2021,,,"сільська, 15–24 роки",,,19.2
2022,,,"сільська, 15–24 роки",,,
2023,,,"сільська, 15–24 роки",,,
2024,,,"сільська, 15–24 роки",,,
2015,у віці 15–34 роки,,,,,22.4
2016,у віці 15–34 роки,,,,,23.2
2017,у віці 15–34 роки,,,,,22.5
2018,у віці 15–34 роки,,,,,20.9
2019,у віці 15–34 роки,,,,,21.0
2020,у віці 15–34 роки,,,,,21.8
2021,у віці 15–34 роки,,,,,21.8
2022,у віці 15–34 роки,,,,,
2023,у віці 15–34 роки,,,,,
2024,у віці 15–34 роки,,,,,
2015,,,,"жінки, 15–34 роки",,28.1
2016,,,,"жінки, 15–34 роки",,29.3
2017,,,,"жінки, 15–34 роки",,29.0
2018,,,,"жінки, 15–34 роки",,26.8
2019,,,,"жінки, 15–34 роки",,28.8
2020,,,,"жінки, 15–34 роки",,29.1
2021,,,,"жінки, 15–34 роки",,29.6
2022,,,,"жінки, 15–34 роки",,
2023,,,,"жінки, 15–34 роки",,
2024,,,,"жінки, 15–34 роки",,
2015,,,,"чоловіки, 15–34 роки",,16.9
2016,,,,"чоловіки, 15–34 роки",,17.4
2017,,,,"чоловіки, 15–34 роки",,16.3
2018,,,,"чоловіки, 15–34 роки",,15.2
2019,,,,"чоловіки, 15–34 роки",,13.7
2020,,,,"чоловіки, 15–34 роки",,14.8
2021,,,,"чоловіки, 15–34 роки",,14.4
2022,,,,"чоловіки, 15–34 роки",,
2023,,,,"чоловіки, 15–34 роки",,
2024,,,,"чоловіки, 15–34 роки",,
2015,,,,,"міська, 15–34 роки",20.1
2016,,,,,"міська, 15–34 роки",20.9
2017,,,,,"міська, 15–34 роки",20.0
2018,,,,,"міська, 15–34 роки",18.7
2019,,,,,"міська, 15–34 роки",18.7
2020,,,,,"міська, 15–34 роки",18.9
2021,,,,,"міська, 15–34 роки",19.3
2022,,,,,"міська, 15–34 роки",
2023,,,,,"міська, 15–34 роки",
2024,,,,,"міська, 15–34 роки",
2015,,,,,"сільська, 15–34 роки",27.3
2016,,,,,"сільська, 15–34 роки",28.0
2017,,,,,"сільська, 15–34 роки",27.5
2018,,,,,"сільська, 15–34 роки",25.2
2019,,,,,"сільська, 15–34 роки",25.6
2020,,,,,"сільська, 15–34 роки",27.2
2021,,,,,"сільська, 15–34 роки",26.6
2022,,,,,"сільська, 15–34 роки",
2023,,,,,"сільська, 15–34 роки",
2024,,,,,"сільська, 15–34 роки",
