Year,Стать,Місцевість проживання,Домогосподарства,Value
2015,,,,8.9
2016,,,,8.5
2017,,,,8.0
2018,,,,6.5
2019,,,,1.0
2020,,,,1.6
2021,,,,1.7
2022,,,,
2023,,,,
2024,,,,
2015,Жіноча,,,8.9
2016,Жіноча,,,8.1
2017,Жіноча,,,7.9
2018,Жіноча,,,6.4
2019,Жіноча,,,0.9
2020,Жіноча,,,1.7
2021,Жіноча,,,1.7
2022,Жіноча,,,
2023,Жіноча,,,
2024,Жіноча,,,
2015,Чоловіча,,,8.9
2016,Чоловіча,,,8.9
2017,Чоловіча,,,8.2
2018,Чоловіча,,,6.7
2019,Чоловіча,,,1.2
2020,Чоловіча,,,1.6
2021,Чоловіча,,,1.7
2022,Чоловіча,,,
2023,Чоловіча,,,
2024,Чоловіча,,,
2015,,міська,,6.8
2016,,міська,,6.7
2017,,міська,,5.8
2018,,міська,,4.2
2019,,міська,,0.7
2020,,міська,,1.4
2021,,міська,,1.4
2022,,міська,,
2023,,міська,,
2024,,міська,,
2015,,сільська,,12.8
2016,,сільська,,11.9
2017,,сільська,,12.4
2018,,сільська,,11.0
2019,,сільська,,1.6
2020,,сільська,,2.1
2021,,сільська,,2.2
2022,,сільська,,
2023,,сільська,,
2024,,сільська,,
2015,,,Домогосподарства з дітьми,12.2
2016,,,Домогосподарства з дітьми,10.8
2017,,,Домогосподарства з дітьми,10.1
2018,,,Домогосподарства з дітьми,8.2
2019,,,Домогосподарства з дітьми,1.1
2020,,,Домогосподарства з дітьми,2.0
2021,,,Домогосподарства з дітьми,2.0
2022,,,Домогосподарства з дітьми,
2023,,,Домогосподарства з дітьми,
2024,,,Домогосподарства з дітьми,
2015,,,Домогосподарства без дітей,5.0
2016,,,Домогосподарства без дітей,5.8
2017,,,Домогосподарства без дітей,5.6
2018,,,Домогосподарства без дітей,4.6
2019,,,Домогосподарства без дітей,0.9
2020,,,Домогосподарства без дітей,1.3
2021,,,Домогосподарства без дітей,1.3
2022,,,Домогосподарства без дітей,
2023,,,Домогосподарства без дітей,
2024,,,Домогосподарства без дітей,
