Year,Область,Категорія,Value
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
2021,,,
2022,,,
2023,,,11.15
2024,,,13.21
2015,,за територіальними громадами,
2016,,за територіальними громадами,
2017,,за територіальними громадами,
2018,,за територіальними громадами,
2019,,за територіальними громадами,
2020,,за територіальними громадами,
2021,,за територіальними громадами,
2022,,за територіальними громадами,
2023,,за територіальними громадами,
2024,,за територіальними громадами,
2015,,працююче населення,
2016,,працююче населення,
2017,,працююче населення,
2018,,працююче населення,
2019,,працююче населення,
2020,,працююче населення,
2021,,працююче населення,
2022,,працююче населення,
2023,,працююче населення,1.58
2024,,працююче населення,1.94
2015,,непрацююче населення,
2016,,непрацююче населення,
2017,,непрацююче населення,
2018,,непрацююче населення,
2019,,непрацююче населення,
2020,,непрацююче населення,
2021,,непрацююче населення,
2022,,непрацююче населення,
2023,,непрацююче населення,4.5
2024,,непрацююче населення,5.26
2015,,здобувачі освіти,
2016,,здобувачі освіти,
2017,,здобувачі освіти,
2018,,здобувачі освіти,
2019,,здобувачі освіти,
2020,,здобувачі освіти,
2021,,здобувачі освіти,
2022,,здобувачі освіти,
2023,,здобувачі освіти,5.06
2024,,здобувачі освіти,6.01
2015,м. Севастополь,,
2016,м. Севастополь,,
2017,м. Севастополь,,
2018,м. Севастополь,,
2019,м. Севастополь,,
2020,м. Севастополь,,
2021,м. Севастополь,,
2022,м. Севастополь,,
2023,м. Севастополь,,
2024,м. Севастополь,,
2015,Автономна Республіка Крим,,
2016,Автономна Республіка Крим,,
2017,Автономна Республіка Крим,,
2018,Автономна Республіка Крим,,
2019,Автономна Республіка Крим,,
2020,Автономна Республіка Крим,,
2021,Автономна Республіка Крим,,
2022,Автономна Республіка Крим,,
2023,Автономна Республіка Крим,,
2024,Автономна Республіка Крим,,
2015,Вінницька,,
2016,Вінницька,,
2017,Вінницька,,
2018,Вінницька,,
2019,Вінницька,,
2020,Вінницька,,
2021,Вінницька,,
2022,Вінницька,,
2023,Вінницька,,0.28
2024,Вінницька,,0.33
2015,Волинська,,
2016,Волинська,,
2017,Волинська,,
2018,Волинська,,
2019,Волинська,,
2020,Волинська,,
2021,Волинська,,
2022,Волинська,,
2023,Волинська,,0.33
2024,Волинська,,0.37
2015,Дніпропетровська,,
2016,Дніпропетровська,,
