Year,за типами укриттів,Value
2015,,66/34
2016,,67/33
2017,,68/32
2018,,69/31
2019,,70/30
2020,,71/29
2021,,72/28
2022,,50/50
2023,,60/40
2024,,87/13
2015,сховища,
2016,сховища,
2017,сховища,
2018,сховища,
2019,сховища,
2020,сховища,
2021,сховища,
2022,сховища,70/30
2023,сховища,60/40
2024,сховища,52/48
2015,протирадіаційні укриття,
2016,протирадіаційні укриття,
2017,протирадіаційні укриття,
2018,протирадіаційні укриття,
2019,протирадіаційні укриття,
2020,протирадіаційні укриття,
2021,протирадіаційні укриття,
2022,протирадіаційні укриття,60/40
2023,протирадіаційні укриття,70/30
2024,протирадіаційні укриття,67/33
2015,споруди подвійного призначення,
2016,споруди подвійного призначення,
2017,споруди подвійного призначення,
2018,споруди подвійного призначення,
2019,споруди подвійного призначення,
2020,споруди подвійного призначення,
2021,споруди подвійного призначення,
2022,споруди подвійного призначення,
2023,споруди подвійного призначення,66/34
2024,споруди подвійного призначення,77/23
2015,найпростіші укриття,
2016,найпростіші укриття,
2017,найпростіші укриття,
2018,найпростіші укриття,
2019,найпростіші укриття,
2020,найпростіші укриття,
2021,найпростіші укриття,
2022,найпростіші укриття,
2023,найпростіші укриття,81/19
2024,найпростіші укриття,97/3
