Year,Область,За ознакою інвалідності,Value
2015,Україна,,
2016,Україна,,
2017,Україна,,
2018,Україна,,
2019,Україна,,
2020,Україна,,
2021,Україна,,
2022,Україна,,
2023,Україна,,46362.0
2024,Україна,,61063.0
2015,Автономна Республіка Крим,,
2016,Автономна Республіка Крим,,
2017,Автономна Республіка Крим,,
2018,Автономна Республіка Крим,,
2019,Автономна Республіка Крим,,
2020,Автономна Республіка Крим,,
2021,Автономна Республіка Крим,,
2022,Автономна Республіка Крим,,
2023,Автономна Республіка Крим,,
2024,Автономна Республіка Крим,,
2015,Вінницька,,
2016,Вінницька,,
2017,Вінницька,,
2018,Вінницька,,
2019,Вінницька,,
2020,Вінницька,,
2021,Вінницька,,
2022,Вінницька,,
2023,Вінницька,,2205.0
2024,Вінницька,,2306.0
2015,Волинська,,
2016,Волинська,,
2017,Волинська,,
2018,Волинська,,
2019,Волинська,,
2020,Волинська,,
2021,Волинська,,
2022,Волинська,,
2023,Волинська,,663.0
2024,Волинська,,838.0
2015,Дніпропетровська,,
2016,Дніпропетровська,,
2017,Дніпропетровська,,
2018,Дніпропетровська,,
2019,Дніпропетровська,,
2020,Дніпропетровська,,
2021,Дніпропетровська,,
2022,Дніпропетровська,,
2023,Дніпропетровська,,2444.0
2024,Дніпропетровська,,10678.0
2015,Донецька,,
2016,Донецька,,
2017,Донецька,,
2018,Донецька,,
2019,Донецька,,
2020,Донецька,,
2021,Донецька,,
2022,Донецька,,
2023,Донецька,,245.0
2024,Донецька,,58.0
2015,Житомирська,,
2016,Житомирська,,
2017,Житомирська,,
2018,Житомирська,,
2019,Житомирська,,
2020,Житомирська,,
2021,Житомирська,,
2022,Житомирська,,
2023,Житомирська,,241.0
2024,Житомирська,,276.0
2015,Закарпатська,,
2016,Закарпатська,,
2017,Закарпатська,,
2018,Закарпатська,,
2019,Закарпатська,,
2020,Закарпатська,,
2021,Закарпатська,,
2022,Закарпатська,,
2023,Закарпатська,,2964.0
2024,Закарпатська,,3991.0
2015,Запорізька,,
2016,Запорізька,,
2017,Запорізька,,
2018,Запорізька,,
2019,Запорізька,,
2020,Запорізька,,
2021,Запорізька,,
2022,Запорізька,,
2023,Запорізька,,3552.0
2024,Запорізька,,3313.0
2015,Івано-Франківська,,
2016,Івано-Франківська,,
2017,Івано-Франківська,,
2018,Івано-Франківська,,
2019,Івано-Франківська,,
2020,Івано-Франківська,,
2021,Івано-Франківська,,
2022,Івано-Франківська,,
2023,Івано-Франківська,,1251.0
2024,Івано-Франківська,,1546.0
2015,Київська,,
2016,Київська,,
2017,Київська,,
2018,Київська,,
2019,Київська,,
2020,Київська,,
2021,Київська,,
2022,Київська,,
2023,Київська,,5148.0
2024,Київська,,7006.0
