Year,Область,Вік,Стать,Тип місцевості проживання,Рівень доходу,Value
2015,Україна,,,,,
2016,Україна,,,,,11.9
2017,Україна,,,,,
2018,Україна,,,,,18.4
2019,Україна,,,,,
2020,Україна,,,,,25.4
2021,Україна,,,,,
2022,Україна,,,,,
2023,Україна,,,,,23.8
2024,Україна,,,,,
2015,Захід,,,,,
2016,Захід,,,,,14.4
2017,Захід,,,,,
2018,Захід,,,,,10.6
2019,Захід,,,,,
2020,Захід,,,,,
2021,Захід,,,,,
2022,Захід,,,,,
2023,Захід,,,,,21.9
2024,Захід,,,,,
2015,Центр,,,,,
2016,Центр,,,,,10.6
2017,Центр,,,,,
2018,Центр,,,,,37.0
2019,Центр,,,,,
2020,Центр,,,,,
2021,Центр,,,,,
2022,Центр,,,,,
2023,Центр,,,,,22.2
2024,Центр,,,,,
2015,Південь,,,,,
2016,Південь,,,,,9.0
2017,Південь,,,,,
2018,Південь,,,,,20.7
2019,Південь,,,,,
2020,Південь,,,,,
2021,Південь,,,,,
2022,Південь,,,,,
2023,Південь,,,,,22.1
2024,Південь,,,,,
2015,Схід,,,,,
2016,Схід,,,,,12.3
2017,Схід,,,,,
2018,Схід,,,,,27.2
2019,Схід,,,,,
2020,Схід,,,,,
2021,Схід,,,,,
2022,Схід,,,,,
2023,Схід,,,,,32.1
2024,Схід,,,,,
2015,місто Київ,,,,,
2016,місто Київ,,,,,18.8
2017,місто Київ,,,,,
2018,місто Київ,,,,,34.1
2019,місто Київ,,,,,
2020,місто Київ,,,,,
2021,місто Київ,,,,,
2022,місто Київ,,,,,
2023,місто Київ,,,,,30.9
2024,місто Київ,,,,,
2015,,до 30 років,,,,
2016,,до 30 років,,,,
2017,,до 30 років,,,,
2018,,до 30 років,,,,21.8
2019,,до 30 років,,,,
2020,,до 30 років,,,,
2021,,до 30 років,,,,
2022,,до 30 років,,,,
2023,,до 30 років,,,,24.8
2024,,до 30 років,,,,
2015,,30–54 роки,,,,
2016,,30–54 роки,,,,
2017,,30–54 роки,,,,
2018,,30–54 роки,,,,25.5
2019,,30–54 роки,,,,
2020,,30–54 роки,,,,
2021,,30–54 роки,,,,
2022,,30–54 роки,,,,
2023,,30–54 роки,,,,26.5
2024,,30–54 роки,,,,
2015,,55 років і старші,,,,
2016,,55 років і старші,,,,
2017,,55 років і старші,,,,
2018,,55 років і старші,,,,25.3
2019,,55 років і старші,,,,
2020,,55 років і старші,,,,
2021,,55 років і старші,,,,
2022,,55 років і старші,,,,
2023,,55 років і старші,,,,18.8
2024,,55 років і старші,,,,
2015,,,чоловіки,,,
2016,,,чоловіки,,,13.4
2017,,,чоловіки,,,
2018,,,чоловіки,,,25.1
2019,,,чоловіки,,,
2020,,,чоловіки,,,
2021,,,чоловіки,,,
2022,,,чоловіки,,,
2023,,,чоловіки,,,25.7
2024,,,чоловіки,,,
2015,,,жінки,,,
2016,,,жінки,,,10.6
2017,,,жінки,,,
2018,,,жінки,,,24.0
2019,,,жінки,,,
2020,,,жінки,,,
2021,,,жінки,,,
2022,,,жінки,,,
2023,,,жінки,,,22.1
2024,,,жінки,,,
2015,,,,обласні центри,,
2016,,,,обласні центри,,11.8
2017,,,,обласні центри,,
2018,,,,обласні центри,,24.7
2019,,,,обласні центри,,
2020,,,,обласні центри,,
2021,,,,обласні центри,,
2022,,,,обласні центри,,
2023,,,,обласні центри,,24.9
2024,,,,обласні центри,,
2015,,,,районні центри та міста,,
2016,,,,районні центри та міста,,14.0
2017,,,,районні центри та міста,,
2018,,,,районні центри та міста,,21.8
2019,,,,районні центри та міста,,
2020,,,,районні центри та міста,,
2021,,,,районні центри та міста,,
2022,,,,районні центри та міста,,
2023,,,,районні центри та міста,,25.0
2024,,,,районні центри та міста,,
2015,,,,села,,
2016,,,,села,,8.9
2017,,,,села,,
2018,,,,села,,24.5
2019,,,,села,,
2020,,,,села,,
2021,,,,села,,
2022,,,,села,,
2023,,,,села,,19.1
2024,,,,села,,
2015,,,,,нижче середнього та найнижчий,
2016,,,,,нижче середнього та найнижчий,
2017,,,,,нижче середнього та найнижчий,
2018,,,,,нижче середнього та найнижчий,
2019,,,,,нижче середнього та найнижчий,
2020,,,,,нижче середнього та найнижчий,
2021,,,,,нижче середнього та найнижчий,
2022,,,,,нижче середнього та найнижчий,
2023,,,,,нижче середнього та найнижчий,16.1
2024,,,,,нижче середнього та найнижчий,
2015,,,,,середній,
2016,,,,,середній,
2017,,,,,середній,
2018,,,,,середній,
2019,,,,,середній,
2020,,,,,середній,
2021,,,,,середній,
2022,,,,,середній,
2023,,,,,середній,28.0
2024,,,,,середній,
2015,,,,,найвищий та вище середнього,
2016,,,,,найвищий та вище середнього,
2017,,,,,найвищий та вище середнього,
2018,,,,,найвищий та вище середнього,
2019,,,,,найвищий та вище середнього,
2020,,,,,найвищий та вище середнього,
2021,,,,,найвищий та вище середнього,
2022,,,,,найвищий та вище середнього,
2023,,,,,найвищий та вище середнього,30.1
2024,,,,,найвищий та вище середнього,
