Year,Рівень ризиків,Value
2015,,
2016,,37.0
2017,,
2018,,
2019,,24.0
2020,,
2021,,
2022,,26.0
2023,,
2024,,
2015,низький,
2016,низький,
2017,низький,
2018,низький,
2019,низький,2.0
2020,низький,
2021,низький,
2022,низький,2.0
2023,низький,
2024,низький,
2015,group_label_324,
2016,group_label_324,
2017,group_label_324,
2018,group_label_324,
2019,group_label_324,16.0
2020,group_label_324,
2021,group_label_324,
2022,group_label_324,16.0
2023,group_label_324,
2024,group_label_324,
2015,високий,
2016,високий,9.0
2017,високий,
2018,високий,
2019,високий,6.0
2020,високий,
2021,високий,
2022,високий,8.0
2023,високий,
2024,високий,
