Year,Компоненти індексу,Область,Вік,Стать,Value
2017,Соціальна згуртованість і почуття співпричетності,Донецька,,,
2018,Соціальна згуртованість і почуття співпричетності,Донецька,,,
2019,Соціальна згуртованість і почуття співпричетності,Донецька,,,
2020,Соціальна згуртованість і почуття співпричетності,Донецька,,,
2021,Соціальна згуртованість і почуття співпричетності,Донецька,,,
2022,Соціальна згуртованість і почуття співпричетності,Донецька,,,
2023,Соціальна згуртованість і почуття співпричетності,Донецька,,,
2017,Соціальна згуртованість і почуття співпричетності,Донецька,18 – 35 років,,
2018,Соціальна згуртованість і почуття співпричетності,Донецька,18 – 35 років,,
2019,Соціальна згуртованість і почуття співпричетності,Донецька,18 – 35 років,,
2020,Соціальна згуртованість і почуття співпричетності,Донецька,18 – 35 років,,
2021,Соціальна згуртованість і почуття співпричетності,Донецька,18 – 35 років,,
2022,Соціальна згуртованість і почуття співпричетності,Донецька,18 – 35 років,,
2023,Соціальна згуртованість і почуття співпричетності,Донецька,18 – 35 років,,
2017,Соціальна згуртованість і почуття співпричетності,Донецька,36 – 60 років,,6.7
2018,Соціальна згуртованість і почуття співпричетності,Донецька,36 – 60 років,,
2019,Соціальна згуртованість і почуття співпричетності,Донецька,36 – 60 років,,
2020,Соціальна згуртованість і почуття співпричетності,Донецька,36 – 60 років,,
2021,Соціальна згуртованість і почуття співпричетності,Донецька,36–59 років,,
2022,Соціальна згуртованість і почуття співпричетності,Донецька,36–59 років,,
2023,Соціальна згуртованість і почуття співпричетності,Донецька,36–59 років,,
2017,Соціальна згуртованість і почуття співпричетності,Донецька,61 рік і старші,,7.0
2018,Соціальна згуртованість і почуття співпричетності,Донецька,61 рік і старші,,
2019,Соціальна згуртованість і почуття співпричетності,Донецька,61 рік і старші,,
2020,Соціальна згуртованість і почуття співпричетності,Донецька,61 рік і старші,,
2021,Соціальна згуртованість і почуття співпричетності,Донецька,60 років і старші,,
2022,Соціальна згуртованість і почуття співпричетності,Донецька,60 років і старші,,
2023,Соціальна згуртованість і почуття співпричетності,Донецька,60 років і старші,,
2017,Соціальна згуртованість і почуття співпричетності,Донецька,,Чоловіча,6.7
2018,Соціальна згуртованість і почуття співпричетності,Донецька,,Чоловіча,
2019,Соціальна згуртованість і почуття співпричетності,Донецька,,Чоловіча,
2020,Соціальна згуртованість і почуття співпричетності,Донецька,,Чоловіча,
2021,Соціальна згуртованість і почуття співпричетності,Донецька,,Чоловіча,
2022,Соціальна згуртованість і почуття співпричетності,Донецька,,Чоловіча,
2023,Соціальна згуртованість і почуття співпричетності,Донецька,,Чоловіча,
2017,Соціальна згуртованість і почуття співпричетності,Донецька,,Жіноча,6.8
2018,Соціальна згуртованість і почуття співпричетності,Донецька,,Жіноча,
2019,Соціальна згуртованість і почуття співпричетності,Донецька,,Жіноча,
2020,Соціальна згуртованість і почуття співпричетності,Донецька,,Жіноча,
2021,Соціальна згуртованість і почуття співпричетності,Донецька,,Жіноча,
2022,Соціальна згуртованість і почуття співпричетності,Донецька,,Жіноча,
2023,Соціальна згуртованість і почуття співпричетності,Донецька,,Жіноча,
2017,Соціальна згуртованість і почуття співпричетності,Луганська,,,
2018,Соціальна згуртованість і почуття співпричетності,Луганська,,,
2019,Соціальна згуртованість і почуття співпричетності,Луганська,,,
2020,Соціальна згуртованість і почуття співпричетності,Луганська,,,
2021,Соціальна згуртованість і почуття співпричетності,Луганська,,,
2022,Соціальна згуртованість і почуття співпричетності,Луганська,,,
2023,Соціальна згуртованість і почуття співпричетності,Луганська,,,
2017,Соціальна згуртованість і почуття співпричетності,Луганська,18 – 35 років,,6.4
2018,Соціальна згуртованість і почуття співпричетності,Луганська,18 – 35 років,,
2019,Соціальна згуртованість і почуття співпричетності,Луганська,18 – 35 років,,
2020,Соціальна згуртованість і почуття співпричетності,Луганська,18 – 35 років,,
2021,Соціальна згуртованість і почуття співпричетності,Луганська,18 – 35 років,,
2022,Соціальна згуртованість і почуття співпричетності,Луганська,18 – 35 років,,
2023,Соціальна згуртованість і почуття співпричетності,Луганська,18 – 35 років,,
2017,Соціальна згуртованість і почуття співпричетності,Луганська,36 – 60 років,,6.7
2018,Соціальна згуртованість і почуття співпричетності,Луганська,36 – 60 років,,
2019,Соціальна згуртованість і почуття співпричетності,Луганська,36 – 60 років,,
2020,Соціальна згуртованість і почуття співпричетності,Луганська,36 – 60 років,,
2021,Соціальна згуртованість і почуття співпричетності,Луганська,36–59 років,,
2022,Соціальна згуртованість і почуття співпричетності,Луганська,36–59 років,,
2023,Соціальна згуртованість і почуття співпричетності,Луганська,36–59 років,,
2017,Соціальна згуртованість і почуття співпричетності,Луганська,61 рік і старші,,6.9
