Year,"Частка населення/представників бізнесу, яке мало власний корупційний досвід за результатами стандартного опитування щодо корупції в Україні, що проводиться за методикою, затвердженою Національним агентством з питань запобігання корупції",Value
2015,частка населення,
2016,частка населення,
2017,частка населення,
2018,частка населення,
2019,частка населення,
2020,частка населення,27.0
2021,частка населення,26.0
2022,частка населення,17.7
2023,частка населення,19.5
2024,частка населення,18.7
2015,частка представників бізнесу,
2016,частка представників бізнесу,
2017,частка представників бізнесу,
2018,частка представників бізнесу,
2019,частка представників бізнесу,
2020,частка представників бізнесу,
2021,частка представників бізнесу,21.6
2022,частка представників бізнесу,15.4
2023,частка представників бізнесу,22.2
2024,частка представників бізнесу,23.2
