Year,Вік,Стать,Місцевість проживання,Value
2023,40 - 64 роки,,,0.5
2024,40 - 64 роки,,,23.0
2023,40 - 64 роки,жінки,,0.5
2024,40 - 64 роки,жінки,,23.6
2023,40 - 64 роки,чоловіки,,0.5
2024,40 - 64 роки,чоловіки,,22.2
2023,40 - 64 роки,,міська,0.5
2024,40 - 64 роки,,міська,24.0
2023,40 - 64 роки,,сільська,0.6
2024,40 - 64 роки,,сільська,18.1
2023,65 років і старші,,,0.2
2024,65 років і старші,,,22.5
2023,65 років і старші,жінки,,0.2
2024,65 років і старші,жінки,,22.7
2023,65 років і старші,чоловіки,,0.2
2024,65 років і старші,чоловіки,,22.2
2023,65 років і старші,,міська,0.2
2024,65 років і старші,,міська,23.9
2023,65 років і старші,,сільська,0.1
2024,65 років і старші,,сільська,14.9
