Year,Стать,Вік,Місцевість проживання,Value
2016,,,,52.0
2017,,,,58.6
2018,,,,64.7
2019,,,,74.7
2020,,,,83.2
2021,,,,84.6
2022,,,,86.8
2023,,,,77.0
2024,,,,75.2
2016,жінки,,,50.5
2017,жінки,,,59.2
2018,жінки,,,66.5
2019,жінки,,,76.4
2020,жінки,,,85.3
2021,жінки,,,87.2
2022,жінки,,,89.5
2023,жінки,,,77.8
2024,жінки,,,76.8
2016,чоловіки,,,50.1
2017,чоловіки,,,58.0
2018,чоловіки,,,63.2
2019,чоловіки,,,73.1
2020,чоловіки,,,81.3
2021,чоловіки,,,82.4
2022,чоловіки,,,84.6
2023,чоловіки,,,76.3
2024,чоловіки,,,73.9
2016,,0–17 років включно,,94.4
2017,,0–17 років включно,,94.5
2018,,0–17 років включно,,96.8
2019,,0–17 років включно,,98.2
2020,,0–17 років включно,,98.5
2021,,0–17 років включно,,97.5
2022,,0–17 років включно,,99.7
2023,,0–17 років включно,,88.5
2024,,0–17 років включно,,85.8
2016,,18 років і старше,,49.1
2017,,18 років і старше,,57.7
2018,,18 років і старше,,64.0
2019,,18 років і старше,,74.1
2020,,18 років і старше,,82.8
2021,,18 років і старше,,84.4
2022,,18 років і старше,,86.6
2023,,18 років і старше,,76.8
2024,,18 років і старше,,75.0
2016,,,міська,
2017,,,міська,
2018,,,міська,
2019,,,міська,
2020,,,міська,
2021,,,міська,
2022,,,міська,
2023,,,міська,
2024,,,міська,
2016,,,сільська,
2017,,,сільська,
2018,,,сільська,
2019,,,сільська,
2020,,,сільська,
2021,,,сільська,
2022,,,сільська,
2023,,,сільська,
2024,,,сільська,
