Year,Освітній рівень,Тип населенного пункту,Стать,Value
2015,"1-й рівень (початковий, 0-3 бали)","селище, село",,56.0
2016,"1-й рівень (початковий, 0-3 бали)","селище, село",,62.0
2017,"1-й рівень (початковий, 0-3 бали)","селище, село",,65.0
2018,"1-й рівень (початковий, 0-3 бали)","селище, село",,62.0
2019,"1-й рівень (початковий, 0-3 бали)","селище, село",,59.0
2020,"1-й рівень (початковий, 0-3 бали)","селище, село",,50.0
2021,"1-й рівень (початковий, 0-3 бали)","селище, село",,43.0
2022,"1-й рівень (початковий, 0-3 бали)","селище, село",,
2023,"1-й рівень (початковий, 0-3 бали)","селище, село",,
2024,"1-й рівень (початковий, 0-3 бали)","селище, село",,
2015,"1-й рівень (початковий, 0-3 бали)",селище міського типу,,11.0
2016,"1-й рівень (початковий, 0-3 бали)",селище міського типу,,11.0
2017,"1-й рівень (початковий, 0-3 бали)",селище міського типу,,10.0
2018,"1-й рівень (початковий, 0-3 бали)",селище міського типу,,11.0
2019,"1-й рівень (початковий, 0-3 бали)",селище міського типу,,11.0
2020,"1-й рівень (початковий, 0-3 бали)",селище міського типу,,12.0
2021,"1-й рівень (початковий, 0-3 бали)",селище міського типу,,13.0
2022,"1-й рівень (початковий, 0-3 бали)",селище міського типу,,
2023,"1-й рівень (початковий, 0-3 бали)",селище міського типу,,
2024,"1-й рівень (початковий, 0-3 бали)",селище міського типу,,
2015,"1-й рівень (початковий, 0-3 бали)",місто,,33.0
2016,"1-й рівень (початковий, 0-3 бали)",місто,,28.0
2017,"1-й рівень (початковий, 0-3 бали)",місто,,25.0
2018,"1-й рівень (початковий, 0-3 бали)",місто,,28.0
2019,"1-й рівень (початковий, 0-3 бали)",місто,,30.0
2020,"1-й рівень (початковий, 0-3 бали)",місто,,37.0
2021,"1-й рівень (початковий, 0-3 бали)",місто,,45.0
2022,"1-й рівень (початковий, 0-3 бали)",місто,,
2023,"1-й рівень (початковий, 0-3 бали)",місто,,
2024,"1-й рівень (початковий, 0-3 бали)",місто,,
2015,"1-й рівень (початковий, 0-3 бали)",,Жіноча,32.0
2016,"1-й рівень (початковий, 0-3 бали)",,Жіноча,30.0
2017,"1-й рівень (початковий, 0-3 бали)",,Жіноча,27.0
2018,"1-й рівень (початковий, 0-3 бали)",,Жіноча,29.0
2019,"1-й рівень (початковий, 0-3 бали)",,Жіноча,29.0
2020,"1-й рівень (початковий, 0-3 бали)",,Жіноча,31.0
2021,"1-й рівень (початковий, 0-3 бали)",,Жіноча,35.0
