Year,Область,Стать,Місцевість проживання,Value
2015,Україна,,,70.6
2016,Україна,,,69.8
2017,Україна,,,69.5
2018,Україна,,,69.1
2019,Україна,,,70.5
2020,Україна,,,74.8
2021,Україна,,,73.4
2022,Україна,,,65.6
2023,Україна,,,
2015,Вінницька,,,81.3
2016,Вінницька,,,81.3
2017,Вінницька,,,81.7
2018,Вінницька,,,81.5
2019,Вінницька,,,80.0
2020,Вінницька,,,78.6
2021,Вінницька,,,81.6
2022,Вінницька,,,80.3
2023,Вінницька,,,
2015,Волинська,,,70.8
2016,Волинська,,,71.3
2017,Волинська,,,70.5
2018,Волинська,,,69.4
2019,Волинська,,,68.1
2020,Волинська,,,69.1
2021,Волинська,,,68.9
2022,Волинська,,,64.3
2023,Волинська,,,
2015,Дніпропетровська,,,75.8
2016,Дніпропетровська,,,73.3
2017,Дніпропетровська,,,73.6
2018,Дніпропетровська,,,72.3
2019,Дніпропетровська,,,73.2
2020,Дніпропетровська,,,75.8
2021,Дніпропетровська,,,75.1
2022,Дніпропетровська,,,70.3
2023,Дніпропетровська,,,
2015,Житомирська,,,84.6
2016,Житомирська,,,84.9
2017,Житомирська,,,83.5
2018,Житомирська,,,85.8
2019,Житомирська,,,80.9
2020,Житомирська,,,86.4
2021,Житомирська,,,88.8
2022,Житомирська,,,77.4
2023,Житомирська,,,
2015,Закарпатська,,,86.6
2016,Закарпатська,,,84.1
2017,Закарпатська,,,83.8
2018,Закарпатська,,,80.5
2019,Закарпатська,,,78.4
2020,Закарпатська,,,73.9
2021,Закарпатська,,,67.6
2022,Закарпатська,,,60.3
2023,Закарпатська,,,
2015,Запорізька,,,75.6
2016,Запорізька,,,74.5
2017,Запорізька,,,76.0
2018,Запорізька,,,76.0
2019,Запорізька,,,72.7
2020,Запорізька,,,77.7
2021,Запорізька,,,75.1
2022,Запорізька,,,58.7
2023,Запорізька,,,
2015,Івано-Франківська,,,55.3
2016,Івано-Франківська,,,55.3
2017,Івано-Франківська,,,56.6
