Year,Місцевість проживання,за типом закладу освіти,Value
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
2021,,,
2022,,,4579.0
2023,,,64322.0
2024,,,77507.0
2015,міська,,
2016,міська,,
2017,міська,,
2018,міська,,
2019,міська,,
2020,міська,,
2021,міська,,
2022,міська,,3390.0
2023,міська,,45631.0
2024,міська,,60023.0
2015,сільська,,
2016,сільська,,
2017,сільська,,
2018,сільська,,
2019,сільська,,
2020,сільська,,
2021,сільська,,
2022,сільська,,1189.0
2023,сільська,,18691.0
2024,сільська,,17484.0
2015,,заклади загальної середньої освіти (ЗЗСО),
2016,,заклади загальної середньої освіти (ЗЗСО),
2017,,заклади загальної середньої освіти (ЗЗСО),
2018,,заклади загальної середньої освіти (ЗЗСО),
2019,,заклади загальної середньої освіти (ЗЗСО),
2020,,заклади загальної середньої освіти (ЗЗСО),
2021,,заклади загальної середньої освіти (ЗЗСО),
2022,,заклади загальної середньої освіти (ЗЗСО),4284.0
2023,,заклади загальної середньої освіти (ЗЗСО),60809.0
2024,,заклади загальної середньої освіти (ЗЗСО),71401.0
2015,,заклади професійної (професійно-технічної) освіти (ЗП(ПТ)О),
2016,,заклади професійної (професійно-технічної) освіти (ЗП(ПТ)О),
2017,,заклади професійної (професійно-технічної) освіти (ЗП(ПТ)О),
2018,,заклади професійної (професійно-технічної) освіти (ЗП(ПТ)О),
2019,,заклади професійної (професійно-технічної) освіти (ЗП(ПТ)О),
2020,,заклади професійної (професійно-технічної) освіти (ЗП(ПТ)О),
2021,,заклади професійної (професійно-технічної) освіти (ЗП(ПТ)О),
2022,,заклади професійної (професійно-технічної) освіти (ЗП(ПТ)О),
2023,,заклади професійної (професійно-технічної) освіти (ЗП(ПТ)О),2950.0
2024,,заклади професійної (професійно-технічної) освіти (ЗП(ПТ)О),4032.0
2015,,заклади фахової передвищої освіти (ЗФПО),
2016,,заклади фахової передвищої освіти (ЗФПО),
2017,,заклади фахової передвищої освіти (ЗФПО),
2018,,заклади фахової передвищої освіти (ЗФПО),
2019,,заклади фахової передвищої освіти (ЗФПО),
2020,,заклади фахової передвищої освіти (ЗФПО),
2021,,заклади фахової передвищої освіти (ЗФПО),
2022,,заклади фахової передвищої освіти (ЗФПО),
2023,,заклади фахової передвищої освіти (ЗФПО),237.0
2024,,заклади фахової передвищої освіти (ЗФПО),1038.0
2015,,інші заклади 2,
2016,,інші заклади 2,
2017,,інші заклади 2,
2018,,інші заклади 2,
2019,,інші заклади 2,
2020,,інші заклади 2,
2021,,інші заклади 2,
2022,,інші заклади 2,295.0
2023,,інші заклади 2,326.0
2024,,інші заклади 2,1036.0
