Year,Вік,Область,Value
2015,15 - 17 років,Україна,11.5
2015,до 15 років,Україна,0.3
2015,до 20 років,Вінницька,29.7
2015,до 20 років,Волинська,27.1
2015,до 20 років,Дніпропетровська,27.3
2015,до 20 років,Житомирська,33.6
2015,до 20 років,Закарпатська,52.8
2015,до 20 років,Запорізька,26.4
2015,до 20 років,Івано-Франківська,30.1
2015,до 20 років,Київська,28.5
2015,до 20 років,Кіровоградська,41.5
2015,до 20 років,Львівська,18.7
2015,до 20 років,Миколаївська,35.8
2015,до 20 років,Одеська,30.0
2015,до 20 років,Полтавська,26.0
2015,до 20 років,Рівненська,26.2
2015,до 20 років,Сумська,25.0
2015,до 20 років,Тернопільська,25.1
2015,до 20 років,Харківська,20.8
2015,до 20 років,Херсонська,34.4
2015,до 20 років,Хмельницька,34.1
2015,до 20 років,Черкаська,29.9
2015,до 20 років,Чернівецька,27.3
2015,до 20 років,Чернігівська,25.6
2015,до 20 років,місто Київ,8.2
2015,до 20 років,Україна,27.3
2016,15 - 17 років,Україна,10.6
2016,до 15 років,Україна,0.4
2016,до 20 років,Вінницька,27.0
2016,до 20 років,Волинська,25.1
2016,до 20 років,Дніпропетровська,24.6
2016,до 20 років,Житомирська,31.1
2016,до 20 років,Закарпатська,49.4
2016,до 20 років,Запорізька,23.9
2016,до 20 років,Івано-Франківська,26.8
2016,до 20 років,Київська,27.7
2016,до 20 років,Кіровоградська,34.1
2016,до 20 років,Львівська,17.5
2016,до 20 років,Миколаївська,32.8
2016,до 20 років,Одеська,30.2
2016,до 20 років,Полтавська,26.5
2016,до 20 років,Рівненська,25.9
2016,до 20 років,Сумська,22.0
2016,до 20 років,Тернопільська,23.7
2016,до 20 років,Харківська,19.6
2016,до 20 років,Херсонська,32.0
2016,до 20 років,Хмельницька,28.9
2016,до 20 років,Черкаська,27.9
2016,до 20 років,Чернівецька,23.8
2016,до 20 років,Чернігівська,22.5
2016,до 20 років,місто Київ,7.6
2016,до 20 років,Україна,25.3
2017,15 - 17 років,Україна,8.9
2017,до 15 років,Україна,0.3
2017,до 20 років,Вінницька,23.8
2017,до 20 років,Волинська,21.0
2017,до 20 років,Дніпропетровська,21.4
2017,до 20 років,Житомирська,27.7
2017,до 20 років,Закарпатська,46.0
