Year,Стать,Вік,Value
2015,жінок,,
2015,чоловіків,,
2015,жінок,менше 35 років,
2015,чоловіків,менше 35 років,
2015,жінок,36–60 років,
2015,чоловіків,36–60 років,
2015,жінок,61–64 роки,
2015,чоловіків,61–64 роки,
2015,жінок,65–70 років,
2015,чоловіків,65–70 років,
2016,жінок,,
2016,чоловіків,,
2016,жінок,менше 35 років,
2016,чоловіків,менше 35 років,
2016,жінок,36–60 років,
2016,чоловіків,36–60 років,
2016,жінок,61–64 роки,
2016,чоловіків,61–64 роки,
2016,жінок,65–70 років,
2016,чоловіків,65–70 років,
2017,жінок,,
2017,чоловіків,,
2017,жінок,менше 35 років,
2017,чоловіків,менше 35 років,
2017,жінок,36–60 років,
2017,чоловіків,36–60 років,
2017,жінок,61–64 роки,
2017,чоловіків,61–64 роки,
2017,жінок,65–70 років,
2017,чоловіків,65–70 років,
2018,жінок,,
2018,чоловіків,,
2018,жінок,менше 35 років,
2018,чоловіків,менше 35 років,
2018,жінок,36–60 років,
2018,чоловіків,36–60 років,
2018,жінок,61–64 роки,
2018,чоловіків,61–64 роки,
2018,жінок,65–70 років,
2018,чоловіків,65–70 років,
2019,жінок,,
2019,чоловіків,,
2019,жінок,менше 35 років,
2019,чоловіків,менше 35 років,
2019,жінок,36–60 років,
2019,чоловіків,36–60 років,
2019,жінок,61–64 роки,
2019,чоловіків,61–64 роки,
2019,жінок,65–70 років,
2019,чоловіків,65–70 років,
2020,жінок,,33.0
2020,чоловіків,,67.0
2020,жінок,менше 35 років,25.0
2020,чоловіків,менше 35 років,75.0
2020,жінок,36–60 років,36.0
2020,чоловіків,36–60 років,64.0
2020,жінок,61–64 роки,
2020,чоловіків,61–64 роки,100.0
2020,жінок,65–70 років,
2020,чоловіків,65–70 років,100.0
2021,жінок,,28.0
2021,чоловіків,,72.0
2021,жінок,менше 35 років,32.0
2021,чоловіків,менше 35 років,68.0
2021,жінок,36–60 років,28.0
2021,чоловіків,36–60 років,72.0
2021,жінок,61–64 роки,25.0
2021,чоловіків,61–64 роки,75.0
2021,жінок,65–70 років,
2021,чоловіків,65–70 років,100.0
2022,жінок,,31.0
2022,чоловіків,,69.0
2022,жінок,менше 35 років,
2022,чоловіків,менше 35 років,
2022,жінок,36–60 років,
2022,чоловіків,36–60 років,
2022,жінок,61–64 роки,
2022,чоловіків,61–64 роки,
2022,жінок,65–70 років,
2022,чоловіків,65–70 років,
2023,жінок,,31.0
2023,чоловіків,,69.0
2023,жінок,менше 35 років,36.0
2023,чоловіків,менше 35 років,64.0
2023,жінок,36–60 років,32.0
2023,чоловіків,36–60 років,68.0
2023,жінок,61–64 роки,29.0
2023,чоловіків,61–64 роки,71.0
2023,жінок,65–70 років,
2023,чоловіків,65–70 років,100.0
2024,жінок,,27.0
2024,чоловіків,,73.0
2024,жінок,менше 35 років,24.0
2024,чоловіків,менше 35 років,76.0
2024,жінок,36–60 років,29.0
2024,чоловіків,36–60 років,71.0
2024,жінок,61–64 роки,25.0
2024,чоловіків,61–64 роки,75.0
2024,жінок,65–70 років,
2024,чоловіків,65–70 років,100.0
