Year,Види економічної діяльності,Організаційно-правові форми господарювання,Область,Кількість найманих працівників,Value
2015,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",,,,
2016,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",,,,
2017,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",,,,
2018,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",,,,
2019,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",,,,
2020,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",,,,
2021,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",,,,19.4
2022,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",,,,19.2
2023,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",,,,18.9
2024,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",,,,19.3
2015,Вирощування рису,,,,
2016,Вирощування рису,,,,
2017,Вирощування рису,,,,
2018,Вирощування рису,,,,
2019,Вирощування рису,,,,
2020,Вирощування рису,,,,
2021,Вирощування рису,,,,18.2
2022,Вирощування рису,,,,21.7
2023,Вирощування рису,,,,12.5
2024,Вирощування рису,,,,10.0
2015,"Вирощування овочів і баштанних культур, коренеплодів і бульбоплодів",,,,
2016,"Вирощування овочів і баштанних культур, коренеплодів і бульбоплодів",,,,
2017,"Вирощування овочів і баштанних культур, коренеплодів і бульбоплодів",,,,
2018,"Вирощування овочів і баштанних культур, коренеплодів і бульбоплодів",,,,
2019,"Вирощування овочів і баштанних культур, коренеплодів і бульбоплодів",,,,
2020,"Вирощування овочів і баштанних культур, коренеплодів і бульбоплодів",,,,
2021,"Вирощування овочів і баштанних культур, коренеплодів і бульбоплодів",,,,20.3
2022,"Вирощування овочів і баштанних культур, коренеплодів і бульбоплодів",,,,19.2
2023,"Вирощування овочів і баштанних культур, коренеплодів і бульбоплодів",,,,20.8
2024,"Вирощування овочів і баштанних культур, коренеплодів і бульбоплодів",,,,20.6
2015,Вирощування цукрової тростини,,,,
