Year,Способи постачання питної води,Місцевість проживання,Value
2015,,,100.0
2016,,,100.0
2017,,,100.0
2018,,,100.0
2019,,,100.0
2020,,,100.0
2021,,,100.0
2022,,,100.0
2023,,,100.0
2015,централізоване водопостачання,міська,99.0
2016,централізоване водопостачання,міська,87.3
2017,централізоване водопостачання,міська,87.7
2018,централізоване водопостачання,міська,86.6
2019,централізоване водопостачання,міська,81.1
2020,централізоване водопостачання,міська,87.3
2021,централізоване водопостачання,міська,88.9
2022,централізоване водопостачання,міська,88.1
2023,централізоване водопостачання,міська,88.8
2015,централізоване водопостачання,сільська,25.0
2016,централізоване водопостачання,сільська,21.2
2017,централізоване водопостачання,сільська,22.1
2018,централізоване водопостачання,сільська,21.1
2019,централізоване водопостачання,сільська,25.8
2020,централізоване водопостачання,сільська,26.5
2021,централізоване водопостачання,сільська,22.7
2022,централізоване водопостачання,сільська,25.1
2023,централізоване водопостачання,сільська,25.7
2015,нецентралізоване водопостачання,міська,1.0
2016,нецентралізоване водопостачання,міська,12.7
2017,нецентралізоване водопостачання,міська,12.3
2018,нецентралізоване водопостачання,міська,13.4
2019,нецентралізоване водопостачання,міська,18.9
2020,нецентралізоване водопостачання,міська,12.7
2021,нецентралізоване водопостачання,міська,11.1
2022,нецентралізоване водопостачання,міська,11.9
2023,нецентралізоване водопостачання,міська,11.2
2015,нецентралізоване водопостачання,сільська,75.0
2016,нецентралізоване водопостачання,сільська,78.8
2017,нецентралізоване водопостачання,сільська,77.9
2018,нецентралізоване водопостачання,сільська,78.9
2019,нецентралізоване водопостачання,сільська,74.2
2020,нецентралізоване водопостачання,сільська,73.5
2021,нецентралізоване водопостачання,сільська,77.3
2022,нецентралізоване водопостачання,сільська,74.9
2023,нецентралізоване водопостачання,сільська,74.3
2015,,міська,69.1
2016,,міська,69.2
2017,,міська,69.2
2018,,міська,69.3
2019,,міська,69.4
2020,,міська,69.5
2021,,міська,69.6
2022,,міська,69.7
2023,,міська,
2015,,сільська,30.9
2016,,сільська,30.8
2017,,сільська,30.8
2018,,сільська,30.7
2019,,сільська,30.6
2020,,сільська,30.5
2021,,сільська,30.4
2022,,сільська,30.3
2023,,сільська,
