Year,Типи виробників,Типи генерації відновлювальних джерел енергії (ВДЕ),Value
2019,виробники електричної енергії,,9.11
2020,виробники електричної енергії,,13.32
2021,виробники електричної енергії,,14.12
2022,виробники електричної енергії,,14.7
2023,виробники електричної енергії,,14.61
2024,виробники електричної енергії,,14.09
2021,"споживачі/користувачі з власними електроустановками для виробництва електричної енергії, що приєднані до мереж оператора системи розподілу",,3.02
2022,"споживачі/користувачі з власними електроустановками для виробництва електричної енергії, що приєднані до мереж оператора системи розподілу",,3.03
2023,"споживачі/користувачі з власними електроустановками для виробництва електричної енергії, що приєднані до мереж оператора системи розподілу",,3.18
2024,"споживачі/користувачі з власними електроустановками для виробництва електричної енергії, що приєднані до мереж оператора системи розподілу",,3.66
2019,,сонячні електростанції (СЕС),6.5
2020,,сонячні електростанції (СЕС),10.67
2021,,сонячні електростанції (СЕС),13.64
2022,,сонячні електростанції (СЕС),14.26
2023,,сонячні електростанції (СЕС),13.77
2024,,сонячні електростанції (СЕС),13.96
2019,,вітрові електростанції (ВЕС),2.26
2020,,вітрові електростанції (ВЕС),2.21
2021,,вітрові електростанції (ВЕС),2.97
2022,,вітрові електростанції (ВЕС),2.9
2023,,вітрові електростанції (ВЕС),3.42
2024,,вітрові електростанції (ВЕС),2.87
2019,,"мікро–, міні– та малі гідроелектростанції (мГЕС)",0.11
2020,,"мікро–, міні– та малі гідроелектростанції (мГЕС)",0.13
2021,,"мікро–, міні– та малі гідроелектростанції (мГЕС)",0.13
2022,,"мікро–, міні– та малі гідроелектростанції (мГЕС)",0.14
2023,,"мікро–, міні– та малі гідроелектростанції (мГЕС)",0.13
2024,,"мікро–, міні– та малі гідроелектростанції (мГЕС)",0.12
2019,,біомаса,0.13
2020,,біомаса,0.14
2021,,біомаса,0.21
2022,,біомаса,0.22
2023,,біомаса,0.27
2024,,біомаса,0.32
2019,,біогаз,0.11
2020,,біогаз,0.17
2021,,біогаз,0.19
2022,,біогаз,0.21
2023,,біогаз,0.2
2024,,біогаз,0.22
2019,,геотермальні електростанції (геоЕС),0.0
2020,,геотермальні електростанції (геоЕС),0.0
2021,,геотермальні електростанції (геоЕС),0.0
2022,,геотермальні електростанції (геоЕС),0.0
2023,,геотермальні електростанції (геоЕС),0.0
2024,,геотермальні електростанції (геоЕС),0.0
2023,,інші,0.0
2024,,інші,0.26
