Year,Місцевість проживання,Вік,Стать,Область,Value
2015,,,,,24.2
2015,,,,,24.2
2015,,,Жіноча,,25.6
2015,,,Чоловіча,,23.0
2015,,до 18 років,,,23.3
2015,,18 - 29 років,,,21.5
2015,,30 - 59 років,,,23.8
2015,,60 років і старші,,,27.6
2015,сільська,,,,32.3
2015,міська,,,,20.1
2015,,,,Автономна Республіка Крим,
2015,,,,Вінницька,18.9
2015,,,,Волинська,19.9
2015,,,,Дніпропетровська,30.1
2015,,,,Донецька,33.4
2015,,,,Житомирська,6.3
2015,,,,Закарпатська,88.2
2015,,,,Запорізька,13.4
2015,,,,Івано-Франківська,
2015,,,,Київська,8.9
2015,,,,Кіровоградська,29.0
2015,,,,Луганська,44.2
2015,,,,Львівська,11.6
2015,,,,Миколаївська,
2015,,,,Одеська,17.7
2015,,,,Полтавська,14.2
2015,,,,Рівненська,10.8
2015,,,,Сумська,13.5
2015,,,,Тернопільська,30.4
2015,,,,Харківська,22.1
2015,,,,Херсонська,66.5
2015,,,,Хмельницька,
2015,,,,Черкаська,34.2
2015,,,,Чернівецька,7.3
2015,,,,Чернігівська,21.8
2015,,,,м. Київ,5.9
2015,,,,м. Севастополь,
2015,,,,Івано-Франківська,49.1
2015,,,,Миколаївська,28.9
2015,,,,Хмельницька,25.8
2017,,,,,25.6
2017,,,,,25.6
2017,,,Жіноча,,26.3
2017,,,Чоловіча,,24.8
2017,,до 18 років,,,23.9
2017,,18 - 29 років,,,24.6
2017,,30 - 59 років,,,23.9
2017,,60 років і старші,,,30.9
2017,сільська,,,,33.3
2017,міська,,,,21.7
2017,,,,Автономна Республіка Крим,
2017,,,,Вінницька,32.0
2017,,,,Волинська,8.5
2017,,,,Дніпропетровська,26.6
2017,,,,Донецька,19.0
2017,,,,Житомирська,9.7
2017,,,,Закарпатська,93.0
2017,,,,Запорізька,15.3
2017,,,,Івано-Франківська,
2017,,,,Київська,7.9
2017,,,,Кіровоградська,9.6
2017,,,,Луганська,32.5
2017,,,,Львівська,14.3
2017,,,,Миколаївська,
2017,,,,Одеська,14.5
2017,,,,Полтавська,12.8
2017,,,,Рівненська,13.1
2017,,,,Сумська,64.7
2017,,,,Тернопільська,27.6
2017,,,,Харківська,32.5
2017,,,,Херсонська,70.6
2017,,,,Хмельницька,
2017,,,,Черкаська,31.5
2017,,,,Чернівецька,10.2
2017,,,,Чернігівська,34.0
2017,,,,м. Київ,4.8
2017,,,,м. Севастополь,
2017,,,,Івано-Франківська,68.3
2017,,,,Миколаївська,37.7
2017,,,,Хмельницька,7.0
2019,,,,,21.8
2019,,,,,21.8
2019,,,Жіноча,,22.1
2019,,,Чоловіча,,21.3
2019,,до 18 років,,,20.3
2019,,18 - 29 років,,,17.8
2019,,30 - 59 років,,,20.5
2019,,60 років і старші,,,27.3
2019,сільська,,,,30.5
2019,міська,,,,17.3
2019,,,,Автономна Республіка Крим,
2019,,,,Вінницька,29.3
2019,,,,Волинська,4.0
2019,,,,Дніпропетровська,29.1
2019,,,,Донецька,21.1
2019,,,,Житомирська,13.4
2019,,,,Закарпатська,69.4
2019,,,,Запорізька,20.9
2019,,,,Івано-Франківська,
2019,,,,Київська,14.4
2019,,,,Кіровоградська,15.2
2019,,,,Луганська,21.8
2019,,,,Львівська,13.6
2019,,,,Миколаївська,
2019,,,,Одеська,14.2
2019,,,,Полтавська,12.0
2019,,,,Рівненська,16.3
2019,,,,Сумська,14.4
2019,,,,Тернопільська,15.1
2019,,,,Харківська,26.7
2019,,,,Херсонська,70.6
2019,,,,Хмельницька,
2019,,,,Черкаська,20.5
2019,,,,Чернівецька,4.4
2019,,,,Чернігівська,16.0
2019,,,,м. Київ,5.0
2019,,,,м. Севастополь,
2019,,,,Івано-Франківська,59.6
2019,,,,Миколаївська,19.2
2019,,,,Хмельницька,12.2
2021,,,,,17.2
2021,,,,,17.2
2021,,,Жіноча,,17.9
2021,,,Чоловіча,,16.3
2021,,до 18 років,,,14.0
2021,,18 - 29 років,,,16.5
2021,,30 - 59 років,,,15.8
2021,,60 років і старші,,,22.5
2021,сільська,,,,26.4
2021,міська,,,,12.6
2021,,,,Автономна Республіка Крим,
2021,,,,Вінницька,27.5
2021,,,,Волинська,1.9
2021,,,,Дніпропетровська,17.0
2021,,,,Донецька,8.9
2021,,,,Житомирська,3.2
2021,,,,Закарпатська,89.0
2021,,,,Запорізька,24.0
2021,,,,Івано-Франківська,
2021,,,,Київська,6.7
2021,,,,Кіровоградська,8.5
2021,,,,Луганська,21.4
2021,,,,Львівська,6.9
2021,,,,Миколаївська,
2021,,,,Одеська,11.0
2021,,,,Полтавська,8.2
2021,,,,Рівненська,7.5
2021,,,,Сумська,8.2
2021,,,,Тернопільська,12.5
2021,,,,Харківська,16.6
2021,,,,Херсонська,41.7
2021,,,,Хмельницька,
2021,,,,Черкаська,20.9
2021,,,,Чернівецька,5.3
2021,,,,Чернігівська,10.9
2021,,,,м. Київ,3.1
2021,,,,м. Севастополь,
2021,,,,Івано-Франківська,66.1
2021,,,,Миколаївська,21.5
2021,,,,Хмельницька,11.9
