Year,Місцевість проживання,Тип домогосподарства,Value
2015,,,1.4
2016,,,5.1
2017,,,5.3
2018,,,3.3
2019,,,0.9
2020,,,0.1
2021,,,0.1
2022,,,
2023,,,
2024,,,
2015,міська,,1.3
2016,міська,,4.3
2017,міська,,4.9
2018,міська,,3.0
2019,міська,,0.9
2020,міська,,0.2
2021,міська,,0.1
2022,міська,,
2023,міська,,
2024,міська,,
2015,сільська,,1.6
2016,сільська,,6.9
2017,сільська,,6.3
2018,сільська,,4.0
2019,сільська,,1.0
2020,сільська,,0.1
2021,сільська,,0.1
2022,сільська,,
2023,сільська,,
2024,сільська,,
2015,,домогосподарства/сім’ї з дітьми,0.9
2016,,домогосподарства/сім’ї з дітьми,4.4
2017,,домогосподарства/сім’ї з дітьми,4.5
2018,,домогосподарства/сім’ї з дітьми,2.5
2019,,домогосподарства/сім’ї з дітьми,0.7
2020,,домогосподарства/сім’ї з дітьми,0.1
2021,,домогосподарства/сім’ї з дітьми,0.1
2022,,домогосподарства/сім’ї з дітьми,
2023,,домогосподарства/сім’ї з дітьми,
2024,,домогосподарства/сім’ї з дітьми,
2015,,домогосподарства/сім’ї без дітей,1.8
2016,,домогосподарства/сім’ї без дітей,5.7
2017,,домогосподарства/сім’ї без дітей,6.1
2018,,домогосподарства/сім’ї без дітей,4.0
2019,,домогосподарства/сім’ї без дітей,1.1
2020,,домогосподарства/сім’ї без дітей,0.2
2021,,домогосподарства/сім’ї без дітей,0.2
2022,,домогосподарства/сім’ї без дітей,
2023,,домогосподарства/сім’ї без дітей,
2024,,домогосподарства/сім’ї без дітей,
