Year,"Частка молоді, яка не працює, не навчається і не набуває професійних навичок, у загальній кількості населення відповідного віку, відсотків",Стать (вік 15-24 роки),Тип місцевості проживання (вік 15-24 роки),Стать (вік 15-34 роки),Тип місцевості проживання (вік 15-34 роки),Value
2015,у віці 15–24 роки,,,,,17.2
2016,у віці 15–24 роки,,,,,17.8
2017,у віці 15–24 роки,,,,,15.9
2018,у віці 15–24 роки,,,,,14.5
2019,у віці 15–24 роки,,,,,15.6
2020,у віці 15–24 роки,,,,,15.5
2021,у віці 15–24 роки,,,,,14.3
2022,у віці 15–24 роки,,,,,
2023,у віці 15–24 роки,,,,,
2024,у віці 15–24 роки,,,,,
2015,у віці 15–34 роки,,,,,22.4
2016,у віці 15–34 роки,,,,,23.2
2017,у віці 15–34 роки,,,,,22.5
2018,у віці 15–34 роки,,,,,20.9
2019,у віці 15–34 роки,,,,,21.0
2020,у віці 15–34 роки,,,,,21.8
2021,у віці 15–34 роки,,,,,21.8
2022,у віці 15–34 роки,,,,,
2023,у віці 15–34 роки,,,,,
2024,у віці 15–34 роки,,,,,
2015,,Жіноча,,,,19.8
2016,,Жіноча,,,,20.8
2017,,Жіноча,,,,19.0
2018,,Жіноча,,,,17.8
2019,,Жіноча,,,,19.9
2020,,Жіноча,,,,18.4
2021,,Жіноча,,,,18.0
2022,,Жіноча,,,,
2023,,Жіноча,,,,
2024,,Жіноча,,,,
2015,,Чоловіча,,,,14.6
2016,,Чоловіча,,,,14.9
2017,,Чоловіча,,,,12.9
2018,,Чоловіча,,,,11.3
2019,,Чоловіча,,,,11.5
2020,,Чоловіча,,,,12.7
2021,,Чоловіча,,,,10.8
2022,,Чоловіча,,,,
2023,,Чоловіча,,,,
2024,,Чоловіча,,,,
2015,,,міська,,,14.6
2016,,,міська,,,14.9
2017,,,міська,,,12.4
2018,,,міська,,,11.6
2019,,,міська,,,12.5
2020,,,міська,,,12.0
2021,,,міська,,,11.6
2022,,,міська,,,
2023,,,міська,,,
2024,,,міська,,,
2015,,,сільська,,,21.6
2016,,,сільська,,,22.8
2017,,,сільська,,,22.0
2018,,,сільська,,,19.4
2019,,,сільська,,,21.0
2020,,,сільська,,,21.7
2021,,,сільська,,,19.2
2022,,,сільська,,,
2023,,,сільська,,,
2024,,,сільська,,,
2015,,,,Жіноча,,28.1
2016,,,,Жіноча,,29.3
2017,,,,Жіноча,,29.0
2018,,,,Жіноча,,26.8
2019,,,,Жіноча,,28.8
2020,,,,Жіноча,,29.1
2021,,,,Жіноча,,29.6
2022,,,,Жіноча,,
2023,,,,Жіноча,,
2024,,,,Жіноча,,
2015,,,,Чоловіча,,16.9
2016,,,,Чоловіча,,17.4
2017,,,,Чоловіча,,16.3
2018,,,,Чоловіча,,15.2
2019,,,,Чоловіча,,13.7
2020,,,,Чоловіча,,14.8
2021,,,,Чоловіча,,14.4
2022,,,,Чоловіча,,
2023,,,,Чоловіча,,
2024,,,,Чоловіча,,
2015,,,,,міська,20.1
2016,,,,,міська,20.9
2017,,,,,міська,20.0
2018,,,,,міська,18.7
2019,,,,,міська,18.7
2020,,,,,міська,18.9
2021,,,,,міська,19.3
2022,,,,,міська,
2023,,,,,міська,
2024,,,,,міська,
2015,,,,,сільська,27.3
2016,,,,,сільська,28.0
2017,,,,,сільська,27.5
2018,,,,,сільська,25.2
2019,,,,,сільська,25.6
2020,,,,,сільська,27.2
2021,,,,,сільська,26.6
2022,,,,,сільська,
2023,,,,,сільська,
2024,,,,,сільська,
