Year,Спеціальні агрегації (виробництво з використанням технологій),Value
2015,,65.1
2016,,62.0
2017,,63.2
2018,,63.5
2019,,62.7
2020,,60.2
2021,,57.5
2022,,49.2
2023,,53.5
2024,,55.5
2015,високого рівня,2.7
2016,високого рівня,2.5
2017,високого рівня,2.4
2018,високого рівня,2.3
2019,високого рівня,2.3
2020,високого рівня,2.3
2021,високого рівня,1.9
2022,високого рівня,2.1
2023,високого рівня,2.9
2024,високого рівня,4.3
2015,середньовисокого рівня,9.1
2016,середньовисокого рівня,8.0
2017,середньовисокого рівня,7.6
2018,середньовисокого рівня,8.2
2019,середньовисокого рівня,8.8
2020,середньовисокого рівня,7.9
2021,середньовисокого рівня,7.0
2022,середньовисокого рівня,6.6
2023,середньовисокого рівня,8.4
2024,середньовисокого рівня,10.4
2015,середньонизького рівня,25.7
2016,середньонизького рівня,23.8
2017,середньонизького рівня,25.8
2018,середньонизького рівня,27.1
2019,середньонизького рівня,24.9
2020,середньонизького рівня,22.7
2021,середньонизького рівня,24.7
2022,середньонизького рівня,15.4
2023,середньонизького рівня,15.3
2024,середньонизького рівня,14.7
2015,низького рівня,27.6
2016,низького рівня,27.7
2017,низького рівня,27.4
2018,низького рівня,25.9
2019,низького рівня,26.7
2020,низького рівня,27.3
2021,низького рівня,23.9
2022,низького рівня,25.1
2023,низького рівня,26.9
2024,низького рівня,26.1
