Year,Вік,Стать,Місцевість проживання,by frequency of use,за метою користування,Область,Value
2015,,,,,,,
2016,,,,,,,
2017,,,,,,,
2018,,,,,,,
2019,,,,,,,
2020,,,,,,,81.0
2021,,,,,,,85.1
2022,,,,,,,
2023,,,,,,,
2024,,,,,,,
2015,16 – 17 років,,,,,,
2016,16 – 17 років,,,,,,
2017,16 – 17 років,,,,,,
2018,16 – 17 років,,,,,,
2019,16 – 17 років,,,,,,
2020,16 – 17 років,,,,,,99.2
2021,16 – 17 років,,,,,,100.0
2022,16 – 17 років,,,,,,
2023,16 – 17 років,,,,,,
2024,16 – 17 років,,,,,,
2015,18 - 24 роки,,,,,,
2016,18 - 24 роки,,,,,,
2017,18 - 24 роки,,,,,,
2018,18 - 24 роки,,,,,,
2019,18 - 24 роки,,,,,,
2020,18 - 24 роки,,,,,,99.1
2021,18 - 24 роки,,,,,,99.2
2022,18 - 24 роки,,,,,,
2023,18 - 24 роки,,,,,,
2024,18 - 24 роки,,,,,,
2015,25 - 35 років,,,,,,
2016,25 - 35 років,,,,,,
2017,25 - 35 років,,,,,,
2018,25 - 35 років,,,,,,
2019,25 - 35 років,,,,,,
2020,25 - 35 років,,,,,,97.7
2021,25 - 35 років,,,,,,98.8
2022,25 - 35 років,,,,,,
2023,25 - 35 років,,,,,,
2024,25 - 35 років,,,,,,
2015,36 - 59 років,,,,,,
2016,36 - 59 років,,,,,,
2017,36 - 59 років,,,,,,
2018,36 - 59 років,,,,,,
2019,36 - 59 років,,,,,,
2020,36 - 59 років,,,,,,86.7
2021,36 - 59 років,,,,,,90.9
2022,36 - 59 років,,,,,,
2023,36 - 59 років,,,,,,
2024,36 - 59 років,,,,,,
2015,60 - 74 роки,,,,,,
2016,60 - 74 роки,,,,,,
2017,60 - 74 роки,,,,,,
2018,60 - 74 роки,,,,,,
2019,60 - 74 роки,,,,,,
2020,60 - 74 роки,,,,,,47.0
2021,60 - 74 роки,,,,,,55.8
2022,60 - 74 роки,,,,,,
2023,60 - 74 роки,,,,,,
2024,60 - 74 роки,,,,,,
2015,,Чоловіча,,,,,
2016,,Чоловіча,,,,,
2017,,Чоловіча,,,,,
2018,,Чоловіча,,,,,
2019,,Чоловіча,,,,,
2020,,Чоловіча,,,,,82.6
2021,,Чоловіча,,,,,86.5
