Year,Region,group_18,Value
2015,,,4779.0
2016,,,4183.0
2017,,,3203.0
2018,,,3227.0
2019,,,3279.0
2020,,,3107.0
2021,,,2779.0
2022,,,1463.0
2023,,,2792.0
2024,,,3013.0
2015,Ukraine,,
2016,Ukraine,,
2017,Ukraine,,
2018,Ukraine,,
2019,Ukraine,,
2020,Ukraine,,
2021,Ukraine,,
2022,Ukraine,,
2023,Ukraine,,
2024,Ukraine,,1000.0
2015,autonomous_Republic_of_Crimea,,
2016,autonomous_Republic_of_Crimea,,
2017,autonomous_Republic_of_Crimea,,
2018,autonomous_Republic_of_Crimea,,
2019,autonomous_Republic_of_Crimea,,
2020,autonomous_Republic_of_Crimea,,
2021,autonomous_Republic_of_Crimea,,
2022,autonomous_Republic_of_Crimea,,
2023,autonomous_Republic_of_Crimea,,
2024,autonomous_Republic_of_Crimea,,
2015,11_reg_Vinnytsya,,
2016,11_reg_Vinnytsya,,
2017,11_reg_Vinnytsya,,
2018,11_reg_Vinnytsya,,
2019,11_reg_Vinnytsya,,
2020,11_reg_Vinnytsya,,
2021,11_reg_Vinnytsya,,
2022,11_reg_Vinnytsya,,
2023,11_reg_Vinnytsya,,
2024,11_reg_Vinnytsya,,27.0
2015,12_reg_Volyn,,
2016,12_reg_Volyn,,
2017,12_reg_Volyn,,
2018,12_reg_Volyn,,
2019,12_reg_Volyn,,
2020,12_reg_Volyn,,
2021,12_reg_Volyn,,
2022,12_reg_Volyn,,
2023,12_reg_Volyn,,
2024,12_reg_Volyn,,78.0
2015,13_reg_Dnipropetrovsk,,
2016,13_reg_Dnipropetrovsk,,
2017,13_reg_Dnipropetrovsk,,
2018,13_reg_Dnipropetrovsk,,
2019,13_reg_Dnipropetrovsk,,
2020,13_reg_Dnipropetrovsk,,
2021,13_reg_Dnipropetrovsk,,
2022,13_reg_Dnipropetrovsk,,
2023,13_reg_Dnipropetrovsk,,
2024,13_reg_Dnipropetrovsk,,4.0
2015,14_reg_Donetsk,,
2016,14_reg_Donetsk,,
2017,14_reg_Donetsk,,
2018,14_reg_Donetsk,,
2019,14_reg_Donetsk,,
2020,14_reg_Donetsk,,
2021,14_reg_Donetsk,,
2022,14_reg_Donetsk,,
2023,14_reg_Donetsk,,
2024,14_reg_Donetsk,,
2015,15_reg_Zhytomyr,,
2016,15_reg_Zhytomyr,,
2017,15_reg_Zhytomyr,,
2018,15_reg_Zhytomyr,,
2019,15_reg_Zhytomyr,,
2020,15_reg_Zhytomyr,,
2021,15_reg_Zhytomyr,,
2022,15_reg_Zhytomyr,,
2023,15_reg_Zhytomyr,,
2024,15_reg_Zhytomyr,,26.0
2015,16_reg_Zakarpattya,,
2016,16_reg_Zakarpattya,,
2017,16_reg_Zakarpattya,,
2018,16_reg_Zakarpattya,,
2019,16_reg_Zakarpattya,,
2020,16_reg_Zakarpattya,,
2021,16_reg_Zakarpattya,,
2022,16_reg_Zakarpattya,,
2023,16_reg_Zakarpattya,,
2024,16_reg_Zakarpattya,,41.0
2015,17_reg_Zaporizhzhya,,
2016,17_reg_Zaporizhzhya,,
2017,17_reg_Zaporizhzhya,,
2018,17_reg_Zaporizhzhya,,
2019,17_reg_Zaporizhzhya,,
2020,17_reg_Zaporizhzhya,,
2021,17_reg_Zaporizhzhya,,
2022,17_reg_Zaporizhzhya,,
2023,17_reg_Zaporizhzhya,,
2024,17_reg_Zaporizhzhya,,
2015,18_reg_Ivano-Frankivsk,,
2016,18_reg_Ivano-Frankivsk,,
2017,18_reg_Ivano-Frankivsk,,
2018,18_reg_Ivano-Frankivsk,,
2019,18_reg_Ivano-Frankivsk,,
2020,18_reg_Ivano-Frankivsk,,
2021,18_reg_Ivano-Frankivsk,,
2022,18_reg_Ivano-Frankivsk,,
