Year,Region,group_label_230,Age,Gender,group_16,group_24,group_25,Value
2015,,,,,,,,38303.0
2016,,,,,,,,219981.0
2017,,,,,,,,393228.0
2018,,,,,,,,400478.0
2019,,,,,,,,404030.0
2020,,,,,,,,354018.0
2021,,,,,,,,433810.0
2022,,,,,,,,501004.0
2023,,,,,,,,490220.0
2024,,,,,,,,456868.0
2015,autonomous_Republic_of_Crimea,,,,,,,
2016,autonomous_Republic_of_Crimea,,,,,,,
2017,autonomous_Republic_of_Crimea,,,,,,,
2018,autonomous_Republic_of_Crimea,,,,,,,
2019,autonomous_Republic_of_Crimea,,,,,,,
2020,autonomous_Republic_of_Crimea,,,,,,,
2021,autonomous_Republic_of_Crimea,,,,,,,
2022,autonomous_Republic_of_Crimea,,,,,,,
2023,autonomous_Republic_of_Crimea,,,,,,,
2024,autonomous_Republic_of_Crimea,,,,,,,
2015,11_reg_Vinnytsya,,,,,,,1866.0
2016,11_reg_Vinnytsya,,,,,,,20836.0
2017,11_reg_Vinnytsya,,,,,,,46086.0
2018,11_reg_Vinnytsya,,,,,,,42832.0
2019,11_reg_Vinnytsya,,,,,,,36888.0
2020,11_reg_Vinnytsya,,,,,,,21950.0
2021,11_reg_Vinnytsya,,,,,,,35167.0
2022,11_reg_Vinnytsya,,,,,,,38250.0
2023,11_reg_Vinnytsya,,,,,,,35088.0
2024,11_reg_Vinnytsya,,,,,,,32605.0
2015,12_reg_Volyn,,,,,,,1232.0
2016,12_reg_Volyn,,,,,,,8859.0
2017,12_reg_Volyn,,,,,,,17635.0
2018,12_reg_Volyn,,,,,,,16375.0
2019,12_reg_Volyn,,,,,,,17322.0
2020,12_reg_Volyn,,,,,,,15319.0
2021,12_reg_Volyn,,,,,,,20039.0
2022,12_reg_Volyn,,,,,,,14709.0
2023,12_reg_Volyn,,,,,,,18670.0
2024,12_reg_Volyn,,,,,,,14192.0
2015,13_reg_Dnipropetrovsk,,,,,,,4069.0
2016,13_reg_Dnipropetrovsk,,,,,,,28506.0
2017,13_reg_Dnipropetrovsk,,,,,,,50773.0
2018,13_reg_Dnipropetrovsk,,,,,,,54653.0
2019,13_reg_Dnipropetrovsk,,,,,,,52595.0
2020,13_reg_Dnipropetrovsk,,,,,,,44215.0
2021,13_reg_Dnipropetrovsk,,,,,,,54352.0
2022,13_reg_Dnipropetrovsk,,,,,,,41359.0
2023,13_reg_Dnipropetrovsk,,,,,,,40687.0
2024,13_reg_Dnipropetrovsk,,,,,,,31580.0
2015,14_reg_Donetsk,,,,,,,711.0
2016,14_reg_Donetsk,,,,,,,5703.0
2017,14_reg_Donetsk,,,,,,,18599.0
2018,14_reg_Donetsk,,,,,,,27060.0
2019,14_reg_Donetsk,,,,,,,31623.0
2020,14_reg_Donetsk,,,,,,,33768.0
2021,14_reg_Donetsk,,,,,,,35478.0
2022,14_reg_Donetsk,,,,,,,13304.0
2023,14_reg_Donetsk,,,,,,,183.0
2024,14_reg_Donetsk,,,,,,,3503.0
2015,15_reg_Zhytomyr,,,,,,,1316.0
2016,15_reg_Zhytomyr,,,,,,,10343.0
2017,15_reg_Zhytomyr,,,,,,,23119.0
2018,15_reg_Zhytomyr,,,,,,,23062.0
2019,15_reg_Zhytomyr,,,,,,,20142.0
2020,15_reg_Zhytomyr,,,,,,,21802.0
2021,15_reg_Zhytomyr,,,,,,,31318.0
2022,15_reg_Zhytomyr,,,,,,,29269.0
2023,15_reg_Zhytomyr,,,,,,,29832.0
2024,15_reg_Zhytomyr,,,,,,,25061.0
2015,16_reg_Zakarpattya,,,,,,,829.0
2016,16_reg_Zakarpattya,,,,,,,4847.0
2017,16_reg_Zakarpattya,,,,,,,11230.0
2018,16_reg_Zakarpattya,,,,,,,13549.0
2019,16_reg_Zakarpattya,,,,,,,11231.0
2020,16_reg_Zakarpattya,,,,,,,9396.0
2021,16_reg_Zakarpattya,,,,,,,14638.0
2022,16_reg_Zakarpattya,,,,,,,15248.0
2023,16_reg_Zakarpattya,,,,,,,15990.0
2024,16_reg_Zakarpattya,,,,,,,15311.0
2015,17_reg_Zaporizhzhya,,,,,,,2094.0
2016,17_reg_Zaporizhzhya,,,,,,,14941.0
2017,17_reg_Zaporizhzhya,,,,,,,27930.0
2018,17_reg_Zaporizhzhya,,,,,,,36784.0
2019,17_reg_Zaporizhzhya,,,,,,,47164.0
2020,17_reg_Zaporizhzhya,,,,,,,42345.0
2021,17_reg_Zaporizhzhya,,,,,,,47366.0
2022,17_reg_Zaporizhzhya,,,,,,,18822.0
2023,17_reg_Zaporizhzhya,,,,,,,14296.0
2024,17_reg_Zaporizhzhya,,,,,,,10879.0
2015,18_reg_Ivano-Frankivsk,,,,,,,1062.0
2016,18_reg_Ivano-Frankivsk,,,,,,,9858.0
2017,18_reg_Ivano-Frankivsk,,,,,,,17836.0
2018,18_reg_Ivano-Frankivsk,,,,,,,18607.0
2019,18_reg_Ivano-Frankivsk,,,,,,,17491.0
2020,18_reg_Ivano-Frankivsk,,,,,,,11633.0
2021,18_reg_Ivano-Frankivsk,,,,,,,19949.0
2022,18_reg_Ivano-Frankivsk,,,,,,,25556.0
2023,18_reg_Ivano-Frankivsk,,,,,,,28422.0
2024,18_reg_Ivano-Frankivsk,,,,,,,28492.0
2015,19_reg_Kyiv,,,,,,,1223.0
2016,19_reg_Kyiv,,,,,,,8040.0
2017,19_reg_Kyiv,,,,,,,23547.0
2018,19_reg_Kyiv,,,,,,,30849.0
2019,19_reg_Kyiv,,,,,,,37824.0
2020,19_reg_Kyiv,,,,,,,36650.0
2021,19_reg_Kyiv,,,,,,,42744.0
2022,19_reg_Kyiv,,,,,,,29784.0
2023,19_reg_Kyiv,,,,,,,34381.0
2024,19_reg_Kyiv,,,,,,,30103.0
2015,20_reg_Kirovohrad,,,,,,,2054.0
2016,20_reg_Kirovohrad,,,,,,,12539.0
2017,20_reg_Kirovohrad,,,,,,,25146.0
2018,20_reg_Kirovohrad,,,,,,,22179.0
2019,20_reg_Kirovohrad,,,,,,,18063.0
2020,20_reg_Kirovohrad,,,,,,,18005.0
2021,20_reg_Kirovohrad,,,,,,,18977.0
2022,20_reg_Kirovohrad,,,,,,,13946.0
2023,20_reg_Kirovohrad,,,,,,,14429.0
2024,20_reg_Kirovohrad,,,,,,,14091.0
2015,21_reg_Luhansk,,,,,,,250.0
2016,21_reg_Luhansk,,,,,,,3497.0
2017,21_reg_Luhansk,,,,,,,11100.0
2018,21_reg_Luhansk,,,,,,,13076.0
2019,21_reg_Luhansk,,,,,,,10329.0
2020,21_reg_Luhansk,,,,,,,11242.0
2021,21_reg_Luhansk,,,,,,,13120.0
2022,21_reg_Luhansk,,,,,,,2080.0
2023,21_reg_Luhansk,,,,,,,
2024,21_reg_Luhansk,,,,,,,
2015,22_reg_Lviv,,,,,,,1969.0
2016,22_reg_Lviv,,,,,,,15887.0
2017,22_reg_Lviv,,,,,,,30570.0
2018,22_reg_Lviv,,,,,,,29252.0
2019,22_reg_Lviv,,,,,,,27937.0
2020,22_reg_Lviv,,,,,,,30235.0
2021,22_reg_Lviv,,,,,,,38138.0
2022,22_reg_Lviv,,,,,,,43626.0
2023,22_reg_Lviv,,,,,,,34016.0
2024,22_reg_Lviv,,,,,,,33457.0
2015,23_reg_Mykolayiv,,,,,,,929.0
2016,23_reg_Mykolayiv,,,,,,,9661.0
2017,23_reg_Mykolayiv,,,,,,,23511.0
2018,23_reg_Mykolayiv,,,,,,,24354.0
2019,23_reg_Mykolayiv,,,,,,,18515.0
2020,23_reg_Mykolayiv,,,,,,,18329.0
2021,23_reg_Mykolayiv,,,,,,,20155.0
2022,23_reg_Mykolayiv,,,,,,,11273.0
2023,23_reg_Mykolayiv,,,,,,,15049.0
2024,23_reg_Mykolayiv,,,,,,,13837.0
2015,24_reg_Odesa,,,,,,,2175.0
2016,24_reg_Odesa,,,,,,,18664.0
2017,24_reg_Odesa,,,,,,,27723.0
2018,24_reg_Odesa,,,,,,,22542.0
2019,24_reg_Odesa,,,,,,,22230.0
2020,24_reg_Odesa,,,,,,,24575.0
2021,24_reg_Odesa,,,,,,,28272.0
2022,24_reg_Odesa,,,,,,,23538.0
2023,24_reg_Odesa,,,,,,,26872.0
2024,24_reg_Odesa,,,,,,,23861.0
2015,25_reg_Poltava,,,,,,,1960.0
2016,25_reg_Poltava,,,,,,,11465.0
2017,25_reg_Poltava,,,,,,,28980.0
2018,25_reg_Poltava,,,,,,,34488.0
2019,25_reg_Poltava,,,,,,,33411.0
2020,25_reg_Poltava,,,,,,,30935.0
2021,25_reg_Poltava,,,,,,,37619.0
2022,25_reg_Poltava,,,,,,,42934.0
2023,25_reg_Poltava,,,,,,,41622.0
2024,25_reg_Poltava,,,,,,,33114.0
2015,26_reg_Rivne,,,,,,,2067.0
2016,26_reg_Rivne,,,,,,,10194.0
2017,26_reg_Rivne,,,,,,,16783.0
2018,26_reg_Rivne,,,,,,,19637.0
2019,26_reg_Rivne,,,,,,,19121.0
2020,26_reg_Rivne,,,,,,,17593.0
2021,26_reg_Rivne,,,,,,,22052.0
2022,26_reg_Rivne,,,,,,,23864.0
2023,26_reg_Rivne,,,,,,,17904.0
2024,26_reg_Rivne,,,,,,,19644.0
2015,27_reg_Sumy,,,,,,,2881.0
2016,27_reg_Sumy,,,,,,,12580.0
2017,27_reg_Sumy,,,,,,,23526.0
2018,27_reg_Sumy,,,,,,,30806.0
2019,27_reg_Sumy,,,,,,,33409.0
2020,27_reg_Sumy,,,,,,,30514.0
2021,27_reg_Sumy,,,,,,,35493.0
2022,27_reg_Sumy,,,,,,,25019.0
2023,27_reg_Sumy,,,,,,,32863.0
2024,27_reg_Sumy,,,,,,,27548.0
2015,28_reg_Ternopil,,,,,,,948.0
2016,28_reg_Ternopil,,,,,,,9833.0
2017,28_reg_Ternopil,,,,,,,19410.0
2018,28_reg_Ternopil,,,,,,,21801.0
2019,28_reg_Ternopil,,,,,,,21503.0
2020,28_reg_Ternopil,,,,,,,18096.0
2021,28_reg_Ternopil,,,,,,,25895.0
2022,28_reg_Ternopil,,,,,,,22279.0
2023,28_reg_Ternopil,,,,,,,24619.0
2024,28_reg_Ternopil,,,,,,,26252.0
2015,29_reg_Kharkiv,,,,,,,2680.0
2016,29_reg_Kharkiv,,,,,,,9275.0
2017,29_reg_Kharkiv,,,,,,,22247.0
2018,29_reg_Kharkiv,,,,,,,31720.0
2019,29_reg_Kharkiv,,,,,,,31263.0
2020,29_reg_Kharkiv,,,,,,,36544.0
2021,29_reg_Kharkiv,,,,,,,41621.0
2022,29_reg_Kharkiv,,,,,,,23384.0
2023,29_reg_Kharkiv,,,,,,,26660.0
2024,29_reg_Kharkiv,,,,,,,28040.0
2015,30_reg_Kherson,,,,,,,1072.0
2016,30_reg_Kherson,,,,,,,7240.0
2017,30_reg_Kherson,,,,,,,21013.0
2018,30_reg_Kherson,,,,,,,22532.0
2019,30_reg_Kherson,,,,,,,22129.0
2020,30_reg_Kherson,,,,,,,18543.0
2021,30_reg_Kherson,,,,,,,27880.0
2022,30_reg_Kherson,,,,,,,4959.0
2023,30_reg_Kherson,,,,,,,1797.0
2024,30_reg_Kherson,,,,,,,4074.0
2015,31_reg_Khmelnytskiy,,,,,,,1599.0
2016,31_reg_Khmelnytskiy,,,,,,,11274.0
2017,31_reg_Khmelnytskiy,,,,,,,23410.0
2018,31_reg_Khmelnytskiy,,,,,,,25215.0
2019,31_reg_Khmelnytskiy,,,,,,,23400.0
2020,31_reg_Khmelnytskiy,,,,,,,20164.0
2021,31_reg_Khmelnytskiy,,,,,,,27208.0
2022,31_reg_Khmelnytskiy,,,,,,,26244.0
2023,31_reg_Khmelnytskiy,,,,,,,25110.0
2024,31_reg_Khmelnytskiy,,,,,,,22285.0
2015,32_reg_Cherkasy,,,,,,,1444.0
2016,32_reg_Cherkasy,,,,,,,8859.0
2017,32_reg_Cherkasy,,,,,,,17949.0
2018,32_reg_Cherkasy,,,,,,,20996.0
2019,32_reg_Cherkasy,,,,,,,19704.0
2020,32_reg_Cherkasy,,,,,,,17278.0
2021,32_reg_Cherkasy,,,,,,,20222.0
2022,32_reg_Cherkasy,,,,,,,20381.0
2023,32_reg_Cherkasy,,,,,,,21314.0
2024,32_reg_Cherkasy,,,,,,,18561.0
2015,33_reg_Chernivtsi,,,,,,,1147.0
2016,33_reg_Chernivtsi,,,,,,,5565.0
2017,33_reg_Chernivtsi,,,,,,,9072.0
2018,33_reg_Chernivtsi,,,,,,,8802.0
2019,33_reg_Chernivtsi,,,,,,,9295.0
2020,33_reg_Chernivtsi,,,,,,,8396.0
2021,33_reg_Chernivtsi,,,,,,,13566.0
2022,33_reg_Chernivtsi,,,,,,,14886.0
2023,33_reg_Chernivtsi,,,,,,,16622.0
2024,33_reg_Chernivtsi,,,,,,,16955.0
2015,34_reg_Chernihiv,,,,,,,1184.0
2016,34_reg_Chernihiv,,,,,,,8233.0
2017,34_reg_Chernihiv,,,,,,,16409.0
2018,34_reg_Chernihiv,,,,,,,14357.0
2019,34_reg_Chernihiv,,,,,,,26213.0
2020,34_reg_Chernihiv,,,,,,,21014.0
2021,34_reg_Chernihiv,,,,,,,27715.0
2022,34_reg_Chernihiv,,,,,,,21845.0
2023,34_reg_Chernihiv,,,,,,,28509.0
2024,34_reg_Chernihiv,,,,,,,26858.0
2015,35_reg_Kyiv_city,,,,,,,2548.0
2016,35_reg_Kyiv_city,,,,,,,8340.0
2017,35_reg_Kyiv_city,,,,,,,13736.0
2018,35_reg_Kyiv_city,,,,,,,18314.0
2019,35_reg_Kyiv_city,,,,,,,15175.0
2020,35_reg_Kyiv_city,,,,,,,10390.0
2021,35_reg_Kyiv_city,,,,,,,14218.0
2022,35_reg_Kyiv_city,,,,,,,9989.0
2023,35_reg_Kyiv_city,,,,,,,18719.0
2024,35_reg_Kyiv_city,,,,,,,23767.0
2015,city_Sevastopol,,,,,,,
2016,city_Sevastopol,,,,,,,
2017,city_Sevastopol,,,,,,,
2018,city_Sevastopol,,,,,,,
2019,city_Sevastopol,,,,,,,
2020,city_Sevastopol,,,,,,,
2021,city_Sevastopol,,,,,,,
2022,city_Sevastopol,,,,,,,
2023,city_Sevastopol,,,,,,,
2024,city_Sevastopol,,,,,,,
2015,,group_label_322,,,,,,41309.0
2016,,group_label_322,,,,,,275039.0
2017,,group_label_322,,,,,,567340.0
