Year,Region,Age,Gender,group_16,group_21,Value
2015,,group_label_256,,,,
2015,,group_label_257,,,,
2015,,group_label_258,,,,
2015,,,males,,,
2015,,,2_females,,,
2015,,,,group_label_259,,
2015,,,,group_label_260,,
2015,,,,group_label_261,,
2015,,,,,group_label_262,
2015,,,,,group_label_263,
2015,,,,,group_label_264,
2015,Ukraine,,,,,
2015,autonomous_Republic_of_Crimea,,,,,
2015,11_reg_Vinnytsya,,,,,
2015,12_reg_Volyn,,,,,
2015,13_reg_Dnipropetrovsk,,,,,
2015,14_reg_Donetsk,,,,,
2015,15_reg_Zhytomyr,,,,,
2015,16_reg_Zakarpattya,,,,,
2015,17_reg_Zaporizhzhya,,,,,
2015,18_reg_Ivano-Frankivsk,,,,,
2015,19_reg_Kyiv,,,,,
2015,20_reg_Kirovohrad,,,,,
2015,21_reg_Luhansk,,,,,
2015,22_reg_Lviv,,,,,
2015,23_reg_Mykolayiv,,,,,
2015,24_reg_Odesa,,,,,
2015,25_reg_Poltava,,,,,
2015,26_reg_Rivne,,,,,
2015,27_reg_Sumy,,,,,
2015,28_reg_Ternopil,,,,,
2015,29_reg_Kharkiv,,,,,
2015,30_reg_Kherson,,,,,
2015,31_reg_Khmelnytskiy,,,,,
2015,32_reg_Cherkasy,,,,,
2015,33_reg_Chernivtsi,,,,,
2015,34_reg_Chernihiv,,,,,
2015,35_reg_Kyiv_city,,,,,
2015,city_Sevastopol,,,,,
2015,Center,,,,,
2015,East,,,,,
2015,South,,,,,
2015,West,,,,,
2016,,group_label_256,,,,
2016,,group_label_257,,,,
2016,,group_label_258,,,,
2016,,,males,,,13.4
2016,,,2_females,,,10.6
2016,,,,group_label_259,,11.8
2016,,,,group_label_260,,14.0
2016,,,,group_label_261,,8.9
2016,,,,,group_label_262,
2016,,,,,group_label_263,
2016,,,,,group_label_264,
2016,Ukraine,,,,,11.9
2016,autonomous_Republic_of_Crimea,,,,,
2016,11_reg_Vinnytsya,,,,,
2016,12_reg_Volyn,,,,,
2016,13_reg_Dnipropetrovsk,,,,,
2016,14_reg_Donetsk,,,,,
2016,15_reg_Zhytomyr,,,,,
2016,16_reg_Zakarpattya,,,,,
2016,17_reg_Zaporizhzhya,,,,,
2016,18_reg_Ivano-Frankivsk,,,,,
2016,19_reg_Kyiv,,,,,
2016,20_reg_Kirovohrad,,,,,
2016,21_reg_Luhansk,,,,,
2016,22_reg_Lviv,,,,,
2016,23_reg_Mykolayiv,,,,,
2016,24_reg_Odesa,,,,,
2016,25_reg_Poltava,,,,,
2016,26_reg_Rivne,,,,,
2016,27_reg_Sumy,,,,,
2016,28_reg_Ternopil,,,,,
2016,29_reg_Kharkiv,,,,,
2016,30_reg_Kherson,,,,,
2016,31_reg_Khmelnytskiy,,,,,
2016,32_reg_Cherkasy,,,,,
2016,33_reg_Chernivtsi,,,,,
2016,34_reg_Chernihiv,,,,,
2016,35_reg_Kyiv_city,,,,,18.8
2016,city_Sevastopol,,,,,
2016,Center,,,,,10.6
2016,East,,,,,12.3
2016,South,,,,,9.0
2016,West,,,,,14.4
2017,,group_label_256,,,,
2017,,group_label_257,,,,
2017,,group_label_258,,,,
2017,,,males,,,
2017,,,2_females,,,
2017,,,,group_label_259,,
2017,,,,group_label_260,,
2017,,,,group_label_261,,
2017,,,,,group_label_262,
2017,,,,,group_label_263,
2017,,,,,group_label_264,
2017,Ukraine,,,,,
2017,autonomous_Republic_of_Crimea,,,,,
2017,11_reg_Vinnytsya,,,,,
2017,12_reg_Volyn,,,,,
2017,13_reg_Dnipropetrovsk,,,,,
2017,14_reg_Donetsk,,,,,
2017,15_reg_Zhytomyr,,,,,
2017,16_reg_Zakarpattya,,,,,
2017,17_reg_Zaporizhzhya,,,,,
2017,18_reg_Ivano-Frankivsk,,,,,
2017,19_reg_Kyiv,,,,,
2017,20_reg_Kirovohrad,,,,,
2017,21_reg_Luhansk,,,,,
2017,22_reg_Lviv,,,,,
2017,23_reg_Mykolayiv,,,,,
2017,24_reg_Odesa,,,,,
2017,25_reg_Poltava,,,,,
2017,26_reg_Rivne,,,,,
2017,27_reg_Sumy,,,,,
2017,28_reg_Ternopil,,,,,
2017,29_reg_Kharkiv,,,,,
2017,30_reg_Kherson,,,,,
2017,31_reg_Khmelnytskiy,,,,,
2017,32_reg_Cherkasy,,,,,
2017,33_reg_Chernivtsi,,,,,
2017,34_reg_Chernihiv,,,,,
2017,35_reg_Kyiv_city,,,,,
2017,city_Sevastopol,,,,,
2017,Center,,,,,
2017,East,,,,,
2017,South,,,,,
2017,West,,,,,
2018,,group_label_256,,,,21.8
2018,,group_label_257,,,,25.5
2018,,group_label_258,,,,25.3
2018,,,males,,,25.1
2018,,,2_females,,,24.0
2018,,,,group_label_259,,24.7
2018,,,,group_label_260,,21.8
2018,,,,group_label_261,,24.5
2018,,,,,group_label_262,
2018,,,,,group_label_263,
2018,,,,,group_label_264,
2018,Ukraine,,,,,18.4
2018,autonomous_Republic_of_Crimea,,,,,
2018,11_reg_Vinnytsya,,,,,
2018,12_reg_Volyn,,,,,
2018,13_reg_Dnipropetrovsk,,,,,
2018,14_reg_Donetsk,,,,,
2018,15_reg_Zhytomyr,,,,,
2018,16_reg_Zakarpattya,,,,,
2018,17_reg_Zaporizhzhya,,,,,
2018,18_reg_Ivano-Frankivsk,,,,,
2018,19_reg_Kyiv,,,,,
2018,20_reg_Kirovohrad,,,,,
2018,21_reg_Luhansk,,,,,
2018,22_reg_Lviv,,,,,
2018,23_reg_Mykolayiv,,,,,
2018,24_reg_Odesa,,,,,
2018,25_reg_Poltava,,,,,
2018,26_reg_Rivne,,,,,
2018,27_reg_Sumy,,,,,
2018,28_reg_Ternopil,,,,,
2018,29_reg_Kharkiv,,,,,
2018,30_reg_Kherson,,,,,
2018,31_reg_Khmelnytskiy,,,,,
2018,32_reg_Cherkasy,,,,,
2018,33_reg_Chernivtsi,,,,,
2018,34_reg_Chernihiv,,,,,
