Year,Infectious diseases,Age,Region,Value
2015,ill_1_tub,age_vac_1_under_1_year,,40.2
2016,ill_1_tub,age_vac_1_under_1_year,,72.3
2017,ill_1_tub,age_vac_1_under_1_year,,83.6
2018,ill_1_tub,age_vac_1_under_1_year,,90.1
2019,ill_1_tub,age_vac_1_under_1_year,,88.6
2020,ill_1_tub,age_vac_1_under_1_year,,88.8
2021,ill_1_tub,age_vac_1_under_1_year,,81.8
2022,ill_1_tub,age_vac_1_under_1_year,,71.0
2023,ill_1_tub,age_vac_1_under_1_year,,83.5
2024,ill_1_tub,age_vac_1_under_1_year,,92.8
2015,ill_2_hep,age_vac_1_under_1_year,,25.7
2016,ill_2_hep,age_vac_1_under_1_year,,29.2
2017,ill_2_hep,age_vac_1_under_1_year,,57.0
2018,ill_2_hep,age_vac_1_under_1_year,,67.0
2019,ill_2_hep,age_vac_1_under_1_year,,77.0
2020,ill_2_hep,age_vac_1_under_1_year,,79.8
2021,ill_2_hep,age_vac_1_under_1_year,,78.8
2022,ill_2_hep,age_vac_1_under_1_year,,62.4
2023,ill_2_hep,age_vac_1_under_1_year,,79.2
2024,ill_2_hep,age_vac_1_under_1_year,,88.0
2015,ill_3_m_m_r,age_vac_2_1_year,,63.7
2016,ill_3_m_m_r,age_vac_2_1_year,,46.1
2017,ill_3_m_m_r,age_vac_2_1_year,,93.3
2018,ill_3_m_m_r,age_vac_2_1_year,,91.0
2019,ill_3_m_m_r,age_vac_2_1_year,,93.2
2020,ill_3_m_m_r,age_vac_2_1_year,,83.3
2021,ill_3_m_m_r,age_vac_2_1_year,,88.5
2022,ill_3_m_m_r,age_vac_2_1_year,,74.1
2023,ill_3_m_m_r,age_vac_2_1_year,,92.4
2024,ill_3_m_m_r,age_vac_2_1_year,,91.4
2015,ill_3_m_m_r,age_vac_4_6_years,,62.2
2016,ill_3_m_m_r,age_vac_4_6_years,,31.0
2017,ill_3_m_m_r,age_vac_4_6_years,,90.7
2018,ill_3_m_m_r,age_vac_4_6_years,,89.5
2019,ill_3_m_m_r,age_vac_4_6_years,,91.7
2020,ill_3_m_m_r,age_vac_4_6_years,,83.4
2021,ill_3_m_m_r,age_vac_4_6_years,,86.8
2022,ill_3_m_m_r,age_vac_4_6_years,,69.1
2023,ill_3_m_m_r,age_vac_4_6_years,,87.3
2024,ill_3_m_m_r,age_vac_4_6_years,,83.4
2015,ill_4_diph,age_vac_1_under_1_year,,26.8
2016,ill_4_diph,age_vac_1_under_1_year,,21.5
2017,ill_4_diph,age_vac_1_under_1_year,,53.2
2018,ill_4_diph,age_vac_1_under_1_year,,69.3
2019,ill_4_diph,age_vac_1_under_1_year,,80.5
2020,ill_4_diph,age_vac_1_under_1_year,,80.1
2021,ill_4_diph,age_vac_1_under_1_year,,80.0
2022,ill_4_diph,age_vac_1_under_1_year,,72.9
2023,ill_4_diph,age_vac_1_under_1_year,,83.4
2024,ill_4_diph,age_vac_1_under_1_year,,88.3
2015,ill_4_diph,age_vac_3_18_months,,33.7
2016,ill_4_diph,age_vac_3_18_months,,23.7
2017,ill_4_diph,age_vac_3_18_months,,51.2
2018,ill_4_diph,age_vac_3_18_months,,66.1
2019,ill_4_diph,age_vac_3_18_months,,80.5
2020,ill_4_diph,age_vac_3_18_months,,78.1
2021,ill_4_diph,age_vac_3_18_months,,77.8
2022,ill_4_diph,age_vac_3_18_months,,71.9
2023,ill_4_diph,age_vac_3_18_months,,82.7
2024,ill_4_diph,age_vac_3_18_months,,86.8
2015,ill_4_diph,age_vac_4_6_years,,4.2
2016,ill_4_diph,age_vac_4_6_years,,58.8
2017,ill_4_diph,age_vac_4_6_years,,83.5
2018,ill_4_diph,age_vac_4_6_years,,83.4
2019,ill_4_diph,age_vac_4_6_years,,72.9
2020,ill_4_diph,age_vac_4_6_years,,59.7
2021,ill_4_diph,age_vac_4_6_years,,69.9
2022,ill_4_diph,age_vac_4_6_years,,68.2
2023,ill_4_diph,age_vac_4_6_years,,70.9
2024,ill_4_diph,age_vac_4_6_years,,77.0
2015,ill_4_diph,age_vac_7_adult,,0.1
2016,ill_4_diph,age_vac_7_adult,,20.6
2017,ill_4_diph,age_vac_7_adult,,44.8
2018,ill_4_diph,age_vac_7_adult,,55.6
2019,ill_4_diph,age_vac_7_adult,,83.4
2020,ill_4_diph,age_vac_7_adult,,47.0
2021,ill_4_diph,age_vac_7_adult,,45.4
2022,ill_4_diph,age_vac_7_adult,,40.2
2023,ill_4_diph,age_vac_7_adult,,52.0
2024,ill_4_diph,age_vac_7_adult,,80.7
2015,ill_5_pert,age_vac_1_under_1_year,,26.8
2016,ill_5_pert,age_vac_1_under_1_year,,21.5
2017,ill_5_pert,age_vac_1_under_1_year,,53.2
2018,ill_5_pert,age_vac_1_under_1_year,,69.3
2019,ill_5_pert,age_vac_1_under_1_year,,80.5
2020,ill_5_pert,age_vac_1_under_1_year,,80.1
2021,ill_5_pert,age_vac_1_under_1_year,,80.0
2022,ill_5_pert,age_vac_1_under_1_year,,72.9
2023,ill_5_pert,age_vac_1_under_1_year,,83.4
2024,ill_5_pert,age_vac_1_under_1_year,,88.3
2015,ill_5_pert,age_vac_3_18_months,,33.7
2016,ill_5_pert,age_vac_3_18_months,,23.7
2017,ill_5_pert,age_vac_3_18_months,,51.2
2018,ill_5_pert,age_vac_3_18_months,,66.1
2019,ill_5_pert,age_vac_3_18_months,,80.5
2020,ill_5_pert,age_vac_3_18_months,,78.1
2021,ill_5_pert,age_vac_3_18_months,,77.8
2022,ill_5_pert,age_vac_3_18_months,,71.9
2023,ill_5_pert,age_vac_3_18_months,,82.7
2024,ill_5_pert,age_vac_3_18_months,,86.8
2015,ill_6_polio,age_vac_1_under_1_year,,63.7
2016,ill_6_polio,age_vac_1_under_1_year,,60.9
2017,ill_6_polio,age_vac_1_under_1_year,,51.9
2018,ill_6_polio,age_vac_1_under_1_year,,71.1
2019,ill_6_polio,age_vac_1_under_1_year,,78.4
2020,ill_6_polio,age_vac_1_under_1_year,,83.0
2021,ill_6_polio,age_vac_1_under_1_year,,80.1
2022,ill_6_polio,age_vac_1_under_1_year,,68.9
2023,ill_6_polio,age_vac_1_under_1_year,,84.9
2024,ill_6_polio,age_vac_1_under_1_year,,87.8
2015,ill_6_polio,age_vac_3_18_months,,86.1
2016,ill_6_polio,age_vac_3_18_months,,66.9
2017,ill_6_polio,age_vac_3_18_months,,71.4
2018,ill_6_polio,age_vac_3_18_months,,67.8
2019,ill_6_polio,age_vac_3_18_months,,78.7
2020,ill_6_polio,age_vac_3_18_months,,83.0
2021,ill_6_polio,age_vac_3_18_months,,80.5
2022,ill_6_polio,age_vac_3_18_months,,66.7
2023,ill_6_polio,age_vac_3_18_months,,85.5
2024,ill_6_polio,age_vac_3_18_months,,87.3
2015,ill_6_polio,age_vac_4_6_years,,49.3
2016,ill_6_polio,age_vac_4_6_years,,86.1
2017,ill_6_polio,age_vac_4_6_years,,88.2
2018,ill_6_polio,age_vac_4_6_years,,81.3
2019,ill_6_polio,age_vac_4_6_years,,80.3
2020,ill_6_polio,age_vac_4_6_years,,81.7
2021,ill_6_polio,age_vac_4_6_years,,78.4
2022,ill_6_polio,age_vac_4_6_years,,63.4
2023,ill_6_polio,age_vac_4_6_years,,82.3
2024,ill_6_polio,age_vac_4_6_years,,83.6
2015,ill_6_polio,age_vac_5_14_years,,51.0
2016,ill_6_polio,age_vac_5_14_years,,80.5
2017,ill_6_polio,age_vac_5_14_years,,88.1
2018,ill_6_polio,age_vac_5_14_years,,80.2
2019,ill_6_polio,age_vac_5_14_years,,80.9
2020,ill_6_polio,age_vac_5_14_years,,81.8
2021,ill_6_polio,age_vac_5_14_years,,76.1
2022,ill_6_polio,age_vac_5_14_years,,58.9
2023,ill_6_polio,age_vac_5_14_years,,78.9
2024,ill_6_polio,age_vac_5_14_years,,80.8
2015,ill_6_polio,age_vac_2_1_year,,39.2
2016,ill_6_polio,age_vac_2_1_year,,52.1
2017,ill_6_polio,age_vac_2_1_year,,44.5
2018,ill_6_polio,age_vac_2_1_year,,57.7
2019,ill_6_polio,age_vac_2_1_year,,80.0
2020,ill_6_polio,age_vac_2_1_year,,83.6
2021,ill_6_polio,age_vac_2_1_year,,87.0
2022,ill_6_polio,age_vac_2_1_year,,69.8
2023,ill_6_polio,age_vac_2_1_year,,78.2
2024,ill_6_polio,age_vac_2_1_year,,92.7
2015,ill_1_tub,age_vac_1_under_1_year,11_reg_Vinnytsya,27.1
2015,ill_6_polio,age_vac_1_under_1_year,11_reg_Vinnytsya,73.6
2015,ill_6_polio,age_vac_3_18_months,11_reg_Vinnytsya,92.8
2015,ill_6_polio,age_vac_4_6_years,11_reg_Vinnytsya,39.6
2015,ill_6_polio,age_vac_5_14_years,11_reg_Vinnytsya,39.4
2015,ill_4_diph,age_vac_1_under_1_year,11_reg_Vinnytsya,14.6
2015,ill_5_pert,age_vac_1_under_1_year,11_reg_Vinnytsya,14.6
2015,ill_10_tetanus,age_vac_1_under_1_year,11_reg_Vinnytsya,14.6
2015,ill_4_diph,age_vac_3_18_months,11_reg_Vinnytsya,27.4
2015,ill_5_pert,age_vac_3_18_months,11_reg_Vinnytsya,27.4
2015,ill_10_tetanus,age_vac_3_18_months,11_reg_Vinnytsya,27.4
2015,ill_4_diph,age_vac_4_6_years,11_reg_Vinnytsya,0.0
2015,ill_10_tetanus,age_vac_4_6_years,11_reg_Vinnytsya,0.0
2015,ill_4_diph,age_vac_7_adult,11_reg_Vinnytsya,0.0
2015,ill_10_tetanus,age_vac_7_adult,11_reg_Vinnytsya,0.0
2015,ill_9_rubella,age_vac_2_1_year,11_reg_Vinnytsya,56.9
2015,ill_3_m_m_r,age_vac_2_1_year,11_reg_Vinnytsya,56.9
2015,ill_8_mumps,age_vac_2_1_year,11_reg_Vinnytsya,56.9
2015,ill_9_rubella,age_vac_4_6_years,11_reg_Vinnytsya,65.6
2015,ill_3_m_m_r,age_vac_4_6_years,11_reg_Vinnytsya,65.6
2015,ill_8_mumps,age_vac_4_6_years,11_reg_Vinnytsya,65.6
2015,ill_2_hep,age_vac_1_under_1_year,11_reg_Vinnytsya,29.9
2015,ill_1_tub,age_vac_1_under_1_year,12_reg_Volyn,16.4
2015,ill_6_polio,age_vac_1_under_1_year,12_reg_Volyn,53.6
2015,ill_6_polio,age_vac_3_18_months,12_reg_Volyn,91.6
2015,ill_6_polio,age_vac_4_6_years,12_reg_Volyn,37.8
2015,ill_6_polio,age_vac_5_14_years,12_reg_Volyn,38.0
2015,ill_4_diph,age_vac_1_under_1_year,12_reg_Volyn,16.6
2015,ill_5_pert,age_vac_1_under_1_year,12_reg_Volyn,16.6
2015,ill_10_tetanus,age_vac_1_under_1_year,12_reg_Volyn,16.6
2015,ill_4_diph,age_vac_3_18_months,12_reg_Volyn,28.4
2015,ill_5_pert,age_vac_3_18_months,12_reg_Volyn,28.4
2015,ill_10_tetanus,age_vac_3_18_months,12_reg_Volyn,28.4
2015,ill_4_diph,age_vac_4_6_years,12_reg_Volyn,0.0
2015,ill_10_tetanus,age_vac_4_6_years,12_reg_Volyn,0.0
2015,ill_4_diph,age_vac_7_adult,12_reg_Volyn,0.0
2015,ill_10_tetanus,age_vac_7_adult,12_reg_Volyn,0.0
2015,ill_9_rubella,age_vac_2_1_year,12_reg_Volyn,56.3
2015,ill_3_m_m_r,age_vac_2_1_year,12_reg_Volyn,56.3
2015,ill_8_mumps,age_vac_2_1_year,12_reg_Volyn,56.3
2015,ill_9_rubella,age_vac_4_6_years,12_reg_Volyn,72.1
2015,ill_3_m_m_r,age_vac_4_6_years,12_reg_Volyn,72.1
2015,ill_8_mumps,age_vac_4_6_years,12_reg_Volyn,72.1
2015,ill_2_hep,age_vac_1_under_1_year,12_reg_Volyn,14.4
2015,ill_1_tub,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,28.6
2015,ill_6_polio,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,81.8
2015,ill_6_polio,age_vac_3_18_months,13_reg_Dnipropetrovsk,99.7
2015,ill_6_polio,age_vac_4_6_years,13_reg_Dnipropetrovsk,48.0
2015,ill_6_polio,age_vac_5_14_years,13_reg_Dnipropetrovsk,38.7
2015,ill_4_diph,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,18.9
2015,ill_5_pert,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,18.9
2015,ill_10_tetanus,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,18.9
2015,ill_4_diph,age_vac_3_18_months,13_reg_Dnipropetrovsk,31.0
2015,ill_5_pert,age_vac_3_18_months,13_reg_Dnipropetrovsk,31.0
2015,ill_10_tetanus,age_vac_3_18_months,13_reg_Dnipropetrovsk,31.0
2015,ill_4_diph,age_vac_4_6_years,13_reg_Dnipropetrovsk,11.4
2015,ill_10_tetanus,age_vac_4_6_years,13_reg_Dnipropetrovsk,11.4
2015,ill_4_diph,age_vac_7_adult,13_reg_Dnipropetrovsk,0.2
2015,ill_10_tetanus,age_vac_7_adult,13_reg_Dnipropetrovsk,0.2
2015,ill_9_rubella,age_vac_2_1_year,13_reg_Dnipropetrovsk,79.7
2015,ill_3_m_m_r,age_vac_2_1_year,13_reg_Dnipropetrovsk,79.7
2015,ill_8_mumps,age_vac_2_1_year,13_reg_Dnipropetrovsk,79.7
2015,ill_9_rubella,age_vac_4_6_years,13_reg_Dnipropetrovsk,73.5
2015,ill_3_m_m_r,age_vac_4_6_years,13_reg_Dnipropetrovsk,73.5
2015,ill_8_mumps,age_vac_4_6_years,13_reg_Dnipropetrovsk,73.5
2015,ill_2_hep,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,41.1
2015,ill_1_tub,age_vac_1_under_1_year,14_reg_Donetsk,51.5
2015,ill_6_polio,age_vac_1_under_1_year,14_reg_Donetsk,82.0
2015,ill_6_polio,age_vac_3_18_months,14_reg_Donetsk,100.0
2015,ill_6_polio,age_vac_4_6_years,14_reg_Donetsk,74.5
2015,ill_6_polio,age_vac_5_14_years,14_reg_Donetsk,67.0
2015,ill_4_diph,age_vac_1_under_1_year,14_reg_Donetsk,26.1
2015,ill_5_pert,age_vac_1_under_1_year,14_reg_Donetsk,26.1
2015,ill_10_tetanus,age_vac_1_under_1_year,14_reg_Donetsk,26.1
2015,ill_4_diph,age_vac_3_18_months,14_reg_Donetsk,26.4
2015,ill_5_pert,age_vac_3_18_months,14_reg_Donetsk,26.4
2015,ill_10_tetanus,age_vac_3_18_months,14_reg_Donetsk,26.4
2015,ill_4_diph,age_vac_4_6_years,14_reg_Donetsk,10.9
2015,ill_10_tetanus,age_vac_4_6_years,14_reg_Donetsk,10.9
2015,ill_4_diph,age_vac_7_adult,14_reg_Donetsk,0.1
2015,ill_10_tetanus,age_vac_7_adult,14_reg_Donetsk,0.1
2015,ill_9_rubella,age_vac_2_1_year,14_reg_Donetsk,86.3
2015,ill_3_m_m_r,age_vac_2_1_year,14_reg_Donetsk,86.3
2015,ill_8_mumps,age_vac_2_1_year,14_reg_Donetsk,86.3
2015,ill_9_rubella,age_vac_4_6_years,14_reg_Donetsk,79.2
2015,ill_3_m_m_r,age_vac_4_6_years,14_reg_Donetsk,79.2
2015,ill_8_mumps,age_vac_4_6_years,14_reg_Donetsk,79.2
2015,ill_2_hep,age_vac_1_under_1_year,14_reg_Donetsk,6.2
2015,ill_1_tub,age_vac_1_under_1_year,15_reg_Zhytomyr,34.4
2015,ill_6_polio,age_vac_1_under_1_year,15_reg_Zhytomyr,79.4
2015,ill_6_polio,age_vac_3_18_months,15_reg_Zhytomyr,119.3
2015,ill_6_polio,age_vac_4_6_years,15_reg_Zhytomyr,67.6
2015,ill_6_polio,age_vac_5_14_years,15_reg_Zhytomyr,65.4
2015,ill_4_diph,age_vac_1_under_1_year,15_reg_Zhytomyr,9.0
2015,ill_5_pert,age_vac_1_under_1_year,15_reg_Zhytomyr,9.0
2015,ill_10_tetanus,age_vac_1_under_1_year,15_reg_Zhytomyr,9.0
2015,ill_4_diph,age_vac_3_18_months,15_reg_Zhytomyr,7.9
2015,ill_5_pert,age_vac_3_18_months,15_reg_Zhytomyr,7.9
2015,ill_10_tetanus,age_vac_3_18_months,15_reg_Zhytomyr,7.9
2015,ill_4_diph,age_vac_4_6_years,15_reg_Zhytomyr,0.0
2015,ill_10_tetanus,age_vac_4_6_years,15_reg_Zhytomyr,0.0
2015,ill_4_diph,age_vac_7_adult,15_reg_Zhytomyr,0.0
2015,ill_10_tetanus,age_vac_7_adult,15_reg_Zhytomyr,0.0
2015,ill_9_rubella,age_vac_2_1_year,15_reg_Zhytomyr,57.4
2015,ill_3_m_m_r,age_vac_2_1_year,15_reg_Zhytomyr,57.4
2015,ill_8_mumps,age_vac_2_1_year,15_reg_Zhytomyr,57.4
2015,ill_9_rubella,age_vac_4_6_years,15_reg_Zhytomyr,67.2
2015,ill_3_m_m_r,age_vac_4_6_years,15_reg_Zhytomyr,67.2
2015,ill_8_mumps,age_vac_4_6_years,15_reg_Zhytomyr,67.2
2015,ill_2_hep,age_vac_1_under_1_year,15_reg_Zhytomyr,41.6
2015,ill_1_tub,age_vac_1_under_1_year,16_reg_Zakarpattya,37.9
2015,ill_6_polio,age_vac_1_under_1_year,16_reg_Zakarpattya,57.8
2015,ill_6_polio,age_vac_3_18_months,16_reg_Zakarpattya,72.6
2015,ill_6_polio,age_vac_4_6_years,16_reg_Zakarpattya,62.7
2015,ill_6_polio,age_vac_5_14_years,16_reg_Zakarpattya,60.2
2015,ill_4_diph,age_vac_1_under_1_year,16_reg_Zakarpattya,22.0
2015,ill_5_pert,age_vac_1_under_1_year,16_reg_Zakarpattya,22.0
2015,ill_10_tetanus,age_vac_1_under_1_year,16_reg_Zakarpattya,22.0
2015,ill_4_diph,age_vac_3_18_months,16_reg_Zakarpattya,24.1
2015,ill_5_pert,age_vac_3_18_months,16_reg_Zakarpattya,24.1
2015,ill_10_tetanus,age_vac_3_18_months,16_reg_Zakarpattya,24.1
2015,ill_4_diph,age_vac_4_6_years,16_reg_Zakarpattya,0.0
2015,ill_10_tetanus,age_vac_4_6_years,16_reg_Zakarpattya,0.0
2015,ill_4_diph,age_vac_7_adult,16_reg_Zakarpattya,0.0
2015,ill_10_tetanus,age_vac_7_adult,16_reg_Zakarpattya,0.0
2015,ill_9_rubella,age_vac_2_1_year,16_reg_Zakarpattya,61.4
2015,ill_3_m_m_r,age_vac_2_1_year,16_reg_Zakarpattya,61.4
2015,ill_8_mumps,age_vac_2_1_year,16_reg_Zakarpattya,61.4
2015,ill_9_rubella,age_vac_4_6_years,16_reg_Zakarpattya,71.4
2015,ill_3_m_m_r,age_vac_4_6_years,16_reg_Zakarpattya,71.4
2015,ill_8_mumps,age_vac_4_6_years,16_reg_Zakarpattya,71.4
2015,ill_2_hep,age_vac_1_under_1_year,16_reg_Zakarpattya,19.1
2015,ill_1_tub,age_vac_1_under_1_year,17_reg_Zaporizhzhya,44.5
2015,ill_6_polio,age_vac_1_under_1_year,17_reg_Zaporizhzhya,47.8
2015,ill_6_polio,age_vac_3_18_months,17_reg_Zaporizhzhya,74.9
2015,ill_6_polio,age_vac_4_6_years,17_reg_Zaporizhzhya,43.9
2015,ill_6_polio,age_vac_5_14_years,17_reg_Zaporizhzhya,26.8
2015,ill_4_diph,age_vac_1_under_1_year,17_reg_Zaporizhzhya,19.6
2015,ill_5_pert,age_vac_1_under_1_year,17_reg_Zaporizhzhya,19.6
2015,ill_10_tetanus,age_vac_1_under_1_year,17_reg_Zaporizhzhya,19.6
2015,ill_4_diph,age_vac_3_18_months,17_reg_Zaporizhzhya,20.5
2015,ill_5_pert,age_vac_3_18_months,17_reg_Zaporizhzhya,20.5
2015,ill_10_tetanus,age_vac_3_18_months,17_reg_Zaporizhzhya,20.5
2015,ill_4_diph,age_vac_4_6_years,17_reg_Zaporizhzhya,10.8
2015,ill_10_tetanus,age_vac_4_6_years,17_reg_Zaporizhzhya,10.8
2015,ill_4_diph,age_vac_7_adult,17_reg_Zaporizhzhya,0.9
2015,ill_10_tetanus,age_vac_7_adult,17_reg_Zaporizhzhya,0.9
2015,ill_9_rubella,age_vac_2_1_year,17_reg_Zaporizhzhya,72.8
