Year,Sex,Type of residence,Value
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
2021,,,
2022,,,
2023,,,
2024,,,
2015,females,,
2016,females,,
2017,females,,
2018,females,,
2019,females,,
2020,females,,
2021,females,,
2022,females,,
2023,females,,
2024,females,,
2015,males,,
2016,males,,
2017,males,,
2018,males,,
2019,males,,
2020,males,,
2021,males,,
2022,males,,
2023,males,,
2024,males,,
2015,,urban,
2016,,urban,
2017,,urban,
2018,,urban,
2019,,urban,
2020,,urban,
2021,,urban,
2022,,urban,
2023,,urban,
2024,,urban,
2015,,rural,
2016,,rural,
2017,,rural,
2018,,rural,
2019,,rural,
2020,,rural,
2021,,rural,
2022,,rural,
2023,,rural,
2024,,rural,
