Year,Category_type,Category,Value
2015,,, 
2016,,, 
2017,,, 
2018,,, 
2019,,, 
2020,,,63
2021,,,75
2022,,,76
2023,,,78
2024,,,80
2020,status,student_professional_pre_tertiary,60
2021,status,student_professional_pre_tertiary,73
2022,status,student_professional_pre_tertiary,74
2023,status,student_professional_pre_tertiary,77
2024,status,student_professional_pre_tertiary,78
2020,status,student_tertiary,64
2021,status,student_tertiary,74
2022,status,student_tertiary,68
2023,status,student_tertiary,76
2024,status,student_tertiary,78
2020,status,teacher_professional_pre_tertiary,61
2021,status,teacher_professional_pre_tertiary,74
2022,status,teacher_professional_pre_tertiary,82
2023,status,teacher_professional_pre_tertiary,78
2024,status,teacher_professional_pre_tertiary,84
2020,status,academic_staff_tertiary,67
2021,status,academic_staff_tertiary,77
2022,status,academic_staff_tertiary,81
2023,status,academic_staff_tertiary,79
2024,status,academic_staff_tertiary,80
2020,sphere,professional_pre_tertiary_education,61
2021,sphere,professional_pre_tertiary_education,74
2022,sphere,professional_pre_tertiary_education,78
2023,sphere,professional_pre_tertiary_education,78
2024,sphere,professional_pre_tertiary_education,81
2020,sphere,tertiary_education,66
2021,sphere,tertiary_education,76
2022,sphere,tertiary_education,75
2023,sphere,tertiary_education,78
2024,sphere,tertiary_education,79
