Year,Specialty,Education Level,Value
2015,,,41.27
2016,,,24.04
2017,,,23.72
2018,,,23.36
2019,,,23.24
2020,,,23.08
2021,,,22.98
2022,,,21.57
2023,,,19.4
2024,,,19.0
2015,spec_101,,100.0
2016,spec_101,,59.08
2017,spec_101,,58.76
2018,spec_101,,57.4
2019,spec_101,,55.95
2020,spec_101,,54.88
2021,spec_101,,54.77
2022,spec_101,,46.74
2023,spec_101,,41.01
2024,spec_101,,38.33
2015,spec_102,,
2016,spec_102,,74.21
2017,spec_102,,72.23
2018,spec_102,,71.45
2019,spec_102,,70.45
2020,spec_102,,66.47
2021,spec_102,,62.58
2022,spec_102,,60.32
2023,spec_102,,55.29
2024,spec_102,,53.11
2015,spec_103,,100.0
2016,spec_103,,49.75
2017,spec_103,,46.82
2018,spec_103,,43.48
2019,spec_103,,42.44
2020,spec_103,,42.35
2021,spec_103,,42.26
2022,spec_103,,37.23
2023,spec_103,,27.32
2024,spec_103,,26.48
2015,spec_104,,50.0
2016,spec_104,,37.99
2017,spec_104,,38.5
2018,spec_104,,37.53
2019,spec_104,,34.62
2020,spec_104,,33.05
2021,spec_104,,33.17
2022,spec_104,,30.23
2023,spec_104,,24.95
2024,spec_104,,23.23
2015,spec_105,,
2016,spec_105,,22.8
2017,spec_105,,24.05
2018,spec_105,,24.09
2019,spec_105,,23.49
2020,spec_105,,23.16
2021,spec_105,,23.67
2022,spec_105,,23.26
2023,spec_105,,20.52
2024,spec_105,,19.49
2015,spec_106,,
2016,spec_106,,
2017,spec_106,,63.99
2018,spec_106,,61.32
2019,spec_106,,61.08
2020,spec_106,,60.75
2021,spec_106,,55.26
2022,spec_106,,47.54
2023,spec_106,,42.62
2024,spec_106,,40.44
2015,spec_111,,100.0
2016,spec_111,,67.35
2017,spec_111,,64.39
2018,spec_111,,61.94
2019,spec_111,,58.25
2020,spec_111,,53.3
2021,spec_111,,51.05
2022,spec_111,,48.75
2023,spec_111,,45.28
2024,spec_111,,45.91
2015,spec_112,,
2016,spec_112,,55.15
2017,spec_112,,55.38
2018,spec_112,,54.04
2019,spec_112,,50.84
2020,spec_112,,44.55
2021,spec_112,,43.84
2022,spec_112,,43.89
2023,spec_112,,31.1
2024,spec_112,,28.66
2015,spec_113,,
2016,spec_113,,33.89
2017,spec_113,,32.54
2018,spec_113,,32.23
2019,spec_113,,31.73
2020,spec_113,,30.95
2021,spec_113,,31.31
2022,spec_113,,29.85
2023,spec_113,,29.05
2024,spec_113,,31.14
2015,spec_121,,
2016,spec_121,,16.02
2017,spec_121,,14.92
2018,spec_121,,14.6
2019,spec_121,,14.62
2020,spec_121,,14.55
2021,spec_121,,14.79
2022,spec_121,,14.57
2023,spec_121,,14.96
2024,spec_121,,16.17
2015,spec_122,,
2016,spec_122,,22.47
2017,spec_122,,22.79
2018,spec_122,,22.3
2019,spec_122,,22.95
2020,spec_122,,15.99
2021,spec_122,,13.56
2022,spec_122,,9.09
2023,spec_122,,7.41
2024,spec_122,,9.09
2015,spec_122_1,,
2016,spec_122_1,,19.05
2017,spec_122_1,,20.37
2018,spec_122_1,,20.27
2019,spec_122_1,,19.74
2020,spec_122_1,,20.12
2021,spec_122_1,,20.28
2022,spec_122_1,,19.03
2023,spec_122_1,,18.99
2024,spec_122_1,,20.42
2015,spec_123,,
2016,spec_123,,11.85
2017,spec_123,,11.77
2018,spec_123,,11.5
2019,spec_123,,11.21
2020,spec_123,,11.09
2021,spec_123,,11.31
2022,spec_123,,10.87
2023,spec_123,,10.78
2024,spec_123,,10.77
2015,spec_124,,
2016,spec_124,,34.06
2017,spec_124,,34.57
2018,spec_124,,33.57
2019,spec_124,,32.96
2020,spec_124,,32.94
2021,spec_124,,32.62
2022,spec_124,,31.58
2023,spec_124,,30.37
2024,spec_124,,34.43
2015,spec_125,,
2016,spec_125,,19.58
2017,spec_125,,19.54
2018,spec_125,,18.64
2019,spec_125,,18.12
2020,spec_125,,17.4
2021,spec_125,,17.73
2022,spec_125,,17.06
2023,spec_125,,16.92
2024,spec_125,,19.62
2015,spec_125_1,,
2016,spec_125_1,,
2017,spec_125_1,,
2018,spec_125_1,,
2019,spec_125_1,,
2020,spec_125_1,,
2021,spec_125_1,,
2022,spec_125_1,,
2023,spec_125_1,,17.0
2024,spec_125_1,,17.74
2015,spec_126,,
2016,spec_126,,
2017,spec_126,,17.53
2018,spec_126,,20.2
2019,spec_126,,21.07
2020,spec_126,,20.74
2021,spec_126,,21.2
2022,spec_126,,20.56
2023,spec_126,,19.68
2024,spec_126,,20.89
2015,spec_131,,33.33
2016,spec_131,,10.05
2017,spec_131,,9.16
2018,spec_131,,8.95
2019,spec_131,,8.57
2020,spec_131,,7.88
2021,spec_131,,7.05
2022,spec_131,,6.57
2023,spec_131,,5.77
2024,spec_131,,5.22
2015,spec_132,,
2016,spec_132,,22.75
2017,spec_132,,22.3
2018,spec_132,,21.25
2019,spec_132,,20.99
2020,spec_132,,21.0
2021,spec_132,,22.03
2022,spec_132,,18.74
2023,spec_132,,14.73
2024,spec_132,,13.87
2015,spec_133,,
2016,spec_133,,7.73
2017,spec_133,,7.54
2018,spec_133,,7.36
2019,spec_133,,7.41
2020,spec_133,,7.63
2021,spec_133,,7.68
2022,spec_133,,7.19
2023,spec_133,,5.79
2024,spec_133,,4.8
2015,spec_134,,
2016,spec_134,,15.73
2017,spec_134,,16.02
2018,spec_134,,16.11
2019,spec_134,,15.57
2020,spec_134,,15.28
2021,spec_134,,16.12
2022,spec_134,,13.78
2023,spec_134,,13.06
2024,spec_134,,13.28
2015,spec_135,,
2016,spec_135,,7.89
2017,spec_135,,6.16
