Year,Sex,group_28,Type of residence,Decile groups_1,Value
2015,,,,,
2016,,,,,
2017,,,,,
2018,,,,,
2019,,,,,
2020,,,,,
2021,,,,,
2022,,,,,
2023,,,,,
2024,,,,,
2015,females_1,,,,
2016,females_1,,,,
2017,females_1,,,,
2018,females_1,,,,
2019,females_1,,,,
2020,females_1,,,,
2021,females_1,,,,
2022,females_1,,,,
2023,females_1,,,,
2024,females_1,,,,
2015,males_1,,,,
2016,males_1,,,,
2017,males_1,,,,
2018,males_1,,,,
2019,males_1,,,,
2020,males_1,,,,
2021,males_1,,,,
2022,males_1,,,,
2023,males_1,,,,
2024,males_1,,,,
2015,,age_groups,,,
2016,,age_groups,,,
2017,,age_groups,,,
2018,,age_groups,,,
2019,,age_groups,,,
2020,,age_groups,,,
2021,,age_groups,,,
2022,,age_groups,,,
2023,,age_groups,,,
2024,,age_groups,,,
2015,,,urban,,
2016,,,urban,,
2017,,,urban,,
2018,,,urban,,
2019,,,urban,,
2020,,,urban,,
2021,,,urban,,
2022,,,urban,,
2023,,,urban,,
2024,,,urban,,
2015,,,rural,,
2016,,,rural,,
2017,,,rural,,
2018,,,rural,,
2019,,,rural,,
2020,,,rural,,
2021,,,rural,,
2022,,,rural,,
2023,,,rural,,
2024,,,rural,,
2015,,,,decile group,
2016,,,,decile group,
2017,,,,decile group,
2018,,,,decile group,
2019,,,,decile group,
2020,,,,decile group,
2021,,,,decile group,
2022,,,,decile group,
2023,,,,decile group,
2024,,,,decile group,
