Year,CourtLevel,Sex,Value
2015,,,
2016,,,
2017,,women,51.8
2017,,men,48.2
2017,local_courts,women,52.1
2017,local_courts,men,47.9
2017,appellate_courts,women,51.1
2017,appellate_courts,men,48.9
2017,higher_specialized_courts,women,54.1
2017,higher_specialized_courts,men,45.9
2017,supreme_court,women,45.0
2017,supreme_court,men,55.0
2018,,women,52.2
2018,,men,47.8
2018,local_courts,women,52.6
2018,local_courts,men,47.4
2018,appellate_courts,women,51.8
2018,appellate_courts,men,48.2
2018,higher_specialized_courts,women,49.1
2018,higher_specialized_courts,men,50.9
2018,supreme_court,women,45.4
2018,supreme_court,men,54.6
2019,,women,52.4
2019,,men,47.6
2019,local_courts,women,53.1
2019,local_courts,men,46.9
2019,appellate_courts,women,52.5
2019,appellate_courts,men,47.5
2019,higher_specialized_courts,women,41.4
2019,higher_specialized_courts,men,58.6
2019,supreme_court,women,42.3
2019,supreme_court,men,57.7
2020,,women,53.6
2020,,men,46.4
2020,local_courts,women,54.6
2020,local_courts,men,45.4
2020,appellate_courts,women,52.8
2020,appellate_courts,men,47.2
2020,higher_specialized_courts,women,41.9
2020,higher_specialized_courts,men,58.1
2020,supreme_court,women,41.1
2020,supreme_court,men,58.9
2021,,women,53.6
2021,,men,46.4
2021,local_courts,women,54.6
2021,local_courts,men,45.4
2021,appellate_courts,women,52.9
2021,appellate_courts,men,47.1
2021,higher_specialized_courts,women,41.5
2021,higher_specialized_courts,men,58.5
2021,supreme_court,women,40.6
2021,supreme_court,men,59.4
2022,,women,53.8
2022,,men,46.2
2022,local_courts,women,54.8
2022,local_courts,men,45.2
2022,appellate_courts,women,53.4
2022,appellate_courts,men,46.6
2022,higher_specialized_courts,women,41.3
2022,higher_specialized_courts,men,58.8
2022,supreme_court,women,40.6
2022,supreme_court,men,59.4
2023,,women,53.5
2023,,men,46.5
2023,local_courts,women,54.5
2023,local_courts,men,45.5
2023,appellate_courts,women,52.7
2023,appellate_courts,men,47.3
2023,higher_specialized_courts,women,40.8
2023,higher_specialized_courts,men,59.2
2023,supreme_court,women,38.4
2023,supreme_court,men,61.6
2024,,women,53.7
2024,,men,46.3
2024,local_courts,women,54.8
2024,local_courts,men,45.2
2024,appellate_courts,women,51.8
2024,appellate_courts,men,48.2
2024,higher_specialized_courts,women,36.8
2024,higher_specialized_courts,men,63.2
2024,supreme_court,women,38.6
2024,supreme_court,men,61.4
