Year,Type of residence,Households,Value
2015,,,1.4
2016,,,5.1
2017,,,5.3
2018,,,3.3
2019,,,0.9
2020,,,0.1
2021,,,0.1
2022,,,
2023,,,
2024,,,
2015,urban,,1.3
2016,urban,,4.3
2017,urban,,4.9
2018,urban,,3.0
2019,urban,,0.9
2020,urban,,0.2
2021,urban,,0.1
2022,urban,,
2023,urban,,
2024,urban,,
2015,rural,,1.6
2016,rural,,6.9
2017,rural,,6.3
2018,rural,,4.0
2019,rural,,1.0
2020,rural,,0.1
2021,rural,,0.1
2022,rural,,
2023,rural,,
2024,rural,,
2015,,hh_ch,0.9
2016,,hh_ch,4.4
2017,,hh_ch,4.5
2018,,hh_ch,2.5
2019,,hh_ch,0.7
2020,,hh_ch,0.1
2021,,hh_ch,0.1
2022,,hh_ch,
2023,,hh_ch,
2024,,hh_ch,
2015,,hh_ch_0,1.8
2016,,hh_ch_0,5.7
2017,,hh_ch_0,6.1
2018,,hh_ch_0,4.0
2019,,hh_ch_0,1.1
2020,,hh_ch_0,0.2
2021,,hh_ch_0,0.2
2022,,hh_ch_0,
2023,,hh_ch_0,
2024,,hh_ch_0,
