Year,Type of residence,Region,Value
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
2021,,,
2022,,,
2023,,,2453668.0
2023,urban,,1340763.0
2023,rural,,1118028.0
2023,,autonomous_Republic_of_Crimea,
2023,,11_reg_Vinnytsya,139.058
2023,,12_reg_Volyn,66.304
2023,,13_reg_Dnipropetrovsk,188.201
2023,,14_reg_Donetsk,103.138
2023,,15_reg_Zhytomyr,98.309
2023,,16_reg_Zakarpattya,37.41
2023,,17_reg_Zaporizhzhya,101.777
2023,,18_reg_Ivano-Frankivsk,86.554
2023,,19_reg_Kyiv,112.919
2023,,20_reg_Kirovohrad,78.455
2023,,21_reg_Luhansk,57.27
2023,,22_reg_Lviv,129.224
2023,,23_reg_Mykolayiv,
2023,,24_reg_Odesa,72.544
2023,,25_reg_Poltava,139.665
2023,,26_reg_Rivne,73.547
2023,,27_reg_Sumy,126.206
2023,,28_reg_Ternopil,80.327
2023,,29_reg_Kharkiv,179.459
2023,,30_reg_Kherson,45.922
2023,,31_reg_Khmelnytskiy,
2023,,32_reg_Cherkasy,133.372
2023,,33_reg_Chernivtsi,44.417
2023,,34_reg_Chernihiv,119.539
2023,,35_reg_Kyiv_city,67.942
2023,,city_Sevastopol,
2023,,23_reg_Mykolayiv,63.762
2023,,31_reg_Khmelnytskiy,109.001
